family_id	copy_idx	tid	chrom	start	end	n_exon	strand	n_reads
GWFAM0	0	DN_chr1_137163_4	chr1	137163	155973	4	-	15
GWFAM0	1	DN_chr1_242464584_4	chr1	242464584	242468763	4	-	2
GWFAM0	2	DN_chr10_38493225_2	chr10	38493225	38496020	2	+	3
GWFAM0	3	DN_chr3_200947323_3	chr3	200947323	200969815	3	+	9
GWFAM0	4	DN_chr4_121935229_3	chr4	121935229	121940296	3	+	16
GWFAM0	5	DN_chr4_122710629_3	chr4	122710629	122715757	3	-	8
GWFAM1	0	DN_chr1_178346_2	chr1	178346	182556	2	-	3
GWFAM1	1	DN_chr1_187488_7	chr1	187488	205197	7	-	15
GWFAM1	2	DN_chr1_223141183_12	chr1	223141183	223182374	12	-	14
GWFAM1	3	DN_chr1_242487066_9	chr1	242487066	242512759	9	-	12
GWFAM1	4	DN_chr10_38447190_6	chr10	38447190	38460308	6	+	5
GWFAM1	5	DN_chr4_121896766_5	chr4	121896766	121915689	5	+	9
GWFAM1	6	DN_chr4_122736194_8	chr4	122736194	122759748	8	-	11
GWFAM1	7	DN_chr9_150482777_11	chr9	150482777	150524997	11	+	2
GWFAM2	0	DN_chr1_16364571_4	chr1	16364571	16365914	4	+	6
GWFAM2	1	DN_chr1_16566464_11	chr1	16566464	16572011	11	-	10
GWFAM3	0	DN_chr1_103422045_16	chr1	103422045	103474638	16	+	2
GWFAM3	1	DN_chr1_103494733_2	chr1	103494733	103505601	2	-	4
GWFAM3	2	DN_chr1_103505640_9	chr1	103505640	103513421	9	+	111
GWFAM3	3	DN_chr1_103630427_9	chr1	103630427	103638186	9	-	116
GWFAM3	4	DN_chr1_103638241_7	chr1	103638241	103662911	7	+	4
GWFAM3	5	DN_chr1_103732373_8	chr1	103732373	103757041	8	+	5
GWFAM3	6	DN_chr1_103776787_2	chr1	103776787	103788021	2	-	7
GWFAM3	7	DN_chr1_103788051_9	chr1	103788051	103795830	9	+	139
