family_id	gene	chrom	start	end	orig_primary_reads	best_sibling_id	unique_own_reads	ambig_own_mapq0	secondaries	detected_copy_nearby	cause
ID_26	SLC9B1P1	chr16	32804124	32821138	5	0.9474	40	0	233	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_458	SPAG11B	chr8	12534401	12555431	6	0.9939	20	9	54	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_260	MEP1AP4	chr9	44369523	44375633	8	0.9798	11	8	127	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_261	CNTNAP3P1	chr9	80247804	80257862	8	NA	24	0	76	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_338	DEFB108D	chr8	7634987	7639336	10	NA	20	0	8	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_63	AC097527.1	chr2	106932223	106939096	11	0.9853	3	0	92	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_240	FO681492.1	chr10	48641165	48655007	12	0.9647	3	0	103	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_63	ANAPC1P5	chr2	87992304	88004460	17	NA	12	0	268	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_338	DEFB108C	chr8	7102093	7106486	17	0.9537	4	0	25	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_458	SPAG11A	chr8	7171678	7192682	19	NA	4	17	50	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_260	AL513478.2	chr9	40202700	40208822	22	0.9883	6	6	134	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_148	AC142384.1	chr16	34884759	34929924	30	0.8635	3	1	152	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_226	H3-2	chr1	142966564	142977985	35	0.9898	35	0	559	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_226	H2BP1	chr1	121117591	121126640	43	0.9932	31	0	510	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_386	LIMS1	chr2	108994973	109147842	1224	0.9867	1189	0	1458	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_386	LIMS4	chr2	110869109	110895544	428	NA	172	25	616	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_146	AC124944.2	chr3	198403551	198444967	871	0.9814	828	0	18069	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_402	NCF1	chr7	75976253	75991692	44	0.9934	4	0	11	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_208	CASTOR2	chr7	76167037	76233789	149	0.9901	119	0	158	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_12	POMZP3	chr7	77889197	77906183	240	NA	186	0	107	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_260	MEP1AP1	chr9	77952010	77958144	71	NA	37	0	120	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_327	CTSLP3	chr10	47641642	47647779	50	0.9803	14	0	765	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_148	AC126603.1	chr15	18136928	18186041	50	0.9660	3	4	153	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_156	WHAMMP3	chr15	20336417	20358287	362	0.9900	321	0	1049	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_14	AC090616.5	chr17	33034040	33040757	54	0.9125	15	1	505	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_215	AC245297.1	chr1	145855639	145979396	226	0.9991	78	36	1582	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_63	ANAPC1P1	chr2	86863741	86914950	43	1.0000	28	3	902	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_407	TRIM73	chr7	76682335	76698280	374	1.0000	27	7	238	Y	distinguishable-but-MERGED (unique reads absorbed into a co-located locus)
ID_35	AC008443.6	chr5	181851743	181855644	69	0.9862	3	0	273	N	distinguishable-but-unseeded (unique reads, no nearby locus -> detection gap)
