case	locus_id	annotation	disposition	membership_role	fresh_family	rna_degree	dna_degree	both_layer_degree	rna_only_degree	dna_only_degree
NBPF_repeat_bridge	L~chr12_110591816_110607946	TCTN1	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM8	6	0	0	6	0
NBPF_repeat_bridge	L~chr14_18170236_18190010	DHRS4L2	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM8	7	2	1	6	1
NBPF_repeat_bridge	L~chr14_31943082_31948334	TTC6	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM15	1	6	1	0	5
NBPF_repeat_bridge	L~chr15_40664879_40672646	TTBK2	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM8	3	0	0	3	0
NBPF_repeat_bridge	L~chr15_46535297_46542401	CEP152	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM8	3	1	1	2	0
NBPF_repeat_bridge	L~chr18_79318414_79365251	ATP9B	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM8	4	1	0	4	1
NBPF_repeat_bridge	L~chr1_108256107_108352036	NBPF4	KEEP_KNOWN_OUTLIER	FAMILY_MEMBER_OUTLIER	GWFAM1	0	2	0	0	2
NBPF_repeat_bridge	L~chr1_224377066_224384199	DNAH14	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM8	5	1	1	4	0
NBPF_repeat_bridge	L~chr20_5512078_5518490	.	REVIEW_UNTYPED	REVIEW	GWFAM8	2	0	0	2	0
NBPF_repeat_bridge	L~chr20_5535248_5544066	.	REVIEW_UNTYPED	REVIEW	GWFAM30	0	0	0	0	0
NBPF_repeat_bridge	L~chr2_110773830_110806970	LIMS4	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM8	7	2	1	6	1
NBPF_repeat_bridge	L~chr5_86491157_86514189	.	REVIEW_UNTYPED	REVIEW	GWFAM8	1	1	0	1	1
NBPF_repeat_bridge	L~chr6_143315899_143338050	NMBR	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM15	1	2	1	0	1
NBPF_repeat_bridge	L~chr7_54952741_54954933	.	REVIEW_UNTYPED	REVIEW	GWFAM8	6	9	5	1	4
NBPF_repeat_bridge	L~chr8_82275840_82283845	.	REVIEW_UNTYPED	REVIEW	GWFAM8	6	1	1	5	0
