probe_id	role	annotation	chrom	start	end	strand	disposition	left_start	left_end	right_start	right_end	probe_status
SRC_GOLGA2	SOURCE_CONTEXT	GOLGA2	chr9	140462942	140483121	-	CONTEXT_SOURCE	140437942	140462942	140483121	140508121	LOCUS_PROXY_NOT_STABLE_BLOCK
SRC_ITSN2	SOURCE_CONTEXT	ITSN2	chr2	24237560	24395986	-	CONTEXT_SOURCE	24212560	24237560	24395986	24420986	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_000	CANDIDATE_MEMBER	.	chr15	18484393	18487719	.	KEEP_RNA_CANDIDATE	18459393	18484393	18487719	18512719	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_001	CANDIDATE_MEMBER	.	chr15	20096768	20102630	.	KEEP_RNA_CANDIDATE	20071768	20096768	20102630	20127630	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_002	CANDIDATE_MEMBER	.	chr15	20279485	20289994	.	KEEP_RNA_CANDIDATE	20254485	20279485	20289994	20314994	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_003	CANDIDATE_MEMBER	.	chr15	20841196	20854572	.	KEEP_RNA_CANDIDATE	20816196	20841196	20854572	20879572	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_004	CANDIDATE_MEMBER	LOC124907502	chr15	20972619	20985986	.	KEEP_RNA_CANDIDATE	20947619	20972619	20985986	21010986	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_005	FAMILY_MEMBER	GOLGA6L2	chr15	21175968	21180517	.	KEEP_KNOWN	21150968	21175968	21180517	21205517	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_006	FAMILY_MEMBER	GOLGA8F	chr15	26121347	26134747	.	KEEP_KNOWN	26096347	26121347	26134747	26159747	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_007	FAMILY_MEMBER	GOLGA8G	chr15	26296281	26309739	.	KEEP_KNOWN	26271281	26296281	26309739	26334739	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_008	FAMILY_MEMBER	GOLGA8T	chr15	27926395	27929106	.	KEEP_KNOWN	27901395	27926395	27929106	27954106	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_009	FAMILY_MEMBER	GOLGA8O	chr15	30241447	30252178	.	KEEP_KNOWN	30216447	30241447	30252178	30277178	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_010	FAMILY_MEMBER	GOLGA8A	chr15	32184800	32193680	.	KEEP_KNOWN	32159800	32184800	32193680	32218680	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_011	FAMILY_MEMBER	GOLGA8B	chr15	32330973	32333374	.	KEEP_KNOWN	32305973	32330973	32333374	32358374	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_012	CANDIDATE_MEMBER	.	chr15	73646286	73657758	.	KEEP_RNA_CANDIDATE	73621286	73646286	73657758	73682758	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_013	FAMILY_MEMBER	GOLGA6L10	chr15	80204134	80213595	.	KEEP_KNOWN	80179134	80204134	80213595	80238595	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_014	FAMILY_MEMBER	GOLGA6L9	chr15	80293456	80303275	.	KEEP_KNOWN	80268456	80293456	80303275	80328275	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_015	FAMILY_MEMBER	GOLGA6L4	chr15	82101756	82111482	.	KEEP_KNOWN	82076756	82101756	82111482	82136482	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_016	CANDIDATE_MEMBER	.	chr15	82259345	82265184	.	KEEP_RNA_CANDIDATE	82234345	82259345	82265184	82290184	LOCUS_PROXY_NOT_STABLE_BLOCK
FAM_017	CANDIDATE_MEMBER	.	chr5	7237265	7244593	.	KEEP_RNA_CANDIDATE	7212265	7237265	7244593	7269593	LOCUS_PROXY_NOT_STABLE_BLOCK
