member	class	locus	length_bp	colour
NPIPB2	NPIPB	chr16:11963305-12012756	49451	#ea4335
NPIPA2	NPIPA	chr16:14746465-14763820	17355	#4285f4
NPIPP1	NPIPP	chr16:15105361-15124458	19097	#fbbc04
NPIPA5	NPIPA	chr16:15368422-15385843	17421	#4285f4
NPIPA7	NPIPA	chr16:16391277-16406172	14895	#4285f4
NPIPB6	NPIPB	chr16:28623069-28643879	20810	#ea4335
NPIPB8	NPIPB	chr16:28737050-28758038	20988	#ea4335
NPIPB7	NPIPB	chr16:28924552-28939395	14843	#ea4335
NPIPB9	NPIPB	chr16:29032364-29053395	21031	#ea4335
NPIPB10P	NPIPB	chr16:29319787-29333871	14084	#ea4335
NPIPB11	NPIPB	chr16:29663393-29685822	22429	#ea4335
NPIPB12	NPIPB	chr16:29765424-29788033	22609	#ea4335
NPIPB14P	NPIPB	chr16:75785804-75805631	19827	#ea4335
NPIPB15	NPIPB	chr16:80195643-80209850	14207	#ea4335
