case	locus_id	annotation	disposition	membership_role	fresh_family	rna_degree	dna_degree	both_layer_degree	rna_only_degree	dna_only_degree
NBPF_core	L~chr1_108256107_108352036	NBPF4	KEEP_KNOWN_OUTLIER	FAMILY_MEMBER_OUTLIER	GWFAM1	4	3	3	1	0
NBPF_core	L~chr1_108483676_108505296	NBPF6	KEEP_KNOWN	FAMILY_MEMBER	GWFAM1	4	3	3	1	0
NBPF_core	L~chr1_119846928_119858001	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	GWFAM1	3	10	2	1	8
NBPF_core	L~chr1_120818528_120841268	NBPF26	KEEP_KNOWN	FAMILY_MEMBER	GWFAM1	7	13	6	1	7
NBPF_core	L~chr1_144475892_144478091	NBPF20	KEEP_KNOWN	FAMILY_MEMBER	GWFAM0	0	13	0	0	13
NBPF_core	L~chr1_144498118_144521381	NBPF20	KEEP_KNOWN	FAMILY_MEMBER	GWFAM1	7	13	6	1	7
NBPF_core	L~chr1_144699240_144702777	GPR89A	REVIEW_CONFLICTING_GENE	EXCLUDE_CONFOUND	GWFAM2	0	8	0	0	8
NBPF_core	L~chr1_145181583_145189075	NBPF10	KEEP_KNOWN	FAMILY_MEMBER	GWFAM1	6	13	6	0	7
NBPF_core	L~chr1_145721210_145740087	NBPF9	KEEP_KNOWN	FAMILY_MEMBER	GWFAM1	12	14	9	3	5
NBPF_core	L~chr1_146189554_146215274	NBPF14,NOTCH2NLB	KEEP_KNOWN	FAMILY_MEMBER	GWFAM1	5	13	5	0	8
NBPF_core	L~chr1_146679786_146702814	NBPF11	KEEP_KNOWN	FAMILY_MEMBER	GWFAM1	7	13	6	1	7
NBPF_core	L~chr1_147812240_147817768	NBPF12	KEEP_KNOWN	FAMILY_MEMBER	GWFAM1	6	13	6	0	7
NBPF_core	L~chr1_148602579_148620962	NBPF19	KEEP_KNOWN	FAMILY_MEMBER	GWFAM1	6	14	6	0	8
NBPF_core	L~chr1_148676047_148680542	NBPF19	KEEP_KNOWN	FAMILY_MEMBER	GWFAM1	5	13	5	0	8
NBPF_core	L~chr1_16004106_16009694	NBPF1	KEEP_KNOWN	FAMILY_MEMBER	GWFAM1	6	13	6	0	7
NBPF_core	L~chr1_16197030_16220874	LOC124905564	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	GWFAM1	5	13	5	0	8
NBPF_core	L~chr1_16651438_16658629	LOC128966598	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	GWFAM1	5	7	5	0	2
NBPF_core	L~chr1_21264317_21308828	NBPF3	KEEP_KNOWN	FAMILY_MEMBER	GWFAM1	7	9	3	4	6
NBPF_core	L~chr5_86765435_86780649	.	KEEP_RNA_CANDIDATE	CANDIDATE_MEMBER	GWFAM1	3	2	2	1	0
