fam	gene	n_exon_ge80	has_shared_exon	rna_found	topup	bucket
ID_35	AL669831.1	13	True	True	False	FOUND:protein-tail
ID_393	MST1L	16	True	True	False	FOUND:rna-split
ID_393	MST1P2	14	True	True	False	FOUND:rna-split
ID_131	AMY2A	10	True	True	False	FOUND:rna-split
ID_131	AMY1A	13	True	True	False	FOUND:rna-split
ID_131	AC105272.1	0	False	False	True	MISS:mischain
ID_131	AMY1B	12	True	True	False	FOUND:rna-split
ID_131	AMYP1	0	False	True	False	FOUND:protein-tail
ID_131	AMY1C	10	True	True	False	FOUND:rna-split
ID_400	NOTCH2	37	True	True	False	FOUND:rna-split
ID_448	SEC22B	5	True	True	False	FOUND:rna-split
ID_215	AC244669.2	6	True	False	False	MISS:not-expressed
ID_212	AC244669.1	5	True	True	False	FOUND:rna-split
ID_215	AC241952.1	45	True	True	False	FOUND:rna-split
ID_400	NOTCH2NLR	5	True	True	False	FOUND:projection
ID_400	NBPF26	27	True	True	False	FOUND:rna-split
ID_431	PPIAL4A	1	True	False	False	MISS:not-expressed
ID_212	AC241377.4	6	True	True	False	FOUND:rna-split
ID_211	AC241377.2	8	True	True	False	FOUND:rna-split
ID_357	FCGR1B	8	True	True	False	FOUND:rna-split
ID_226	H2BP1	5	True	True	False	FOUND:rna-split
ID_226	H3P4	2	True	False	False	MISS:collapse-K0
ID_354	FAM72B	5	True	True	False	FOUND:rna-split
ID_462	SRGAP2C	13	True	True	False	FOUND:rna-split
ID_24	AC239859.5	1	True	True	False	FOUND:expr-collapse
ID_22	AC239859.4	1	False	True	False	FOUND:rna-split
ID_212	AC239800.1	6	True	True	False	FOUND:projection
ID_211	AC239798.1	15	True	True	False	FOUND:projection
ID_357	FCGR1CP	6	True	True	False	FOUND:rna-split
ID_226	H3-2	4	True	True	False	FOUND:rna-split
ID_354	FAM72C	9	True	True	False	FOUND:rna-split
ID_462	SRGAP2D	5	True	True	False	FOUND:rna-split
ID_431	PPIAL4F	1	True	False	False	MISS:not-expressed
ID_213	AC246785.1	1	True	False	False	MISS:not-expressed
ID_431	PPIAL4E	1	True	False	False	MISS:not-expressed
ID_22	FP700107.1	0	False	True	False	FOUND:rna-split
ID_462	SRGAP2B	21	True	True	False	FOUND:rna-split
ID_354	FAM72D	9	True	True	False	FOUND:rna-split
ID_211	AC241585.3	4	True	True	False	FOUND:rna-split
ID_431	PPIAL4D	1	True	True	False	FOUND:rna-split
ID_215	AC239860.2	4	True	True	False	FOUND:rna-split
