Node,Colour
1,#1e8e3e
2,#1e8e3e
3,#1e8e3e
4,#1e8e3e
5,#1e8e3e
6,#1e8e3e
7,#1e8e3e
8,#1e8e3e
9,#1e8e3e
10,#1e8e3e
11,#1e8e3e
12,#1e8e3e
13,#1e8e3e
14,#1e8e3e
15,#1e8e3e
16,#1e8e3e
17,#1e8e3e
18,#1e8e3e
19,#1e8e3e
20,#1e8e3e
21,#1e8e3e
22,#1e8e3e
23,#1e8e3e
24,#1e8e3e
25,#1e8e3e
26,#1e8e3e
27,#1e8e3e
28,#1e8e3e
29,#1e8e3e
30,#1e8e3e
31,#1e8e3e
32,#1e8e3e
33,#1e8e3e
34,#1e8e3e
35,#1e8e3e
36,#1e8e3e
37,#1e8e3e
38,#1e8e3e
39,#1e8e3e
40,#1e8e3e
41,#1e8e3e
42,#1e8e3e
43,#1e8e3e
44,#1e8e3e
45,#1e8e3e
46,#1e8e3e
47,#1e8e3e
48,#1e8e3e
49,#1e8e3e
50,#1e8e3e
51,#1e8e3e
52,#1e8e3e
53,#1e8e3e
54,#1e8e3e
55,#1e8e3e
56,#1e8e3e
57,#1e8e3e
58,#1e8e3e
59,#1e8e3e
60,#1e8e3e
61,#1e8e3e
62,#1e8e3e
63,#1e8e3e
64,#1e8e3e
65,#1e8e3e
66,#1e8e3e
67,#1e8e3e
68,#1e8e3e
69,#1e8e3e
70,#1e8e3e
71,#1e8e3e
72,#1e8e3e
73,#1e8e3e
74,#1e8e3e
75,#1e8e3e
76,#1e8e3e
77,#1e8e3e
78,#1e8e3e
79,#1e8e3e
80,#1e8e3e
81,#1e8e3e
82,#1e8e3e
83,#1e8e3e
84,#1e8e3e
85,#1e8e3e
86,#1e8e3e
87,#1e8e3e
88,#1e8e3e
89,#1e8e3e
90,#1e8e3e
91,#1e8e3e
92,#1e8e3e
93,#1e8e3e
94,#1e8e3e
95,#1e8e3e
96,#1e8e3e
97,#1e8e3e
98,#1e8e3e
99,#1e8e3e
100,#1e8e3e
101,#1e8e3e
102,#1e8e3e
103,#1e8e3e
104,#1e8e3e
105,#1e8e3e
106,#1e8e3e
107,#1e8e3e
108,#1e8e3e
109,#1e8e3e
110,#1e8e3e
111,#1e8e3e
112,#1e8e3e
113,#1e8e3e
114,#1e8e3e
115,#1e8e3e
116,#1e8e3e
117,#1e8e3e
118,#1e8e3e
119,#1e8e3e
120,#1e8e3e
121,#1e8e3e
122,#1e8e3e
123,#1e8e3e
124,#1e8e3e
125,#1e8e3e
126,#1e8e3e
127,#1e8e3e
128,#1e8e3e
129,#1e8e3e
