name	chrom	primary	secondary	supplementary	secondary_frac	flagged
ERV3-1-ZNF117	chr7	30	3721	0	0.9920	1
PKD1P4-NPIPA8	chr16	10	1150	0	0.9914	1
PKD1P3-NPIPA1	chr16	214	628	0	0.7458	1
SLX1A-SULT1A3	chr16	2	122	0	0.9839	1
POLR2J3-UPK3BL2	chr7	78	103	0	0.5691	1
ZNF816-ZNF321P	chr19	2	61	0	0.9683	1
BOLA2-SMG1P6	chr16	60	51	0	0.4595	0
XNDC1N-ZNF705EP-ALG1L9P	chr11	13	29	0	0.6905	1
PARGP1-AGAP4	chr10	5	20	0	0.8000	1
BMS1P2-AGAP9	chr10	29	15	0	0.3409	0
DTX2P1-UPK3BP1-PMS2P11	chr7	195	11	1	0.0531	0
LINC01297-DUXAP10-NBEAP6	chr14	13	7	0	0.3500	0
CZ1P-ASNS	chr7	1	5	0	0.8333	1
SLX1B-SULT1A4	chr16	120	4	0	0.0323	0
TIMM23B-AGAP6	chr10	36	4	0	0.1000	0
BMS1P4-AGAP5	chr10	3	3	0	0.5000	0
PKD1P6-NPIPP1	chr16	110	3	0	0.0265	0
PDXDC2P-NPIPB14P	chr16	726	1	2	0.0014	0
ABCF2-H2BK1	chr7	2	0	0	0.0000	0
ABHD14A-ACY1	chr3	1	0	0	0.0000	0
ACBD7-DCLRE1CP1	chr10	0	0	0		0
ADAM15-EFNA4	chr1	0	0	0		0
ANKHD1-EIF4EBP3	chr5	197	0	0	0.0000	0
ANKRD62P1-PARP4P3	chr22	4	0	0	0.0000	0
AOX3P-AOX2P	chr2	3	0	0	0.0000	0
APOC4-APOC2	chr19	0	0	0		0
ARHGAP11A-SCG5	chr15	0	0	0		0
ARHGAP19-SLIT1	chr10	12	0	0	0.0000	0
ARHGAP27P1-BPTFP1-KPNA2P3	chr17	182	0	2	0.0000	0
ARL2-SNX15	chr11	0	0	0		0
ARMCX5-GPRASP2	chrX	0	0	0		0
ARPC4-TTLL3	chr3	2	0	0	0.0000	0
ARPIN-AP3S2	chr15	128	0	0	0.0000	0
ATF7-NPFF	chr12	5	0	0	0.0000	0
ATP5MF-PTCD1	chr7	1	0	0	0.0000	0
ATP6V1G2-DDX39B	chr6	1	0	0	0.0000	0
BCL2L2-PABPN1	chr14	1	0	0	0.0000	0
BIVM-ERCC5	chr13	0	0	0		0
BLOC1S1-RDH5	chr12	9	0	0	0.0000	0
BLOC1S5-TXNDC5	chr6	3	0	0	0.0000	0
BORCS7-ASMT	chr10	0	0	0		0
BORCS8-MEF2B	chr19	12	0	0	0.0000	0
BUB1B-PAK6	chr15	0	0	0		0
C1QTNF3-AMACR	chr5	71	0	0	0.0000	0
C8orf44-SGK3	chr8	5	0	0	0.0000	0
CCDC169-SOHLH2	chr13	38	0	0	0.0000	0
CCL15-CCL14	chr17	0	0	0		0
CCZ1P-OR7E38P	chr7	10	0	1	0.0000	0
CENPS-CORT	chr1	128	0	0	0.0000	0
CFAP298-TCP10L	chr21	79	0	0	0.0000	0
CHKB-CPT1B	chr22	9	0	0	0.0000	0
CHURC1-FNTB	chr14	6	0	0	0.0000	0
CKLF-CMTM1	chr16	1	0	0	0.0000	0
CNPY3-GNMT	chr6	0	0	0		0
COMMD3-BMI1	chr10	17	0	0	0.0000	0
CORO7-PAM16	chr16	40	0	0	0.0000	0
CRYZL2P-SEC16B	chr1	0	0	0		0
CYP3A7-CYP3A51P	chr7	1	0	0	0.0000	0
DNAAF4-CCPG1	chr15	60	0	0	0.0000	0
DNAJC25-GNG10	chr9	3	0	1	0.0000	0
DUS4L-BCAP29	chr7	104	0	0	0.0000	0
EEF1AKMT4-ECE2	chr3	0	0	0		0
EEF1E1-BLOC1S5	chr6	7	0	0	0.0000	0
EFNA4-EFNA3	chr1	0	0	0		0
EPPIN-WFDC6	chr20	211	0	0	0.0000	0
FAM24B-CUZD1	chr10	9	0	0	0.0000	0
FAM47E-STBD1	chr4	0	0	0		0
FKBP1A-SDCBP2	chr20	7	0	0	0.0000	0
FPGT-TNNI3K	chr1	74	0	0	0.0000	0
