foreign_chrom	foreign_start	foreign_end	foreign_bp	foreign_gene	frac_of_gene	frac_of_node	gene_start	gene_end	n_exon	n_reads	stub	npip_gene	npip_chrom	npip_start	npip_end	identity	coverage
chr15	30212429	30214664	2235	ULK4P1	0.0786	1.0	30203116	30231537	1	3	true	NPIPP1	chr16	15115422	15127838	0.773100	0.544195
chr2	106938500	106944239	5739	AC097527.1	0.0867	0.10385084509496428	106932223	106939096	1	10	false	NPIPP1	chr16	15115422	15127838	0.796600	0.553430
chr5	71451290	71455647	4357	NAIP	0.0762	1.0	71424929	71482091	1	19	true	NPIPP1	chr16	15115422	15127838	0.775400	0.552770
chr1	173801	174341	540	AL669831.1	0.0102	1.0	152393	205163	1	2	true	NPIPB2	chr16	11973917	11975609	0.815500	0.500000
chr1	173801	174341	540	AL669831.1	0.0102	1.0	152393	205163	1	2	true	NPIPA5	chr16	15379006	15381280	0.819200	0.500000
chr1	148920635	148922847	2212	H2BC18	0.0745	1.0	148906833	148936508	1	8	false	NPIPB2	chr16	11973917	11975609	0.710100	0.562648
chr10	48587857	48594960	7103	SHLD2P3	0.1744	1.0	48581036	48621767	1	10	true	NPIPB2	chr16	11973917	11975609	0.750700	0.736407
chr10	48587857	48594960	7103	SHLD2P3	0.1744	1.0	48581036	48621767	1	10	true	NPIPA5	chr16	15379006	15381280	0.754700	0.557608
chr17	39066554	39068512	1958	NPEPPSP1	0.0319	1.0	39058772	39120206	1	4	true	NPIPB2	chr16	11973917	11975609	0.795600	0.581560
chr17	65767745	65768292	547	LRRC37A3	0.0084	1.0	65724068	65789437	1	2	true	NPIPB2	chr16	11973917	11975609	0.816300	0.513711
chr22	5839580	5844140	4560	AC134878.2	0.0743	1.0	5801017	5862418	1	77	true	NPIPB2	chr16	11973917	11975609	0.815800	0.605792
chr9	78962557	78971254	8697	CNTNAP3P2	0.0371	1.0	78831664	79065816	1	33	true	NPIPB2	chr16	11973917	11975609	0.822800	0.595745
chr16	33031411	33034722	3311	AC137800.2	0.4521	0.4714587737843552	33033161	33036614	1	16	true	NPIPB2	chr16	11980804	11982160	0.732100	0.581858
chr17	65767745	65768292	547	LRRC37A3	0.0084	1.0	65724068	65789437	1	2	true	NPIPB2	chr16	11980804	11982160	0.852100	0.515539
chr17	65785754	65788623	2869	LRRC37A3	0.0439	1.0	65724068	65789437	1	4	true	NPIPB2	chr16	11980804	11982160	0.751600	0.591445
chr21	10672256	10688799	16543	BAGE2	0.1594	1.0	10610346	10714100	1	64	true	NPIPB2	chr16	11980804	11982160	0.761000	0.591445
chr7	74152005	74159057	7052	POM121	0.0978	1.0	74107538	74179670	1	21	true	NPIPB2	chr16	11980804	11982160	0.756700	0.580383
chr7	77894883	77895540	657	POMZP3	0.0387	1.0	77889197	77906183	1	2	true	NPIPB6	chr16	28638155	28641709	0.819200	0.908676
chr17	65767745	65768292	547	LRRC37A3	0.0084	1.0	65724068	65789437	1	2	true	NPIPB8	chr16	28747769	28750211	0.814700	0.568556
chr9	41333336	41333806	470	BX005040.4	0.0094	1.0	41323315	41373554	1	2	false	NPIPB8	chr16	28753329	28756462	0.847700	0.542553
chr7	77894883	77895540	657	POMZP3	0.0387	1.0	77889197	77906183	1	2	true	NPIPB7	chr16	28926181	28928624	0.795400	0.914764
chr7	77894883	77895540	657	POMZP3	0.0387	1.0	77889197	77906183	1	2	true	NPIPB10P	chr16	29320690	29323145	0.793800	0.914764
