qname	read_len	mm2_pick	mm2_margin	hmm_pick	hmm_margin	picks_agree	gene-LOC101150678	gene-LOC129527057	gene-LOC129527171	gene-LOC129527071	gene-LOC134757232	gene-LOC101151050	gene-LOC129527170
m64076_221110_210557/22283800/ccs	2029	gene-LOC129527171	0	gene-LOC101150678	0	FALSE	1583	1568	1613	1613	NA	1543	1548
m64076_221110_210557/44042079/ccs	2039	gene-LOC129527171	0	gene-LOC101150678	0	FALSE	1578	1583	1608	1608	NA	1538	1543
m64076_221110_210557/85133359/ccs	1924	gene-LOC101151050	0	gene-LOC129527057	0	FALSE	1438	1423	1423	1423	NA	1463	1463
m64076_221110_210557/127075278/ccs	4239	gene-LOC129527057	0	gene-LOC129527071	17.8585618258076	FALSE	3165	3283	3283	3223	NA	3094	NA
