missed_gene	chrom	start	strand	ident	famsize	real_introns	ST_tx	dec_secondary	dec_primary	sisters
LOC115931247	NC_073243.2	99802877	-	0.984	6	0	0	1118	1	FTH1;LOC101130581;LOC101130706;LOC109027830;LOC129525611
LOC101134109	NC_073236.2	32780197	+	0.925	2	0	0	482	2	UAP1
LOC101140932	NC_073247.2	87476399	-	0.917	2	0	0	142	1	TTC3
LOC101143340	NC_073228.2	29859177	+	0.978	2	0	0	98	0	POLRMT
LOC109028162	NC_073224.2	112884365	+	0.985	5	2	0	80	8	BMS1;LOC101138622;LOC101148457;LOC129527662
LOC101138622	NC_073240.2	20081222	+	0.985	5	4	0	54	1	BMS1;LOC101148457;LOC109028162;LOC129527662
LOC129528447	NC_073241.2	24631456	-	0.99	15	15	0	54	0	LOC101129069;LOC129523572;LOC129524661;LOC129528187;LOC129528194;LOC129528453;LOC129528465;LOC129529646;LOC129530391;LOC129530492;LOC129530571;LOC134757319;LOC134757391;TPTE2
LOC115934290	NC_073246.2	11244143	+	0.968	2	6	0	25	0	DOK7
LOC129526873	NC_073240.2	17791323	+	0.961	4	0	0	23	10	LOC129526106;LOC134756953;TBC1D1
LOC134757302	NC_073240.2	22756290	-	0.976	8	10	0	23	2	ACTB;LOC101139634;LOC101140864;LOC115933751;LOC115933765;LOC129527231;LOC129532087
LOC129525691	NC_073224.2	115967066	-	0.989	17	19	0	21	1	LOC101125737;LOC101131274;LOC101135585;LOC101147747;LOC115930164;LOC115930576;LOC115932984;LOC115933235;LOC115933275;LOC115934004;LOC129525191;LOC129525330;LOC129525331;LOC129525599;LOC134756448;LOC134756861
LOC115934570	NC_073228.2	65736453	-	0.989	2	0	0	21	2	C17H18orf32
LOC129531742	NC_073236.2	30560834	+	0.99	15	1	0	21	5	EIF3F;LOC115932761;LOC129524668;LOC129529383;LOC129529649;LOC129530380;LOC129530488;LOC129530568;LOC134756925;LOC134757073;LOC134757392;LOC134757413;LOC134757414;LOC134757415
LOC129528194	NC_073241.2	26420389	+	0.99	15	14	0	20	0	LOC101129069;LOC129523572;LOC129524661;LOC129528187;LOC129528447;LOC129528453;LOC129528465;LOC129529646;LOC129530391;LOC129530492;LOC129530571;LOC134757319;LOC134757391;TPTE2
LOC115933253	NC_073248.2	7003704	-	0.965	4	12	0	20	2	LOC101147502;LOC115930163;LOC115932828
LOC129523555	NC_073242.2	29864793	-	0.9	2	6	0	19	4	LOC115934567
LOC101132158	NC_073224.2	28923157	-	0.981	7	0	0	17	1	LOC101125084;LOC101132832;LOC101137471;LOC109028868;LOC115930093;RPS27
LOC129530591	NC_073241.2	184813	-	0.98	6	0	0	17	0	LOC101131725;LOC101147225;LOC115931637;LOC134757034;SNRPE
LOC129530592	NC_073241.2	171005	-	0.985	4	1	0	17	0	LOC129530537;LOC134757033;TINCR
LOC101139146	NC_073235.2	64003855	-	0.986	2	0	0	16	2	AHCTF1
LOC115931637	NC_073244.2	11367444	-	0.98	6	0	0	15	3	LOC101131725;LOC101147225;LOC129530591;LOC134757034;SNRPE
