Gene Name	ENSEMBL	Gene ID	Biotype	In Table S1 (SD98 gene set)	SD Unit	Median famCN	No. Assigned Families	Family ID	Family MAD	No. Family Members	No. Protein Coding	No. Unprocessed Pseudogene	Max famCN Great Apes	Min famCN Great Apes	famCN Status per Paralog	Non-Syntenic with Chimpanzee	parCN Category	Fetal brain Expression
ABBA01045074.1	ENSG00000286916.1	CHM13_G0056021	processed_pseudogene	No	SD3909	N/A	1	ID_1	0.0	10.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC134879.1	ENSG00000224567.2	CHM13_G0031594	processed_pseudogene	No	SD3909	N/A	1	ID_1	0.0	10.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AL359955.2	ENSG00000235932.2	CHM13_G0015649	processed_pseudogene	No	SD3909	N/A	1	ID_1	0.0	10.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AL512605.1	ENSG00000236252.2	CHM13_G0056016	transcribed_processed_pseudogene	No	SD11267,SD3909,SD3913,SD5048,SD7761,SD8216	N/A	1	ID_1	0.0	10.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AL591379.2	ENSG00000244081.1	CHM13_G0055949	unprocessed_pseudogene	Yes	SD3909	28.6608513	1	ID_1	0.0	10.0	0.0	1.0	52.361095	3.83947435	Undetermined	-	Polymorphic	No
BX284632.2	ENSG00000237904.2	CHM13_G0056019	processed_pseudogene	No	SD3909	N/A	1	ID_1	0.0	10.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
BX284632.2	ENSG00000237904.2	LOFF_G0002674	processed_pseudogene	No	SD3909	N/A	1	ID_1	0.0	10.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
CR381572.2	ENSG00000279615.1	CHM13_G0056020	processed_pseudogene	No	SD3909	N/A	1	ID_1	0.0	10.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
FP325318.1	ENSG00000276266.1	CHM13_G0056048	lncRNA	No	SD11267,SD3909,SD3913,SD5048,SD7761,SD8216	N/A	1	ID_1	0.0	10.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
FP325318.1	ENSG00000276266.1	LOFF_G0002842	lncRNA	No	SD11267,SD3909,SD3913,SD5048,SD7761,SD8216	N/A	1	ID_1	0.0	10.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
ABCC6	ENSG00000091262.15	CHM13_G0020753	protein_coding	Yes	SD11261,SD33,SD5914,SD9506,SD9507	3.62914798	1	ID_2	0.16416571	3.0	1.0	2.0	6.076192	1.71112285	Expanded in great apes	-	Fixed	Yes
ABCC6P1	ENSG00000256340.8	CHM13_G0020810	transcribed_unprocessed_pseudogene	Yes	SD9506,SD9507,SD9523	3.83068529	1	ID_2	0.16416571	3.0	1.0	2.0	5.99661285	1.78120815	Expanded in great apes	-	Nearly-Fixed	Yes
ABCC6P2	ENSG00000255277.3	CHM13_G0020704	transcribed_unprocessed_pseudogene	Yes	SD9507	4.97422933	1	ID_2	0.16416571	3.0	1.0	2.0	6.5879468	1.6938267	Expanded in great apes	-	Nearly-Fixed	Yes
ABCD1P3	ENSG00000261233.2	CHM13_G0021354	unprocessed_pseudogene	Yes	SD5000	6.14743965	1	ID_3	0.06584425	2.0	0.0	2.0	10.584659	1.5872684	Expanded in great apes	-	Nearly-Fixed	No
ABCD1P3	ENSG00000261233.2	LOFF_G0001149	unprocessed_pseudogene	Yes	SD5000	6.01575115	1	ID_3	0.06584425	2.0	0.0	2.0	11.363484	1.50582985	Expanded in great apes	-	Polymorphic	No
ABHD17A	ENSG00000129968.16	CHM13_G0027094	protein_coding	Yes	SD3226,SD3228,SD3229	7.2767055	1	ID_4	0.23178556	8.0	1.0	7.0	15.848834	3.8544636	Expanded in great apes	-	Nearly-Fixed	Yes
ABHD17AP1	ENSG00000198658.4	CHM13_G0002991	unprocessed_pseudogene	Yes	SD3226,SD3228,SD3229	8.4884975	1	ID_4	0.23178556	8.0	1.0	7.0	18.424463	4.2213845	Expanded in great apes	-	Nearly-Fixed	No
ABHD17AP7	ENSG00000260864.1	CHM13_G0021391	unprocessed_pseudogene	Yes	SD3228,SD3229	8.234282	1	ID_4	0.23178556	8.0	1.0	7.0	12.048029	6.1520457	Expanded in great apes	-	Nearly-Fixed	No
ABHD17AP7	ENSG00000260864.1	LOFF_G0001140	unprocessed_pseudogene	Yes	SD3228,SD3229	8.07110938	1	ID_4	0.23178556	8.0	1.0	7.0	11.7344915	5.82706045	Expanded in great apes	-	Polymorphic	No
ABHD17AP8	ENSG00000260540.2	CHM13_G0021342	unprocessed_pseudogene	Yes	SD3228,SD3229	8.043159	1	ID_4	0.23178556	8.0	1.0	7.0	12.2473965	6.3909939	Expanded in great apes	-	Nearly-Fixed	No
ABHD17AP9	ENSG00000261536.2	CHM13_G0021362	unprocessed_pseudogene	Yes	SD2099,SD3228,SD3229	8.188099	1	ID_4	0.23178556	8.0	1.0	7.0	11.881786	6.2687454	Expanded in great apes	-	Nearly-Fixed	No
AC091304.2	ENSG00000260159.1	CHM13_G0018229	unprocessed_pseudogene	Yes	SD3228,SD3229	7.75637138	1	ID_4	0.23178556	8.0	1.0	7.0	10.746497	6.025667	Expanded in great apes	-	Nearly-Fixed	No
AC116165.3	ENSG00000278552.1	CHM13_G0018051	unprocessed_pseudogene	Yes	SD3229	9.05052287	1	ID_4	0.23178556	8.0	1.0	7.0	13.261657	5.73281215	Expanded in great apes	-	Nearly-Fixed	No
AC004899.1	ENSG00000225705.2	CHM13_G0050562	processed_pseudogene	No	.	N/A	1	ID_5	0.0	2.0	1.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
CDC14C	ENSG00000218305.4	CHM13_G0050565	protein_coding	Yes	.	4.0112895	1	ID_5	0.0	2.0	1.0	0.0	4.2421579	2.3492737	Expanded in great apes	-	Nearly-Fixed	No
AC004951.2	ENSG00000239556.4	CHM13_G0050462	transcribed_unprocessed_pseudogene	Yes	.	4.8183767	1	ID_6	0.0274779	3.0	1.0	1.0	9.655403	1.5707451	Expanded in great apes	-	Nearly-Fixed	Yes
POLR2J4	ENSG00000214783.9	CHM13_G0050459	lncRNA	No	.	N/A	6	ID_6	0.0274779	3.0	1.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
UPK3BL1	ENSG00000267368.1	CHM13_G0051621	protein_coding	Yes	.	4.8733325	1	ID_6	0.0274779	3.0	1.0	1.0	9.639821	1.599966	Expanded in great apes	-	Nearly-Fixed	Yes
AC004951.3	ENSG00000241057.2	CHM13_G0050461	transcribed_unprocessed_pseudogene	Yes	.	5.014106	1	ID_7	0.76383183	9.0	2.0	3.0	8.324575	1.3627858	Expanded in great apes	-	Fixed	Yes
AC004951.4	ENSG00000273432.1	CHM13_G0050460	lncRNA	No	.	N/A	5	ID_7	0.76383183	9.0	2.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
AC017116.2	ENSG00000285596.1	CHM13_G0050465	lncRNA	No	.	N/A	5	ID_7	0.76383183	9.0	2.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
AC105052.4	ENSG00000279168.2	CHM13_G0051627	lncRNA	No	.	N/A	1	ID_7	0.76383183	9.0	2.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
POLR2J4	ENSG00000214783.9	CHM13_G0050459	lncRNA	No	.	N/A	6	ID_7	0.76383183	9.0	2.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
RASA4B	ENSG00000170667.15	CHM13_G0051618	protein_coding	Yes	.	5.2777029	1	ID_7	0.76383183	9.0	2.0	3.0	8.653903	1.45661825	Expanded in great apes	-	Nearly-Fixed	Yes
RASA4CP	ENSG00000228903.7	CHM13_G0050467	transcribed_unprocessed_pseudogene	Yes	.	6.2730105	1	ID_7	0.76383183	9.0	2.0	3.0	11.565046	1.3900927	Expanded in great apes	-	Fixed	Yes
RASA4DP	ENSG00000233297.4	CHM13_G0051628	unprocessed_pseudogene	Yes	.	6.68258435	1	ID_7	0.76383183	9.0	2.0	3.0	12.12529	1.4111404	Expanded in great apes	-	Nearly-Fixed	Yes
RASA4	ENSG00000105808.18	CHM13_G0051631	protein_coding	Yes	.	7.03684233	1	ID_7	0.76383183	9.0	2.0	3.0	10.962753	1.3763465	Expanded in great apes	-	Nearly-Fixed	Yes
AC004951.4	ENSG00000273432.1	CHM13_G0050460	lncRNA	No	.	N/A	5	ID_8	1.15437763	14.0	0.0	10.0	N/A	N/A	N/A	N/A	N/A	N/A
AC017116.2	ENSG00000285596.1	CHM13_G0050465	lncRNA	No	.	N/A	5	ID_8	1.15437763	14.0	0.0	10.0	N/A	N/A	N/A	N/A	N/A	N/A
AC211476.3	ENSG00000273897.1	LOFF_G0002443	unprocessed_pseudogene	Yes	SD8610	25.2704435	1	ID_8	1.15437763	14.0	0.0	10.0	60.167042	8.264953	Undetermined	chr7:76367000-76642000	Polymorphic	Yes
AC211476.6	ENSG00000285702.1	CHM13_G0051099	lncRNA	No	SD8610	N/A	3	ID_8	1.15437763	14.0	0.0	10.0	N/A	N/A	N/A	N/A	N/A	N/A
AC211486.3	ENSG00000273598.1	CHM13_G0051105	transcribed_unprocessed_pseudogene	Yes	SD8610	25.2276903	1	ID_8	1.15437763	14.0	0.0	10.0	57.7542415	8.004846	Undetermined	chr7:76367000-76642000	Polymorphic	No
PMS2P10	ENSG00000276840.1	CHM13_G0051102	transcribed_unprocessed_pseudogene	Yes	SD8610	25.467263	1	ID_8	1.15437763	14.0	0.0	10.0	60.1045515	8.04441085	Undetermined	chr7:76367000-76642000	Polymorphic	Yes
PMS2P11	ENSG00000241350.1	CHM13_G0051029	transcribed_unprocessed_pseudogene	Yes	SD10727	23.352471	1	ID_8	1.15437763	14.0	0.0	10.0	40.539433	7.951451	Undetermined	chr7:74249000-74314000	Nearly-Fixed	No
