family_id	n_copies	n_chroms	chroms	cross_chrom	avg_reads	protein_coheres
GWFAM0	6	4	chr1,chr10,chr3,chr4	true	8.8	NA
GWFAM1	8	4	chr1,chr10,chr4,chr9	true	8.9	NA
GWFAM2	2	1	chr1	false	8.0	NA
GWFAM3	8	1	chr1	false	48.5	NA
GWFAM4	2	1	chr1	false	270.0	NA
GWFAM5	3	1	chr1	false	7.0	NA
GWFAM6	3	1	chr1	false	31.3	NA
GWFAM7	3	1	chr1	false	126.0	NA
GWFAM8	2	1	chr1	false	4.0	NA
GWFAM9	2	1	chr1	false	3.5	NA
GWFAM10	4	1	chr1	false	93.5	NA
GWFAM11	3	1	chr1	false	30.0	NA
GWFAM12	2	1	chr1	false	38.0	NA
GWFAM13	2	1	chr1	false	7.5	NA
GWFAM14	2	1	chr1	false	3.0	NA
GWFAM15	2	1	chr1	false	46.5	NA
GWFAM16	3	1	chr10	false	299.0	NA
GWFAM17	3	1	chr10	false	9.0	NA
GWFAM18	8	5	chr11,chr12,chr19,chr2,chr3	true	14.0	NA
GWFAM19	2	1	chr11	false	2.0	NA
GWFAM20	3	3	chr14,chr3,chr9	true	9.7	NA
GWFAM21	2	1	chr14	false	3.0	NA
GWFAM22	2	2	chr14,chr22	true	7.5	NA
GWFAM23	25	1	chr15	false	39.6	NA
GWFAM24	4	1	chr15	false	19.2	NA
GWFAM25	2	1	chr15	false	4.5	NA
GWFAM26	2	1	chr15	false	24.5	NA
GWFAM27	2	1	chr15	false	5.5	NA
GWFAM28	3	1	chr15	false	5.7	NA
GWFAM29	4	1	chr15	false	26.0	NA
GWFAM30	2	1	chr15	false	4.5	NA
GWFAM31	2	1	chr15	false	2.0	NA
GWFAM32	14	1	chr16	false	39.7	NA
GWFAM33	2	1	chr16	false	2.5	NA
GWFAM34	7	5	chr16,chr2,chr5,chr7,chr9	true	3.7	NA
GWFAM35	3	1	chr16	false	61.0	NA
GWFAM36	2	2	chr16,chr5	true	51.0	NA
GWFAM37	4	1	chr17	false	371.8	NA
GWFAM38	2	1	chr17	false	6.0	NA
GWFAM39	7	1	chr17	false	44.6	NA
GWFAM40	2	1	chr17	false	6.5	NA
GWFAM41	4	2	chr18,chr9	true	57.0	NA
GWFAM42	6	1	chr2	false	876.8	NA
GWFAM43	2	1	chr2	false	17.5	NA
GWFAM44	2	1	chr2	false	25.5	NA
GWFAM45	4	1	chr2	false	176.0	NA
GWFAM46	4	2	chr2,chr9	true	77.0	NA
GWFAM47	5	1	chr22	false	495.8	NA
GWFAM48	2	1	chr5	false	6.0	NA
GWFAM49	5	1	chr5	false	29.6	NA
GWFAM50	2	1	chr5	false	6.5	NA
GWFAM51	3	2	chr5,chr6	true	116.0	NA
GWFAM52	7	1	chr7	false	59.6	NA
GWFAM53	2	1	chr7	false	13.0	NA
GWFAM54	6	1	chr7	false	13.0	NA
GWFAM55	3	1	chr7	false	159.7	NA
GWFAM56	2	1	chr7	false	50.5	NA
GWFAM57	2	1	chr7	false	21.0	NA
GWFAM58	2	1	chr7	false	68.5	NA
GWFAM59	2	1	chr7	false	17.0	NA
GWFAM60	3	1	chr8	false	6.7	NA
GWFAM61	2	1	chr9	false	24.0	NA
GWFAM62	3	1	chr9	false	5.0	NA
GWFAM63	2	1	chr9	false	53.0	NA
GWFAM64	2	1	chr9	false	6.0	NA
GWFAM65	2	1	chr9	false	44.5	NA
