source_probe	source_annotation	family_probe	family_annotation	source_interval	family_interval	source_genomic_interval	family_genomic_interval	strand	identity	aligned_span	evidence_status
SRC_GOLGA2	GOLGA2	FAM_012	.	16397-19484	735-3516	chr9:140479339-140482426	chr15:73647021-73649802	-	0.8821	2781	PROVISIONAL_PAIRWISE_BLOCK
SRC_GOLGA2	GOLGA2	FAM_006	GOLGA8F	8900-11855	2417-5353	chr9:140471842-140474797	chr15:26123764-26126700	-	0.8616	2936	PROVISIONAL_PAIRWISE_BLOCK
SRC_GOLGA2	GOLGA2	FAM_007	GOLGA8G	8900-11855	8114-11050	chr9:140471842-140474797	chr15:26304395-26307331	+	0.8616	2936	PROVISIONAL_PAIRWISE_BLOCK
SRC_GOLGA2	GOLGA2	FAM_012	.	8900-11661	3625-6367	chr9:140471842-140474603	chr15:73649911-73652653	-	0.8628	2742	PROVISIONAL_PAIRWISE_BLOCK
SRC_GOLGA2	GOLGA2	FAM_010	GOLGA8A	8932-11858	5157-8056	chr9:140471874-140474800	chr15:32189957-32192856	+	0.8582	2899	PROVISIONAL_PAIRWISE_BLOCK
SRC_GOLGA2	GOLGA2	FAM_009	GOLGA8O	8913-11858	5139-8077	chr9:140471855-140474800	chr15:30246586-30249524	+	0.8576	2938	PROVISIONAL_PAIRWISE_BLOCK
SRC_GOLGA2	GOLGA2	FAM_003	.	1352-4641	6748-10336	chr9:140464294-140467583	chr15:20847944-20851532	-	0.8517	3289	PROVISIONAL_PAIRWISE_BLOCK
SRC_GOLGA2	GOLGA2	FAM_006	GOLGA8F	1352-4641	6752-10355	chr9:140464294-140467583	chr15:26128099-26131702	-	0.8497	3289	PROVISIONAL_PAIRWISE_BLOCK
SRC_GOLGA2	GOLGA2	FAM_007	GOLGA8G	1352-4641	3112-6715	chr9:140464294-140467583	chr15:26299393-26302996	+	0.8487	3289	PROVISIONAL_PAIRWISE_BLOCK
SRC_GOLGA2	GOLGA2	FAM_002	.	9395-11858	5442-7816	chr9:140472337-140474800	chr15:20284927-20287301	+	0.8595	2374	PROVISIONAL_PAIRWISE_BLOCK
SRC_GOLGA2	GOLGA2	FAM_012	.	1348-3986	8707-11325	chr9:140464290-140466928	chr15:73654993-73657611	-	0.8533	2618	PROVISIONAL_PAIRWISE_BLOCK
SRC_GOLGA2	GOLGA2	FAM_004	LOC124907502	3998-5825	6025-7749	chr9:140466940-140468767	chr15:20978644-20980368	+	0.8516	1724	PROVISIONAL_PAIRWISE_BLOCK
SRC_ITSN2	ITSN2	FAM_001	.	37351-39191	1067-2898	chr2:24274911-24276751	chr15:20097835-20099666	+	0.8975	1831	PROVISIONAL_PAIRWISE_BLOCK
SRC_ITSN2	ITSN2	FAM_000	.	37351-39191	249-2080	chr2:24274911-24276751	chr15:18484642-18486473	-	0.8969	1831	PROVISIONAL_PAIRWISE_BLOCK
SRC_ITSN2	ITSN2	FAM_006	GOLGA8F	37351-39191	10502-12333	chr2:24274911-24276751	chr15:26131849-26133680	-	0.8964	1831	PROVISIONAL_PAIRWISE_BLOCK
SRC_ITSN2	ITSN2	FAM_007	GOLGA8G	37351-39191	1134-2965	chr2:24274911-24276751	chr15:26297415-26299246	+	0.8964	1831	PROVISIONAL_PAIRWISE_BLOCK
SRC_ITSN2	ITSN2	FAM_003	.	37351-39191	10483-12315	chr2:24274911-24276751	chr15:20851679-20853511	-	0.8965	1832	PROVISIONAL_PAIRWISE_BLOCK
SRC_ITSN2	ITSN2	FAM_004	LOC124907502	37351-39191	1061-2891	chr2:24274911-24276751	chr15:20973680-20975510	+	0.8959	1830	PROVISIONAL_PAIRWISE_BLOCK
SRC_ITSN2	ITSN2	FAM_000	.	36018-37071	2275-3304	chr2:24273578-24274631	chr15:18486668-18487697	-	0.9130	1029	PROVISIONAL_PAIRWISE_BLOCK
