family	copy	chrom	start	end	gene	n_psv	n_sun	tier	hap_unique	group_size
0	copy0	NC_073224.2	129364055	129435645	GSTM2	246	9	1	1	1
0	copy1	NC_073224.2	130222432	130281766	GSTM2	246	4	1	1	1
0	copy2	NC_073224.2	125048347	125095445	LOC129525331	246	25	1	1	1
0	copy3	NC_073224.2	130335549	130377191	GSTM2	246	4	1	1	1
0	copy4	NC_073224.2	116807774	116847210	LOC129525599	246	89	1	1	1
0	copy5	NC_073224.2	117489966	117529051	LOC134756861	246	33	1	1	1
0	copy6	NC_073224.2	125591784	125598382	LOC129525330	246	16	1	1	1
1	copy0	NC_073236.2	51160955	51224381	LOC129531666	0	0	3	0	7
1	copy1	NC_073236.2	52783029	52845980	LOC101131768	0	0	3	0	7
1	copy2	NC_073236.2	47672319	47731251	LOC109025447	0	0	3	0	7
1	copy3	NC_073236.2	47732210	47781829	LOC109025447	0	0	3	0	7
1	copy4	NC_073236.2	49989275	50034304	RGPD8	0	0	3	0	7
1	copy5	NC_073236.2	46642885	46675998	LOC101136692	0	0	3	0	7
1	copy6	NC_073236.2	51437835	51458530	LOC129531667	0	0	3	0	7
3	copy0	NC_073233.2	129388517	129566576	SORL1	175	100	1	1	1
3	copy1	NC_073242.2	28854263	28916936	LOC115932779	175	37	1	1	1
3	copy2	NC_073244.2	20936541	20953498	LOC115933039	175	38	1	1	1
4	copy0	NC_073236.2	30205476	30233825	LOC129523503	834	84	1	1	1
4	copy1	NC_073227.2	12084820	12110719	LRPAP1	834	235	1	1	1
4	copy2	NC_073236.2	22548195	22573893	LOC134756753	834	48	1	1	1
4	copy3	NC_073238.2	23392840	23418423	LOC129526389	834	63	1	1	1
4	copy4	NC_073246.2	11287585	11311890	LOC129523574	834	131	1	1	1
4	copy5	NC_073248.2	45277558	45298527	LOC129530227	834	105	1	1	1
4	copy6	NC_073236.2	24785599	24806449	LOC115933156	834	33	1	1	1
5	copy0	NC_073240.2	23992777	24049871	TUBGCP5	139	139	1	1	1
