gene_a	gene_b	cls	in_ep	core	bridge_dn_a	bridge_dn_b	mask_a	mask_b	bridge_mask
ABCA10	ABCA8	truthbar	1	0.1809	DN_NC_073228.2_22763468_38	DN_NC_073228.2_23038330_39	0.1032	0.0995	0.1032
ABCA10	ABCA9	truthbar	1	0.3553	DN_NC_073228.2_22763468_38	DN_NC_073228.2_22930246_39	0.1032	0.1887	0.1887
ABCA13	ITSN1	genuine	0	0.1409	DN_NC_073230.2_56036026_15	DN_NC_073246.2_35769268_8	0.2345	0.2124	0.2345
ABCA13	LOC101150644	genuine	0	0.1360	DN_NC_073230.2_56036026_15	DN_NC_073233.2_11450665_3	0.2345	0.3132	0.3132
ABCA13	LOC129532904	genuine	0	0.1346	DN_NC_073227.2_36265860_3	DN_NC_073230.2_56036026_15	0.3216	0.2345	0.3216
ABCA8	ABCA9	truthbar	1	0.4182	DN_NC_073228.2_22930246_39	DN_NC_073228.2_23038330_39	0.1887	0.0995	0.1887
ABCD1	LOC129526391	TP	0	0.4426	DN_NC_073236.2_25270756_7	DN_NC_073247.2_165410205_10	0.0245	0.0445	0.0445
ABCD1	LOC129526471	TP	0	0.3255	DN_NC_073236.2_22701854_7	DN_NC_073247.2_165410205_10	0.0268	0.0445	0.0445
ABCD1	LOC129531453	TP	0	0.3224	DN_NC_073240.2_15970659_7	DN_NC_073247.2_165410205_10	0.0223	0.0445	0.0445
ABITRAM	CTNNAL1	genuine	0	0.7593	DN_NC_073237.2_105179643_6	DN_NC_073237.2_105184979_19	0.1638	0.1334	0.1638
ACAD10	SBK3	genuine	0						
ACADL	C3H4orf36	genuine	0	0.2241	DN_NC_073227.2_107202270_4	DN_NC_073235.2_112807340_11	0.3974	0.3029	0.3974
ACADL	C9H11orf65	genuine	0						
ACADL	CCDC152	genuine	0						
ACADL	COPS9	genuine	0						
ACADL	DCAF16	genuine	0						
ACADL	GIMAP4	genuine	0						
ACADL	KLHL33	genuine	0						
ACADL	LIPA	genuine	0						
ACADL	LOC101126025	genuine	0						
ACADL	LOC101143448	genuine	0						
ACADL	LOC101145464	genuine	0						
ACADL	LOC109023154	genuine	0						
ACADL	LOC109024560	genuine	0						
ACADL	LOC109025730	genuine	0						
ACADL	LOC109028669	genuine	0						
ACADL	LOC129530096	genuine	0						
ACADL	LOC129530131	genuine	0						
ACADL	LOC129533438	genuine	0						
ACADL	LOC134756589	genuine	0						
ACADL	LRFN5	genuine	0						
ACADL	MINPP1	genuine	0						
ACADL	MMP24OS	genuine	0						
ACADL	NCALD	genuine	0						
ACADL	NCR3LG1	genuine	0						
ACADL	NFXL1	genuine	0						
ACADL	OXCT1	genuine	0						
ACADL	PDCD5	genuine	0						
ACADL	SELENOP	genuine	0						
ACADL	SEM1	genuine	0						
