chrom	start	end	best_gene	identity	kind	n_reads	transcribed
NC_073245.2	48261628	48264208	LOC115931305	0.986	unannotated	390	1
NC_073232.2	64913671	64928044	LOC115932680	0.994	pseudogene_copy	381	1
NC_086017.1	207540833	207569076	SDHA	0.948	pseudogene_copy	335	1
NC_073237.2	84453991	84454959	LOC115935771	0.975	unannotated	236	1
NC_073237.2	84054239	84054826	LOC109025084	0.967	pseudogene_copy	231	1
NC_073237.2	84073357	84074325	LOC115935771	0.975	unannotated	228	1
NC_073237.2	84209021	84209989	LOC115935771	0.975	unannotated	182	1
NC_073237.2	84228542	84229129	LOC109025084	0.967	pseudogene_copy	182	1
NC_073224.2	115174897	115193977	LOC101147747	0.928	pseudogene_copy	178	1
NC_073238.2	24960314	24979719	LOC134757226	0.978	unannotated	151	1
NC_086017.1	207228600	207256394	SDHA	0.938	pseudogene_copy	144	1
NC_073236.2	32986426	32994379	LOC129524732	0.975	unannotated	133	1
NC_073238.2	24390342	24407915	LOC129530485	0.99	pseudogene_copy	123	1
NC_073230.2	82279464	82287962	LOC109027880	0.992	pseudogene_copy	122	1
NC_073238.2	24374241	24376649	DRD5	0.947	pseudogene_copy	117	1
NC_073240.2	103158567	103161751	LOC134758386	0.997	unannotated	116	1
NC_073247.2	105163158	105171307	LOC129533540	0.94	unannotated	112	1
NC_073224.2	15892550	15902119	LOC129529234	0.994	pseudogene_copy	105	1
NC_073242.2	121237200	121266511	NDUFA8	0.982	pseudogene_copy	77	1
NC_073240.2	91489810	91492353	PERP	0.901	pseudogene_copy	76	1
NC_073227.2	211070803	211100414	LOC129525577	0.99	pseudogene_copy	72	1
NC_073224.2	187801694	187803091	PDCL3	0.915	pseudogene_copy	71	1
NC_073232.2	99589062	99600801	SYT15	0.978	unannotated	70	1
NC_073240.2	14908700	14933412	LOC129529294	0.986	unannotated	70	1
NC_073234.2	15631136	15638751	LOC109025132	0.989	pseudogene_copy	68	1
NC_073230.2	81098058	81100469	LOC115935376	0.981	pseudogene_copy	68	1
NC_073224.2	15843573	15844902	LOC129533126	0.893	pseudogene_copy	66	1
NC_073240.2	103747509	103777099	NDUFA8	0.993	pseudogene_copy	66	1
NC_073238.2	24482185	24483794	LOC129524426	0.975	pseudogene_copy	64	1
NC_073239.2	44748682	44803738	LOC115933219	0.952	pseudogene_copy	62	1
NC_073243.2	110558699	110564762	PPP4R2	0.936	pseudogene_copy	59	1
NC_073240.2	21923784	21928946	LOC101152116	0.947	pseudogene_copy	59	1
NC_073224.2	214045429	214045810	LOC109023795	0.908	unannotated	56	1
NC_073238.2	23273320	23275756	DRD5	0.944	pseudogene_copy	55	1
NC_073224.2	19333678	19344094	LOC134758744	0.991	pseudogene_copy	54	1
NC_073231.2	148841476	148842274	LOC101128843	0.913	pseudogene_copy	52	1
NC_073242.2	88864629	88865695	APOO	0.898	pseudogene_copy	52	1
NC_073238.2	23289658	23296760	LOC134756432	0.985	unannotated	52	1
NC_073232.2	42039741	42041585	TIMM23B	0.969	pseudogene_copy	51	1
NC_073232.2	99737096	99747969	LOC101141440	0.999	pseudogene_copy	49	1
NC_073228.2	55043934	55045765	LOC101152516	0.967	unannotated	46	1
NC_073230.2	51822920	51824560	LOC101136273	0.969	unannotated	45	1
NC_073240.2	85798583	85843332	LOC101138066	0.987	pseudogene_copy	45	1
NC_073246.2	11292021	11312207	LOC134756368	0.977	pseudogene_copy	45	1
NC_073236.2	24823866	24854985	LOC115934290	0.973	pseudogene_copy	43	1
NC_086018.1	23350902	23357358	LOC101145823	0.926	unannotated	42	1
NC_073229.2	99577948	99578292	LOC129523984	0.888	pseudogene_copy	42	1
NC_073230.2	81133438	81136037	GALNT17	0.993	pseudogene_copy	42	1
NC_073230.2	75623357	75624102	SKP1	0.944	pseudogene_copy	41	1
NC_073233.2	94720197	94722637	MOB4	0.92	pseudogene_copy	39	1
NC_073233.2	94732935	94733828	LOC129525464	0.906	pseudogene_copy	39	1
NC_086018.1	22610106	22613876	ACTR2	0.927	pseudogene_copy	38	1
NC_086017.1	171690507	171691046	LOC129532097	0.866	unannotated	38	1
NC_073240.2	29752330	29773157	LOC101145660	0.982	pseudogene_copy	37	1
NC_073244.2	65343993	65344328	LOC109024093	0.916	unannotated	35	1
NC_073239.2	77907548	77908664	LOC109027238	0.905	unannotated	34	1
NC_073236.2	31605839	31606242	LOC101129206	0.866	pseudogene_copy	34	1
NC_073238.2	32313032	32313979	LOC129526802	0.969	unannotated	34	1
