family	gene	cls	n_loci	chi_H	collapsed_excess	K_read	K_asm20	read_derived_delta	n_read_psv	psvs_asm20	mean_phi	n_reads	med_depth	med_maf	balanced_frac	copy_like	het_risk	n_edit_cand	K_read_noedit	n_read_psv_noedit	frac_edit_psv	editing_robust	null_linked	null_K	survives_null	sedef_partner_regions	sedef_partner_external	sedef_identity	sedef_corr	backbone	clust_sizes
18	LOC134757299	fully_resolvable	9	9	0	6	9	-3	32	72	0.832	40	21	0.302	0.310	1	0	36	2	3	0.812	1	3	2	0	23	14	0.99016	1	NC_073237.2:118498911-118518230	[10, 10, 5, 4, 4, 4, 1, 1]
82	FOXO1	fully_resolvable	2	2	0	4	2	2	56	85	0.937	158	108	0.374	0.393	0	0	46	5	10	0.821	1	0	0	1	15	13	0.98931	1	NC_073236.2:32935295-32975295	[73, 42, 30, 13]
114	LOC129527053	fully_resolvable	2	2	0	3	2	1	80	10	0.934	106	93	0.324	0.407	0	1	59	3	21	0.738	1	4	4	0	9	7	0.99621	1	NC_073240.2:23219711-23259711	[55, 28, 23]
136	TNK2	fully_resolvable	2	2	0	3	2	1	204	105	0.883	14	26	0.333	0.219	1	0	168	3	64	0.681	1	115	0	0	19	17	0.95351	1	NC_086017.1:207500181-207533707	[5, 5, 4]
139	LOC129531752	fully_resolvable	2	2	0	3	2	1	19	13	0.85	17	16	0.303	0.150	1	0	15	0	0	0.789	0	7	2	0	23	21	0.99166	1	NC_073227.2:211100517-211103608	[7, 5, 5]
10	LOC115930576	fully_resolvable	2	2	0	2	2	0	373	67	0.903	77	100	0.294	0.154	1	0	214	2	158	0.566	1	167	0	0	40	38	0.99088	1	NC_073224.2:218434288-218474288	[55, 16, 1, 1, 1, 1, 1, 1]
24	LOC101129940	fully_resolvable	3	3	0	2	3	-1	101	357	0.969	278	264	0.281	0.088	1	0	67	3	35	0.653	1	3	2	0	4	1	0.98752	1	NC_073224.2:130157457-130182043	[203, 73, 1, 1]
27	LOC129526550	fully_resolvable	5	5	0	2	5	-3	372	137	0.889	41	65	0.333	0.279	1	0	252	3	131	0.648	1	95	0	1	24	19	0.98537	1	NC_073238.2:24693721-24718486	[29, 5, 1, 1, 1, 1, 1, 1]
39	LOC134756389	fully_resolvable	5	5	0	2	5	-3	46	235	0.858	141	119	0.316	0.184	1	0	29	1	18	0.565	0	4	3	0	8	3	0.98630	1	NC_073247.2:167707344-167723173	[119, 19, 3]
42	LOC129529768	fully_resolvable	8	8	0	2	8	-6	3	21	1.0	19	20	0.211	0.000	1	0	4	0	0	0.667	0	0	0	1	2	1	0.98970	1	NC_073247.2:59725264-59733595	[15, 4]
