modal_gene	copies_chimp	copies_gorilla	copies_orang	origin_branch	sample_paralogs
ZNF77	172	186	131	ancestral great-ape (>17 Mya, pre-orangutan)	ZNF77,ZNF443,ZNF791,ZNF829,ZNF345
GOLGA2	24	0	70	ancestral, contracted in gorilla (>17 Mya)	GOLGA2,SWI5,GOLGA6L2,MIR1233-2,MIR1233-3
ULBP1	13	5	31	ancestral great-ape (>17 Mya, pre-orangutan)	ULBP1,ULBP3,FCRL5,CFAP299,SPC25
ZNF875	10	0	26	ancestral, contracted in gorilla (>17 Mya)	ZNF875
TBC1D3B	5	0	24	ancestral, contracted in gorilla (>17 Mya)	TBC1D3B,USP6
CCNYL1	11	2	22	ancestral great-ape (>17 Mya, pre-orangutan)	CCNYL1,TDRD5,AGAP6,AGAP1
NPIPB2	22	3	0	African-ape ancestor (~9-17 Mya)	NPIPB2,TAS2R3,SSBP1
ZNF416	22	18	13	ancestral great-ape (>17 Mya, pre-orangutan)	ZNF416,ZNF586,ZNF776,ZNF548,ZNF549
ADH1B	0	2	22	ancestral, contracted in chimp (>17 Mya)	ADH1B,ATG5,VIPR2,CLEC9A,KHK
DPP6	21	0	0	chimp lineage (<9 Mya; or shared with human)	DPP6,ZNG1B,ACR
ACTB	21	3	10	ancestral great-ape (>17 Mya, pre-orangutan)	ACTB,ACTA2,ACTG1,ACTC1,POTEA
(unnamed)	0	0	18	orangutan lineage (<17 Mya)	
ANKRD18A	16	4	7	ancestral great-ape (>17 Mya, pre-orangutan)	ANKRD18A,ANKRD18B,ANKRD19P
GSTM2	13	15	2	ancestral great-ape (>17 Mya, pre-orangutan)	GSTM2,TRNAN-GUU,TRNAE-UUC,TRNAG-CCC,NBPF7P
ANKRD36C	14	5	14	ancestral great-ape (>17 Mya, pre-orangutan)	ANKRD36C,ANKRD26,CCDC144A
ZNF230	12	14	5	ancestral great-ape (>17 Mya, pre-orangutan)	ZNF230,ZNF224,ZNF234,ZNF222,ZNF284
NUPR2	10	6	12	ancestral great-ape (>17 Mya, pre-orangutan)	NUPR2,PDE5A,PLEKHG4B,MPHOSPH8
ARL17A	12	6	9	ancestral great-ape (>17 Mya, pre-orangutan)	ARL17A,RPL41,LRRC37B,SLC25A52
MAGEA4	11	11	12	ancestral great-ape (>17 Mya, pre-orangutan)	MAGEA4,MAGEA12,MAGEA1,MAGEA11,MAGEA9
RGPD8	7	6	11	ancestral great-ape (>17 Mya, pre-orangutan)	RGPD8,IL18R1
LRPAP1	0	11	0	gorilla lineage (<9 Mya)	LRPAP1,XRCC2
PDCD6	7	0	10	ancestral, contracted in gorilla (>17 Mya)	PDCD6
TUBA8	9	10	10	ancestral great-ape (>17 Mya, pre-orangutan)	TUBA8,TUBA1C,TUBA1A,TUBA1B,TUBA4A
(unnamed)	10	5	0	African-ape ancestor (~9-17 Mya)	
NDUFA8	0	10	0	gorilla lineage (<9 Mya)	NDUFA8
ZC3H11B	8	0	0	chimp lineage (<9 Mya; or shared with human)	ZC3H11B,ZC3H11A
FRG1	3	8	0	African-ape ancestor (~9-17 Mya)	FRG1
GPR182	8	0	0	chimp lineage (<9 Mya; or shared with human)	GPR182
ZSCAN31	2	8	2	ancestral great-ape (>17 Mya, pre-orangutan)	ZSCAN31,ZSCAN9,ZKSCAN8,ZNF397,ZKSCAN4
PATR-F	7	6	8	ancestral great-ape (>17 Mya, pre-orangutan)	PATR-F,PATR-G,PATR-A,PATR-E,PATR-C
(unnamed)	2	0	8	ancestral, contracted in gorilla (>17 Mya)	
EIF4A1	8	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	EIF4A1,EIF4A3,EIF4A2,MIR1248,RFC4
SCMH1	0	0	8	orangutan lineage (<17 Mya)	SCMH1,FAM149B1,ZNF132
PAFAH1B2	0	0	8	orangutan lineage (<17 Mya)	PAFAH1B2,STARD9,TMEM199,NR2C2,MRPS25
(unnamed)	0	0	8	orangutan lineage (<17 Mya)	
(unnamed)	2	7	0	African-ape ancestor (~9-17 Mya)	
TUBB	6	5	7	ancestral great-ape (>17 Mya, pre-orangutan)	TUBB,TUBB4B,CIMIP2A,TUBB6,TUBB4A
HNRNPA1	7	4	0	African-ape ancestor (~9-17 Mya)	HNRNPA1,MRPS31,HNRNPA1L2,CBX3,HNRNPA2B1
(unnamed)	7	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	
MCFD2	5	7	3	ancestral great-ape (>17 Mya, pre-orangutan)	MCFD2,GALNTL5,SLC12A1,ENTPD1,MYORG
ALDH2	5	7	4	ancestral great-ape (>17 Mya, pre-orangutan)	ALDH2,ALDH1A1,ALDH1A2,ALDH1B1,ALDH1A3
(unnamed)	5	0	7	ancestral, contracted in gorilla (>17 Mya)	
ZNF264	7	6	6	ancestral great-ape (>17 Mya, pre-orangutan)	ZNF264,ZNF805,ZNF543,ZNF550,ZNF460
PAGE1	6	7	5	ancestral great-ape (>17 Mya, pre-orangutan)	PAGE1
SPANXN5	5	0	7	ancestral, contracted in gorilla (>17 Mya)	SPANXN5,SPANXN3,SPANXN2,SPANXN1
MRPS17	0	7	0	gorilla lineage (<9 Mya)	MRPS17,MDM2,RFTN2,GREB1,SPG11
(unnamed)	6	0	0	chimp lineage (<9 Mya; or shared with human)	
SDHA	2	3	6	ancestral great-ape (>17 Mya, pre-orangutan)	SDHA
KRT8	4	4	6	ancestral great-ape (>17 Mya, pre-orangutan)	KRT8,KRT1,KRT81,KRT86,KPNA4
(unnamed)	3	0	6	ancestral, contracted in gorilla (>17 Mya)	
SMG1	6	4	0	African-ape ancestor (~9-17 Mya)	SMG1
USP32	5	2	6	ancestral great-ape (>17 Mya, pre-orangutan)	USP32,USP6,CA4
(unnamed)	6	4	0	African-ape ancestor (~9-17 Mya)	
ZNF804A	0	6	0	gorilla lineage (<9 Mya)	ZNF804A
(unnamed)	0	0	6	orangutan lineage (<17 Mya)	
RAD51	2	5	3	ancestral great-ape (>17 Mya, pre-orangutan)	RAD51,APOL4
TPM2	5	4	3	ancestral great-ape (>17 Mya, pre-orangutan)	TPM2,TPM1,TPM4,TPM3
CENPE	5	0	0	chimp lineage (<9 Mya; or shared with human)	CENPE,PCDHAC1,PCDHA12,PCDHA11,PCDHA9
DNTTIP2	5	0	0	chimp lineage (<9 Mya; or shared with human)	DNTTIP2,DYDC1
SLC25A6	5	5	4	ancestral great-ape (>17 Mya, pre-orangutan)	SLC25A6,SLC25A4,SLC25A5,SLC25A31
CCT6A	4	3	5	ancestral great-ape (>17 Mya, pre-orangutan)	CCT6A,CCT6B,PSPH
TYRP1	5	0	0	chimp lineage (<9 Mya; or shared with human)	TYRP1
ALG1	3	5	3	ancestral great-ape (>17 Mya, pre-orangutan)	ALG1,EEF2KMT,ALG1L,ALG1L2
ZNF484	5	0	4	ancestral, contracted in gorilla (>17 Mya)	ZNF484
(unnamed)	5	0	0	chimp lineage (<9 Mya; or shared with human)	
(unnamed)	5	0	0	chimp lineage (<9 Mya; or shared with human)	
MYH10	4	5	2	ancestral great-ape (>17 Mya, pre-orangutan)	MYH10,MYH11,MYH9,NDE1
(unnamed)	5	0	0	chimp lineage (<9 Mya; or shared with human)	
ABR	3	5	0	African-ape ancestor (~9-17 Mya)	ABR,BCR
MAGEB2	5	5	2	ancestral great-ape (>17 Mya, pre-orangutan)	MAGEB2,MAGEB3,MAGEB1,MAGEB18,MAGEB10
TCEAL2	5	5	5	ancestral great-ape (>17 Mya, pre-orangutan)	TCEAL2,TCEAL6,TCEAL5,TCEAL4
C7H8orf33	0	5	0	gorilla lineage (<9 Mya)	C7H8orf33,SURF6,PPP1R15A
(unnamed)	0	0	5	orangutan lineage (<17 Mya)	
SPDYE4	0	0	5	orangutan lineage (<17 Mya)	SPDYE4
(unnamed)	0	0	5	orangutan lineage (<17 Mya)	
(unnamed)	0	0	5	orangutan lineage (<17 Mya)	
EDARADD	3	4	2	ancestral great-ape (>17 Mya, pre-orangutan)	EDARADD,ENO1,ENO2,ENO3
PPFIA1	4	2	0	African-ape ancestor (~9-17 Mya)	PPFIA1,PPFIA2,PPFIA4,MIR548K,PPFIA3
ATP1A2	4	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	ATP1A2,ATP1A1,ATP1A4,ATP1A3,ATP1A1OS
GSTM3	3	4	4	ancestral great-ape (>17 Mya, pre-orangutan)	GSTM3,GSTM4,GSTM1,GSTM5
GBP2	3	4	2	ancestral great-ape (>17 Mya, pre-orangutan)	GBP2,GBP1,GBP3,GBP5
RPS6KA1	3	4	0	African-ape ancestor (~9-17 Mya)	RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6
DPYSL3	4	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	DPYSL3,DPYSL4,CRMP1,EVC,DPYSL2
PPP2R2C	4	3	4	ancestral great-ape (>17 Mya, pre-orangutan)	PPP2R2C,PPP2R2A,PPP2R2D,PPP2R2B
KRT18	4	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	KRT18,LCORL,PKNOX2,TMEM97
SEPTIN10	4	0	2	ancestral, contracted in gorilla (>17 Mya)	SEPTIN10,SEPTIN11,SEPTIN8,MIR766,SEPTIN6
ACTN1	4	4	3	ancestral great-ape (>17 Mya, pre-orangutan)	ACTN1,ACTN4,ACTN3,ACTN2,CAPN12
ADAM29	4	0	2	ancestral, contracted in gorilla (>17 Mya)	ADAM29,ADAM21,SYNJ2BP,ADAM20
RBM22	4	0	0	chimp lineage (<9 Mya; or shared with human)	RBM22
(unnamed)	3	0	4	ancestral, contracted in gorilla (>17 Mya)	
TRIM52	4	0	0	chimp lineage (<9 Mya; or shared with human)	TRIM52
(unnamed)	4	0	0	chimp lineage (<9 Mya; or shared with human)	
HSPA1L	4	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	HSPA1L,HSPA8,HSPA2,HSPA1B
PATR-DRB5	3	4	2	ancestral great-ape (>17 Mya, pre-orangutan)	PATR-DRB5,PATR-DQB1,PATR-DPB1
MEA1	2	0	4	ancestral, contracted in gorilla (>17 Mya)	MEA1,PPP2R5D,PPP2R5C,PPP2R5A,PPP2R5E
GSTA2	2	4	4	ancestral great-ape (>17 Mya, pre-orangutan)	GSTA2,GSTA1
