gene	chrom	n_snp	n_tv	phase_qual	donor	acceptor	psi0	psi1	dPSI	q	multi_snp_only
IFT140	NC_073242.2	5	1	0.84	5132293	5132496	1.0	0.0	1.000	1.790e-53	0
LOC101141065	NC_073224.2	3	3	1.0	192941955	192944457	1.0	0.0	1.000	3.042e-30	0
LOC101141065	NC_073224.2	3	3	1.0	192944612	192944695	1.0	0.0	1.000	6.519e-30	0
LOC101141065	NC_073224.2	3	3	1.0	192949190	192950494	1.0	0.0	1.000	6.519e-30	0
LOC101141065	NC_073224.2	3	3	1.0	192947387	192949145	1.0	0.0	1.000	6.519e-30	0
LOC101141065	NC_073224.2	3	3	1.0	192944823	192947259	1.0	0.0	1.000	6.519e-30	0
GLB1L3	NC_073233.2	3	2	1.0	142240873	142240938	0.0	1.0	1.000	2.987e-14	0
TSPAN2	NC_073224.2	3	2	0.99	119454970	119455031	0.0	1.0	1.000	5.273e-13	0
LOC129525331	NC_073224.2	40	10	0.79	125054945	125055563	0.0	1.0	1.000	6.671e-12	1
LOC115933039	NC_073244.2	11	1	0.75	20959729	20961004	1.0	0.0	1.000	6.513e-11	0
CNTNAP3C	NC_073236.2	20	3	0.98	33312509	33313164	0.0	1.0	1.000	8.715e-11	0
LOC134758712	NC_073224.2	1	0	0.97	15796313	15796556	0.0	1.0	1.000	3.091e-10	1
LOC134758712	NC_073224.2	1	0	0.97	15798173	15798832	0.0	1.0	1.000	3.091e-10	1
LOC134758712	NC_073224.2	1	0	0.97	15796640	15796917	0.0	1.0	1.000	3.091e-10	1
LOC134758712	NC_073224.2	1	0	0.97	15795459	15795594	0.0	1.0	1.000	3.091e-10	1
LOC134758712	NC_073224.2	1	0	0.97	15800402	15800543	0.0	1.0	1.000	3.091e-10	1
LOC134758712	NC_073224.2	1	0	0.97	15800723	15801010	0.0	1.0	1.000	3.091e-10	1
LOC134758712	NC_073224.2	1	0	0.97	15795269	15795418	0.0	1.0	1.000	3.091e-10	1
LOC134758712	NC_073224.2	1	0	0.97	15796955	15798037	0.0	1.0	1.000	3.091e-10	1
LOC115932992	NC_073242.2	19	7	0.84	16419347	16423955	0.0	1.0	1.000	3.228e-10	0
LOC115932992	NC_073242.2	19	7	0.84	16426010	16429060	0.0	1.0	1.000	4.225e-10	0
LOC115932779	NC_073242.2	20	6	0.44	28892820	28893650	1.0	0.0	1.000	4.481e-10	0
HIGD1A	NC_086017.1	2	1	1.0	52689198	52689242	1.0	0.0	1.000	6.321e-09	0
MYO18B	NC_086018.1	24	6	1.0	24023048	24024459	1.0	0.0	1.000	4.920e-08	0
MYO18B	NC_086018.1	24	6	1.0	24012728	24023003	1.0	0.0	1.000	6.800e-08	0
MYO18B	NC_086018.1	24	6	1.0	24012728	24024459	0.0	1.0	1.000	6.800e-08	0
LOC109026500	NC_073227.2	2	1	1.0	9976297	9976330	0.0	1.0	1.000	9.605e-08	1
KCNAB2	NC_073224.2	2	1	1.0	234525571	234526031	1.0	0.0	1.000	1.692e-07	0
C13H9orf43	NC_073237.2	2	0	1.0	109779303	109779954	0.0	1.0	1.000	4.168e-07	0
CSNK1D	NC_073228.2	7	4	0.68	9740897	9740970	0.0	1.0	1.000	4.211e-07	0
LOC129527592	NC_073242.2	31	10	0.82	22135364	22135406	0.0	1.0	1.000	4.995e-07	0
