family_id	n_genes	n_loci	n_contigs	cross_chrom	density	gamma_cohesive	biotype_purity	repeat_mosaic	dom_biotype	mmseqs_cluster_purity	genes
PRFAM0	769	769	23	1	0.463	1	1.000	0	protein_coding	0.624	LOC101141950,LOC129532335,LOC101141204,LOC101140827,LOC101140436,LOC101139491,LOC101140082,LOC115932969,LOC129532330,LOC115931420,LOC101141577,LOC101139122,LOC101138755,LOC101138400,LOC101136561,LOC101138020,LOC109029255,LOC101131889,LOC101137288,LOC101136923,LOC101136189,LOC101134056,LOC109029274,LOC101132260,LOC101133713,LOC101131530,LOC101132985,LOC101134411,LOC101133349,LOC109023201,LOC101135123,LOC109029046,LOC101130821,LOC129532288,LOC101130073,LOC101129736,LOC101129360,LOC109028100,LOC101134759,LOC101128292,LOC101128649,LOC109028092,LOC101127921,LOC101127568,LOC101125865,LOC101124044,LOC101123691,OPN3,CHRM3,AVPR1B,ADORA1,GPR37L1,GPR25,GPR52,GPR161,LOC101128982,LOC101128282,LOC101127179,LOC101127908,LOC101126811,LOC101126460,LOC101125739,LOC101152083,LOC101149901,LOC101149550,LOC101151362,LOC101149201,LOC101148837,LOC101148112,LOC101147762,LOC101147396,LOC101147047,LOC101146103,LOC101145011,LOC101144267,LOC101143890,RXFP4,LOC101126345,GPR61,S1PR1,LPAR3,PTGFR,PTGER3,HCRTR1,OPRD1,PTAFR,GPR3,CNR2,HTR1D,HTR6,LOC115933961,OXTR,HRH1,CCR4,CX3CR1,CCR8,ACKR2,CCR9,CXCR6,XCR1,CCR1,CCR3,CCR2,CCR5,CCRL2,GPR62,GPR27,LOC109028725,HTR1F,LOC101125285,LOC101125649,LOC101131786,LOC115934050,LOC101127099,LOC109026114,LOC109026182,LOC101127473,LOC101127832,LOC134758073,LOC101128202,LOC101128557,LOC101129257,LOC101129632,GPR15,DRD3,LOC129532776,RHO,ACKR4,AGTR1,GPR171,P2RY14,GPR87,P2RY13,P2RY12,SUCNR1,P2RY1,GHSR,ADRA2C,GPR78,DRD5,CCKAR,GNRHR,NPFFR2,TACR3,RRH,QRFPR,EDNRA,NPY2R,NPY1R,NPY5R,MTNR1A,LOC129532822,LOC129532832,LOC101149396,LOC129532823,LOC129532821,LOC129532894,LOC134758386,UTS2R,GALR2,GPR142,SSTR2,LOC101133977,LOC101133640,CCR10,CCR7,ADORA2B,LOC101146733,GPR151,HTR4,ADRB2,NMUR2,ADRA1B,DRD1,HRH2,LOC101153945,LOC101133653,LOC129533605,LOC101129546,LOC101131464,LOC101130753,LOC101132193,LOC109027296,LOC101128235,LOC101128940,LOC101129673,LOC101129296,LOC101130015,LOC101130382,LOC109027420,LOC101133282,LOC101132551,LOC101131824,LOC101131103,LOC101132925,LOC109027173,LOC101131465,LOC101133656,MAS1L,LOC101137460,LOC101136730,OPN5,HCRTR2,HTR1B,HTR1E,CNR1,GPR63,MCHR2,GPR6,LOC101153731,TAAR5,LOC101124226,LOC101123867,TAAR1,NMBR,OPRM1,MAS1,CCR6,GPR31,GPR146,GPER1,NPSR1,GPR141,LOC129534768,GPR22,GPR85,GPR37,OPN1SW,CHRM2,LOC101126657,LOC101152908,LOC101150979,LOC101124743,LOC101124364,LOC101129687,LOC101133676,LOC101134598,LOC115935392,LOC115935393,LOC101137127,LOC101134015,LOC101135314,LOC101135660,LOC101137477,LOC101136025,LOC101136393,LOC101136745,LOC101138237,LOC101139829,HTR5A,LOC101133718,ADRA1A,OPRK1,NPBWR1,ADRB3,TRHR,GPR20,NPFFR1,TACR2,LOC101141797,LOC101133462,RGR,OPN4,HTR7,FFAR4,ADRA2A,ADRB1,PRLHR,GPR26,DRD4,MRGPRG,MRGPRE,LOC101132106,LOC134759323,LOC101132843,LOC101140564,LOC101140958,LOC101141331,LOC101133585,LOC101141682,LOC101142067,LOC101135347,LOC101136323,LOC101143161,LOC101144268,LOC101136913,LOC109028756,LOC101137281,LOC101137637,LOC101145012,LOC101138012,LOC134759317,LOC101138393,LOC101138750,LOC101139114,LOC101139480,LOC101146453,LOC101125499,LOC101147529,LOC101147885,LOC101148953,LOC101149325,LOC101149668,LOC101126218,LOC101150278,LOC101150644,LOC101151012,LOC101126576,LOC101151363,LOC101127668,LOC101153294,LOC101153662,LOC101154255,LOC101124039,LOC101124399,LOC101124772,LOC101125138,LOC101129101,LOC101129836,LOC101131162,LOC101131879,LOC101135696,LOC101137158,LOC101134267,LOC101135348,LOC101137506,LOC101137887,LOC101134624,LOC101134980,LOC101136052,LOC101138267,LOC101138643,LOC101125253,LOC101139006,LOC101139359,LOC101139737,LOC101140074,LOC101140427,LOC101140821,LOC101141197,LOC101126695,LOC101141944,LOC101142691,CCKBR,LOC101154372,LOC101123789,LOC101124146,LOC101128530,LOC101124517,LOC101128885,LOC101129229,LOC101130559,LOC101135237,LOC101146565,LOC101135590,LOC101136324,LOC101136685,LOC101137052,LOC101137409,LOC129525464,MRGPRX3,LOC101133475,LOC101148734,MRGPRX2,CHRM4,LOC101137284,LOC101138014,LOC101138395,LOC101139116,LOC115936186,LOC101140568,LOC101140962,LOC115936194,LOC101142072,LOC101153542,LOC109028836,LOC115936288,LOC115936296,LOC101124653,LOC109027626,LOC115936267,LOC101127913,LOC115936270,LOC101126816,LOC101128286,LOC101128643,LOC115936195,LOC101149534,LOC115936295,LOC115936286,LOC101129728,LOC101130065,LOC101130814,LOC101129351,LOC101131168,LOC101132980,LOC101132253,LOC101134050,LOC101134403,LOC101134753,LOC101135475,LOC101138753,LOC101135831,LOC101139117,LOC101136183,LOC101136556,LOC101136919,LOC101139488,LOC101140206,LOC101140964,LOC101141336,LOC101141689,LOC101142073,LOC101147534,LOC101148239,LOC101148609,LOC101142809,LOC101143168,LOC101143529,LOC101143897,LOC101144630,LOC101145016,LOC101145365,LOC101145740,LOC115936309,LOC101146107,LOC101149330,LOC101146459,LOC109028795,LOC101146797,LOC101150037,LOC101150390,LOC101147167,LOC101150759,LOC101154022,LOC101151126,LOC101151489,LOC101151860,LOC101154378,LOC115936189,LOC101152574,LOC101123793,LOC101152943,LOC101153300,LOC101153667,LOC101124522,LOC101125257,LOC101125628,APLNR,LOC101146684,LOC109028823,LOC101153421,LOC101147054,LOC101153055,LOC101147404,LOC101147767,LOC115936313,LOC101148118,LOC101148492,LOC101149205,LOC101154132,LOC101149907,LOC101150282,LOC101150648,LOC101151014,LOC101151370,LOC101145137,LOC101132254,LOC101132611,LOC101132981,LOC101133344,LOC101133708,LOC115936232,LOC101134051,LOC101136057,PTGDR2,CHRM1,GPR152,LOC109028727,MRGPRD,MRGPRF,P2RY2,P2RY6,LOC101150653,MTNR1B,GPR83,DRD2,CXCR5,LOC101131628,LOC101131991,LOC101132732,LOC101133112,LOC101133483,LOC101133829,LOC109028744,LOC101137417,LOC134756361,LOC109028938,LOC101142081,LOC101142814,LOC101143175,LOC101143535,LOC101139132,LOC101140579,LOC115936274,LOC101140217,LOC101144282,LOC101140970,LOC101141699,LOC101144637,LOC101145021,LOC115936276,LOC101128043,LOC101145374,LOC101129109,LOC101145751,LOC101146118,LPAR5,C3AR1,GPR19,AVPR1A,GPR182,LOC101153433,LOC101153071,LOC101152713,LOC101127204,LOC101152344,LOC101151988,LOC101151628,LOC101150170,LOC101151262,LOC101149806,LOC101150528,LOC101148386,LOC101148015,LOC101147658,LOC109029095,LOC101147295,LOC101146938,LOC101146230,LOC101145881,LOC115936448,GPR84,LOC109029146,LOC101137794,LOC101146124,LOC101133357,CMKLR1,LOC101130090,LOC115930167,HCAR1,LOC101148012,GPR17,GPR148,GPR39,CXCR4,CMKLR2,CXCR2,CXCR1,GPBAR1,GPR55,HTR2B,NMUR1,ACKR3,LOC101146821,GPR35,ADRA2B,GPR45,TACR1,PROKR1,OXER1,NTSR2,LOC101129209,LOC101128867,LOC101128507,LOC101148218,LOC101127774,S1PR3,LOC129524489,LOC101148590,LOC101148934,LOC101150014,LOC109028282,LOC101149653,LOC115935826,LOC101149308,LOC101150373,LOC101153273,LPAR1,LOC109028370,LOC101135678,LOC101136040,LOC101136413,LOC101136766,LOC101141790,LOC101137142,LOC101137763,LOC101142172,LOC101138131,LOC101142549,LOC115935845,LOC101143276,LOC101144005,GPR21,GPR12,LOC115930437,HTR2A,LPAR6,CYSLTR2,MLNR,EDNRB,OXGR1,GPR18,GPR183,SSTR1,GPR33,LTB4R,LTB4R2,LOC101142095,LOC109023206,LOC101146243,LOC101134894,LOC101145522,LOC101133845,LOC101129979,LOC101124310,LOC101138548,LOC101128201,LOC129526752,LOC129526753,LOC101127830,LOC101127471,LOC101126380,LOC101126019,LOC101125648,LOC129526754,LOC101153683,LOC101124917,LOC101134485,LOC101153318,LOC101152957,LOC101124172,LOC101154407,LOC129526802,LOC101152116,LOC109023100,LOC109023174,LOC109023173,LOC101142728,LOC134757181,PTGDR,PTGER2,GPR135,GPR65,GPR68,BDKRB2,BDKRB1,GPR132,LOC101143448,CHRM5,GPR176,LOC109023408,LOC101141008,MC2R,MC5R,HRH4,MC4R,GALR1,SSTR5,LOC101135162,LOC109023561,LOC101138925,GPR139,LOC115931273,LOC101140366,LOC101141498,LOC101141868,LOC134757652,LOC101142986,LOC101143345,LOC101144085,LOC101144819,LOC115931285,LOC109023825,LOC101145547,LOC101145923,LOC115931266,F2RL1,F2R,F2RL2,HTR1A,PTGER4,RXFP3,KISS1R,S1PR4,TBXA2R,LOC129528877,LOC101141137,LOC101141880,LOC109024060,LOC101142266,OR7D1,LOC101142996,P2RY11,S1PR2,S1PR5,PTGER1,LOC101141138,LOC101141509,LOC129528913,LOC129528915,LOC101142645,LOC101142999,LOC101146167,LOC101146516,LOC101146864,LOC101143363,LOC101147597,LOC101153947,LOC101154313,LOC101135771,LOC101124096,LOC101126757,F2RL3,LPAR2,FFAR1,FFAR3,LOC101143734,FFAR2,GPR4,PTGIR,C5AR1,C5AR2,LOC115931556,LOC101141032,FPR1,FPR2,FPR3,ADRA1D,PROKR2,SSTR4,MC3R,HRH3,NTSR1,OPRL1,NPBWR2,ADORA2A,SSTR3,GALR3,MCHR1,P2RY8,GRPR,GPR34,GPR82,GPR173,P2RY4,CXCR3,CYSLTR1,LPAR4,P2RY10,GPR174,HTR2C,AGTR2,GPR119,LOC109025355,BRS3,AVPR2,OPN1LW,OPN1MW3
PRFAM1	617	616	25	1	0.365	1	1.000	0	protein_coding	0.323	ZNF672,ZNF496,LOC101124778,ZNF124,ZNF669,ZNF670,ZNF695,ZBTB18,ZNF678,CSRP1,ZBTB41,ZNF648,ZBTB37,ZBTB7B,LOC129525787,ZNF697,ZNF691,ZNF684,ZFP69,ZFP69B,FHL3,ZSCAN20,ZBTB8A,ZBTB8B,ZNF436,ZBTB17,ZBTB48,PRDM16,ZNF860,ZNF619,ZNF620,ZNF621,ZBTB47,ZNF662,ZNF445,LOC101129974,ZKSCAN7,ZNF660,ZNF197,LOC115934057,ZNF35,ZNF502,ZNF501,ZNF589,ZNF717,ZBTB11,ZNF80,ZBTB20,ZBTB38,MECOM,MYNN,ZNF639,BCL6,ZNF595,LOC109026610,ZNF732,ZNF141,ZNF721,ZBTB49,KLF3,PRDM5,ZNF827,ZFP42,VEZF1,IKZF3,LOC101124084,ZNF624,ZNF287,PRDM6,ZNF300,ZNF354A,ZNF354B,ZFP2,LOC109027078,ZNF879,ZNF354C,ZFP62,ZNF322,LOC101137955,ZNF391,ZNF184,ZNF165,ZSCAN16,LOC101135415,LOC101136006,ZSCAN9,ZKSCAN4,ZSCAN26,ZSCAN31,ZKSCAN3,ZSCAN12,ZSCAN23,ZNF311,ZFP57,ZBTB12,ZBTB22,ZBTB9,CRIP3,FHL5,PRDM1,ZBTB24,PLAGL1,ZBTB2,RBAK,OCM,ZNF12,ZNF316,IKZF1,ZNF713,ZNF716,LOC129534710,LOC109027583,ZNF722,ZNF727,ZNF735,ZNF679,ZNF736,ZNF680,LOC101128844,ZNF273,LOC101136021,ZNF92,ZNF3,ZSCAN21,ZKSCAN1,ZSCAN25,ZNF655,ZKSCAN5,ZNF394,ZNF789,ZNF786,ZNF425,ZNF398,ZNF282,ZNF212,ZNF783,ZNF777,ZNF746,ZNF467,REPIN1,ZNF775,LOC101140790,ZNF596,ZNF705D,LOC101128182,ZBTB10,PRDM14,PLAG1,SNAI2,ZNF572,ZFAT,ZFP41,GLI4,ZNF696,ZNF623,ZNF707,ZNF251,ZNF34,ZNF517,LOC101153526,ZNF250,ZNF16,LOC101129578,ZNF22,ZNF485,ZNF239,ZNF487,ZNF33B,ZNF37A,LOC101130677,LOC101129219,ZNF25,ZNF248,IKZF5,ZNF195,ZNF215,ZNF214,CSRP3,LPXN,ZBTB3,OVOL1,ZNF705EP,LOC101144397,ZBTB16,HINFP,ZNF202,PRDM10,ZBTB44,ZNF705A,ZBTB39,IKZF4,ZNF641,CSRP2,ZNF664,ZNF605,ZNF26,ZNF84,ZNF140,ZNF891,ZNF10,ZNF268,LIMS2,LOC101125875,LOC129532155,IKZF2,ZNF142,ZNF892,ZNF2,ZNF514,FHL2,LIMS1,LOC101146691,LOC101143668,ZNF513,LOC129523567,LOC101139095,LOC101145348,C13H9orf85,ZNF484,ZNF169,ZNF510,ZNF782,ZNF189,ZNF483,ZNF883,ZFP37,ZBTB6,ZBTB26,ZBTB43,ZBTB34,ZNF79,PRDM12,GFI1B,GTF3A,KLF12,SALL2,ZNF219,ZBTB25,ZBTB1,YY1,ZBTB42,CRIP2,ZNF770,ZSCAN29,ZSCAN2,ZNF710,ZNF774,ZNF519,ZBTB14,ZNF521,ZNF397,ZSCAN30,LOC101137832,ZNF24,ZNF396,ZBTB7C,ZNF236,SALL3,E4F1,ZSCAN10,ZNF205,ZNF213,ZNF200,ZNF263,ZNF75A,ZSCAN32,ZNF174,ZNF597,ZNF500,ZKSCAN2,MAZ,ZNF48,ZNF771,ZNF768,ZNF747,ZNF764,ZNF688,ZNF785,ZNF689,ZNF629,ZNF668,ZNF646,TGFB1I1,KRBOX5,ZNF267,ZNF423,SALL1,ZNF319,CTCF,ZFP90,ZNF23,ZNF19,ZFP1,SNAI3,ZNF778,PRDM7,HIC1,ZFP3,ZNF232,ZNF594,BCL6B,ZNF18,ZNF286A,ZNF131,PRDM9,ZNF554,LOC101148180,ZNF57,ZNF77,ZBTB7A,ZNF557,ZNF558,ZNF317,ZNF699,ZNF559,ZNF177,ZNF266,ZNF560,ZNF426,ZNF121,LOC115931610,LOC109024811,LOC115931626,LOC101129788,ZNF846,ZNF627,LOC101153725,ZNF823,ZNF441,LOC101126415,ZNF440,LOC134757658,LOC101128351,LOC101128712,LOC101130507,LOC101130877,LOC134757659,ZNF433,ZNF878,LOC109025073,ZNF20,ZNF625,ZNF136,LOC101153837,LOC109024224,LOC101154200,ZNF563,LOC101133657,ZNF799,ZNF443,ZNF564,ZNF490,ZNF791,ZNF333,ZNF101,ZNF14,ZNF506,LOC101130248,LOC101129171,ZNF682,ZNF90,ZNF486,LOC101136009,LOC101136504,ZNF626,LOC101137462,LOC101137843,ZNF430,LOC115931567,LOC101141027,ZNF738,LOC101142646,ZNF429,LOC115931568,LOC101144838,ZNF43,ZNF208,LOC101145945,LOC101146634,LOC101147715,LOC115931576,LOC115931578,LOC101151315,ZNF723,LOC101153126,LOC101152033,LOC101123988,ZNF91,LOC129528785,ZNF675,ZNF681,LOC101126289,ZNF254,ZNF536,ZNF302,ZNF181,ZNF599,ZNF30,ZNF792,OVOL3,ZNF565,ZNF146,ZFP14,ZFP82,ZNF566,ZNF260,ZNF529,ZNF382,ZNF461,ZNF567,ZNF850,ZNF790,ZNF345,ZNF829,ZNF568,LOC109024083,ZNF420,ZNF585A,ZNF585B,LOC101153727,ZNF875,ZNF527,LOC101127631,LOC115930085,ZNF569,LOC101130137,ZNF793,ZNF571,ZNF540,ZFP30,ZNF607,ZNF573,ZNF546,ZNF780B,ZNF780A,LOC101147718,ZNF574,ZNF526,ZNF575,ZNF576,ZNF283,ZNF404,ZNF45,ZNF221,ZNF155,ZNF230,ZNF222,LOC101136640,ZNF284,ZNF224,ZNF225,ZNF234,LOC101131689,ZNF227,ZNF233,ZNF235,ZNF112,ZNF285,ZNF229,LOC101145215,ZNF180,ZNF296,LOC134756391,ZNF473,ZNF114,ZNF175,ZNF577,ZNF649,LOC129528667,LOC129528668,ZNF613,LOC101138952,ZNF615,ZNF614,ZNF432,ZNF841,ZNF616,ZNF836,ZNF766,ZNF480,LOC101144471,ZNF528,ZNF578,ZNF808,ZNF701,LOC101151324,ZNF83,LOC101130023,ZNF611,ZNF600,ZNF28,ZNF468,LOC101152401,ZNF888,LOC101153131,LOC101126065,ZNF415,ZNF347,ZNF665,LOC101131116,LOC129528673,ZNF677,LOC115931654,LOC109024216,LOC101133546,ZNF761,ZNF813,ZNF331,ZNF628,ZNF579,FIZ1,ZNF524,ZNF865,ZNF784,ZNF581,ZNF787,ZNF444,ZSCAN5B,LOC101153957,LOC115931590,LOC115932619,LOC101153611,LOC101128599,LOC101125458,ZNF582,ZNF583,ZNF667,ZNF471,ZFP28,ZNF470,ZNF71,ZNF835,LOC101133547,ZIM3,ZNF264,ZNF805,ZNF460,ZNF543,ZNF304,ZNF547,ZNF548,LOC109024193,LOC115930105,ZNF772,LOC101153504,ZNF549,ZNF550,ZNF416,ZIK1,ZNF530,ZNF134,ZNF211,ZSCAN4,ZNF551,ZNF154,ZNF671,ZNF776,ZNF586,ZNF552,LOC101145690,ZNF587,LOC101124732,ZNF418,ZNF256,ZNF606,ZSCAN1,ZNF135,ZSCAN18,ZNF329,ZNF274,ZNF544,ZNF8,ZSCAN22,ZNF497,ZNF837,ZNF584,ZNF132,ZNF324B,ZNF324,ZNF446,ZBTB45,MZF1,ZNF343,OVOL2,ZNF133,GZF1,ZNF337,PLAGL2,ZNF334,SNAI1,SALL4,ZFP64,CTCFL,ZBTB46,LOC115931857,PRDM15,ZNF74,HIC2,ZNF70,PATZ1,LOC101135564,ZFX,ZNF674,ZNF157,ZNF41,ZNF81,ZNF182,ZNF630,KLF8,ZNF711,ZBTB33,ZNF75D,ZNF449,FHL1,ZNF275,ZFP92,ZFY
PRFAM2	171	171	23	1	0.508	1	1.000	0	protein_coding	0.760	ARF1,RHOU,RAB4A,RAB7B,RAB29,ARL8A,RAB25,RIT1,RAB13,NRAS,RHOC,RAP1A,DIRAS3,RAB3B,RAB42,LOC109028384,CDC42,CPLANE2,ARL8B,RAB5A,NKIRAS1,RHOA,ARF4,ARL6,RABL3,RAB7A,RAB43,SRPRB,RAB6B,MRAS,RAP2B,ARL14,RAB28,RHOH,LOC115934320,ARL9,RASL11B,LOC101124072,RAB33B,LOC129523511,RAB40B,RAC3,ARL16,RAB37,ARL17A,ARL4D,RND2,RAB5C,NKIRAS2,ARL5C,RASL10B,RAB34,RASD1,SAR1B,ARL10,RAB24,RAB23,RAB32,LOC129534288,RAC1,ARL4A,RALA,LOC101128843,ARF5,RAB19,RHEB,RAB2A,GEM,LOC134756389,ARL5B,SAR1A,LOC101135338,LOC129525003,RAB18,ARL3,HRAS,RHOG,RRAS2,ARL2,RAB1B,RHOD,RAB6A,RAB30,RAB38,RAB39A,RERG,RERGL,RAB5B,RHEBL1,ARF3,RND1,KRAS,RAP1B,RAB21,LOC101135135,ARL1,RHOF,RAN,RABL2A,RALB,LOC101147656,RAB6D,LOC129532216,RND3,ARL5A,ARL4C,RAB17,RAB1A,RHOQ,RAB10,DNAJC27,RHOB,LOC129523468,LOC101133567,DIRAS2,RAB14,LOC129524725,RASL11A,ARL11,RAP2A,RAB20,REM2,RAB2B,LOC115930603,ARF6,RHOJ,RAB15,LOC101146140,LOC134757235,LOC101135389,RHOV,RAB27A,RAB8B,RASL12,RAB11A,RAB31,RAB12,RIT2,RAB27B,RAB40C,RAB26,RRAD,RAB3C,ARL15,DIRAS1,RAB11B,RAB3D,RAB8A,RAB3A,RAB4B,RRAS,REM1,RAB22A,ARFRP1,RAB36,RASL10A,RASD2,IFT27,RAC2,RABL2B,RAB9A,ERAS,RAB41,ARL13A,LOC109024738,RAB40A,RAB9B,RAB33A,RAP2C,RAB39B,LOC101142457
PRFAM3	124	123	21	1	0.411	1	1.000	0	protein_coding	0.629	PRSS38,CD5L,LOC101137143,LOC115930425,LOC101137272,LOC101130048,CTRC,MASP2,PRSS50,PRSS46P,PRSS45P,PRSS42P,MST1,TMPRSS7,MASP1,HGFAC,TMPRSS11E,TMPRSS11B,TMPRSS11F,TMPRSS11A,TMPRSS11D,CFI,PRSS12,PRSS48,KLKB1,F11,F12,PLG,SSC4D,HGF,PRSS37,PRSS58,LOC101131360,LOC115930162,LOC101147134,LOC134758959,PRSS2,PRSS55,PRSS51,LOXL2,PLAT,PLAU,LOXL4,HABP2,DMBT1,LOC101149667,LOC134756392,OVCH2,PAMR1,F2,CD5,TMPRSS5,TMPRSS13,TMPRSS4,ST14,C1S,C1R,C1RL,CD163L1,CD163,CELA1,TMPRSS12,PROC,LOC101139142,LOC134756832,LOC115934282,LOXL3,PRSS3,LOC115935863,PRSS47P,LOC134757059,F7,F10,PROZ,GZMB,GZMH,CTSG,CMA1,TPSG1,LOC101143084,LOC101141984,LOC101143453,LOC129527753,PRSS27,PRSS33,PRSS41,PRSS21,LOC129527516,PRSS22,PRSS8,CTRL,HP,LOC129527712,LOC115930087,LOC101134917,LOC101141122,GZMA,GZMK,GZMM,PRSS57,AZU1,PRTN3,ELANE,CFD,HPN,KLK1,KLK15,KLK3,KLK4,KLK5,KLK6,KLK7,KLK8,KLK9,KLK10,KLK11,LOC101150353,KLK14,SSC5D,TMPRSS2,TMPRSS3,TMPRSS6,ACR,F9
PRFAM4	99	99	20	1	0.322	1	1.000	0	protein_coding	0.364	TRIM58,TRIM11,TRIM17,RNF187,TRIM67,TRIM46,TRIM45,TRIM62,TRIM63,TRIM71,TRIM42,TRIM59,TRIM2,TRIM61,TRIM60,TRIM75,TRIML2,TRIML1,TRIM65,TRIM47,TRIM25,RNF135,TRIM36,TRIM7,TRIM41,NHLRC1,TRIM38,LOC134758720,LOC129534455,TRIM27,RNF39,TRIM31,TRIM40,TRIM10,TRIM15,TRIM26,TRIM39,LOC101148313,LOC115935025,TRIM50,TRIM73,TRIM4,TRIM35,TRIM55,TRIM8,TRIM21,TRIM68,TRIM6,TRIM34,TRIM5,TRIM22,TRIM3,LOC101145738,LOC101146458,LOC115936245,LOC101124042,LOC101138016,TRIM51,TRIM77,LOC115932712,LOC115932791,LOC115932790,LOC101149329,LOC101151746,LOC101151378,LOC129525445,LOC115936253,LOC129523488,LOC101153544,SPRYD4,LOC115933568,LOC101147060,LOC101134418,TRIM54,TRIM14,FSD1L,BSPRY,TRIM32,TRIM13,TRIM9,TRIM69,FSD2,MEFV,TRIM72,TRIM16,FSD1,RFPL4A,LOC129528711,LOC129528712,LOC129528713,LOC129528714,LOC129528715,LOC101151087,LOC109024957,RFPL1,RFPL2,RFPL3,MID1,MID2
PRFAM5	82	82	11	1	0.772	1	1.000	0	protein_coding	0.939	LOC101126813,LOC101132977,LMNA,SYNC,IFFO2,BFSP2,GFAP,LOC101145065,KRT16,LOC101149133,KRT9,KRT19,KRT15,KRT13,KRT36,KRT35,KRT32,KRT38,KRT37,GHAA,KRT31,KRT34,LOC109026842,LOC115930137,KRT40,KRT39,KRT23,KRT20,KRT12,KRT10,KRT28,KRT27,KRT26,KRT25,KRT24,LOC101154074,KRT222,LOC115932656,LOC101134688,LOC101124577,LMNB1,NEFM,NEFL,VIM,INA,LOC101149792,IFFO1,KRT18,KRT8,KRT78,KRT79,KRT4,KRT3,KRT76,LOC101137664,KRT77,KRT1,KRT2,LOC101126119,KRT72,KRT74,KRT71,KRT5,KRT6A,KRT6C,LOC101136938,KRT75,KRT82,KRT84,LOC101151260,LOC101136574,LOC101136203,LOC109029062,LOC101152583,LOC109029034,KRT7,KRT80,PRPH,DES,LOC101132703,LMNB2,NEFH
PRFAM6	76	76	18	1	0.504	1	1.000	0	protein_coding	0.658	USP21,USP33,USP1,USP19,USP4,USP13,LOC129533220,LOC129533217,LOC129533219,LOC129533215,LOC129533212,LOC129533214,LOC129533206,LOC129533209,LOC129533222,LOC129533225,LOC129533224,LOC129533223,LOC129533221,LOC134758236,LOC129524400,LOC129524399,USP46,USP22,USP49,USP45,LOC134758981,LOC134759084,LOC134758982,LOC134758983,LOC134758989,LOC134758990,LOC134758991,LOC134759085,LOC134758993,LOC129524393,LOC134758995,LOC129524394,LOC129524397,LOC134758996,LOC129524347,LOC129524346,LOC101126783,LOC134759057,LOC134759008,LOC134759009,LOC129524348,LOC129524349,LOC129524350,LOC129524352,LOC129524353,LOC129524344,LOC129524351,LOC134759010,LOC101127524,USP2,USP5,USP15,USP44,USP30,USP39,USP20,USP12,USP50,USP3,USP14,USP31,USP10,USP43,USP16,USP18,LOC129529661,LOC101150852,USP11,USP27X,USP51
PRFAM7	71	71	23	1	0.577	1	1.000	0	protein_coding	0.493	AKT3,LOC109028275,NEK2,MAPKAPK2,PRKACB,PRKAA2,MKNK1,TSSK3,CAMK1,CAMKV,MAPKAPK3,PXK,STK32B,CAMK2D,RSKR,CAMK4,TSSK1B,STK32A,CAMK2A,MYLK4,STK38,PIM1,SGK1,STK17A,CAMK2B,SGK3,PSKH2,TRIB1,CAMK1D,CAMK2G,STK32C,STK33,STK38L,MAPKAPK5,CAMKK2,STK17B,STK16,TRIB2,PRKACG,NEK6,NEK3,TSSK4,AKT1,DAPK2,PDPK1,LOC101147811,SBK1,PSKH1,CAMKK1,AURKB,NIM1K,PRKAA1,STK11,MKNK2,DAPK3,PRKACA,TSSK6,AKT2,SBK2,SBK3,AURKC,TRIB3,MYLK2,SGK2,AURKA,TSSK2,PIM3,LOC101127525,PIM2,PNCK,LOC129530427
PRFAM8	71	71	22	1	0.272	1	1.000	0	protein_coding	0.648	HPCAL4,HPCA,PEF1,CALML6,MYL3,TNNC1,GUCA1C,LOC109026304,KCNIP4,LOC115934314,PVALEF,LOC101139541,LOC101140627,MYL4,CETN3,KCNIP1,SCGN,LOC109027176,GUCA1A,GUCA1B,MYL7,CALN1,MYL10,SRI,CLXN,CALB1,LOC109028042,NCALD,CALML5,CALML3,KCNIP2,CABP4,CABP2,MYL6,MYL6B,MYL2,TESC,GCA,MYL1,KCNIP3,PPP3R1,CALM2,CIB4,VSNL1,HPCAL1,PPP3R2,NCS1,EFCAB11,CALM1,CHP1,CALML4,CIB2,CIB1,MYL12B,LOC101127500,CETN1,CHP2,MYL11,CAPNS2,CALB2,RCVRN,CAPSL,PDCD6,CIB3,CAPNS1,CALM3,CABP5,MYL9,TNNC2,CABP7,CETN2
PRFAM9	66	66	13	1	0.651	1	1.000	0	protein_coding	0.803	CDHR4,PCDH7,PCDH10,PCDH18,LOC101141132,LOC101152878,PCDHB1,PCDHB2,LOC101125684,LOC101126280,PCDHB5,LOC101125318,LOC101126997,LOC101145202,PCDHB8,PCDHB16,PCDHB9,PCDHB11,PCDHB12,LOC115934657,PCDHB14,LOC101127374,LOC101146984,PCDHB15,LOC134758598,LOC129533915,LOC101128585,PCDH1,PCDH12,CDHR2,CDHR3,CDH17,CDHR1,PCDH8,PCDH17,PCDH20,PCDH9,CDH24,CDH2,DSC3,DSC2,DSC1,DSG1,DSG4,DSG3,DSG2,CDH20,CDH7,CDH19,CDH8,CDH11,CDH5,CDH16,CDH3,CDH1,CDH13,CDH15,CDH6,CDH9,LOC101134111,CDH12,CDH18,CDH22,CDH4,PCDH11X,PCDH19
