family_id	n_rna_copies	famCN	totalCN	projection_loci
GWFAM0	6	6	7	chr1:227156087-227163419@0.9704
GWFAM1	8	14	16	chr1:221740182-221753497@0.9845;chr11:181876-195212@0.9936;chr16:96216723-96230096@0.9930;chr19:177114-190495@0.9934;chr3:200911980-200925374@0.9939;chr5:181850645-181859417@0.9935;chr7:94300-107676@0.9934;chr7:45930837-45948616@0.9740
GWFAM2	2	4	6	chr1:16105029-16110578@0.9844;chr1:16272278-16277825@0.9986;chr1:16478337-16483070@0.9844;chr3:49713270-49718733@0.9757
GWFAM3	8	12	12	chr1:103536281-103544062@1.0000;chr1:103599782-103607561@1.0000;chr1:103693916-103701694@1.0000;chr1:103724559-103732338@1.0000
GWFAM4	2	3	4	chr1:146003301-146018935@0.9922;chr1:148480148-148490172@0.9927
GWFAM5	3	3	3	
GWFAM6	3	3	3	
GWFAM7	3	5	6	chr1:145231305-145264876@0.9971;chr1:147819523-147890076@0.9801;chr1:148601552-148620972@0.9939
GWFAM8	2	3	3	chr1:142827459-142833269@0.9868
GWFAM9	2	3	3	chr1:148910426-148917150@0.9917
GWFAM10	4	4	4	
GWFAM11	3	4	4	chr1:144014020-144220076@0.9960
GWFAM12	2	2	4	chr1:120972997-120975506@0.9459;chr1:146389979-146392488@0.9463
GWFAM13	2	3	3	chr1:121051983-121105696@0.9923
GWFAM14	2	4	4	chr1:121037460-121052404@0.9928;chr1:142883386-142898323@0.9942
GWFAM15	2	5	5	chr1:120008553-120083048@0.9876;chr1:120737006-120808447@0.9900;chr1:146108384-146182834@0.9988
GWFAM16	3	3	3	
GWFAM17	3	3	3	
GWFAM18	8	13	14	chr12:7478-22477@0.9870;chr15:99730892-99745900@0.9875;chr16:6969-10983@0.9822;chr20:75192-92228@0.9808;chr20:66187782-66202790@0.9847;chr9:8276-23280@0.9841
GWFAM19	2	2	6	chr11:49230665-49244959@0.9287;chr11:89790120-89807813@0.9647;chr11:89876613-89894245@0.9646;chr2:95985151-96026799@0.9349
GWFAM20	3	7	8	chr2:95304469-95322474@0.9770;chr9:40279464-40297375@0.9833;chr9:43000151-43018079@0.9844;chr9:77863432-77881287@0.9827;chr9:79683246-79701094@0.9816
GWFAM21	2	3	3	chr22:16196248-16203630@0.9901
GWFAM22	2	3	3	chr14:13375513-13419551@0.9967
GWFAM23	25	26	26	chr15:32330974-32339850@0.9863
GWFAM24	4	5	6	chr15:18444875-18447353@0.9672;chr15:26336482-26339293@0.9991
GWFAM25	2	3	4	chr15:18366464-18418029@0.9974;chr15:25973241-26064943@0.9771
GWFAM26	2	2	2	
GWFAM27	2	5	7	chr15:18428030-18433726@0.9932;chr15:20151269-20156963@0.9937;chr15:21025274-21028497@0.9971;chr15:21163299-21168991@0.9668;chr15:26074945-26080640@0.9873
GWFAM28	3	4	4	chr15:28361416-28365242@0.9993
GWFAM29	4	6	6	chr15:27895208-27907924@0.9963;chr15:28174361-28187051@0.9976
GWFAM30	2	2	4	chrY:24708831-24714914@0.9763;chrY:26328783-26334868@0.9763
GWFAM31	2	4	6	chr15:82038720-82053720@0.9930;chr15:82238255-82253252@0.9930;chrY:24656699-24671609@0.9672;chrY:26276649-26291565@0.9672
GWFAM32	14	16	16	chr16:80309670-80324278@0.9815;chr16:80424036-80438609@0.9820
GWFAM33	2	12	15	chr16:15383382-15386351@0.9892;chr16:21355024-21360646@0.9858;chr16:21698309-21703923@0.9858;chr16:22359314-22364935@0.9858;chr16:22791314-22796927@0.9850;chr16:28752203-28757846@0.9767;chr16:29032545-29038149@0.9800;chr16:29680505-29686101@0.9842;chr16:29782535-29788133@0.9867;chr16:30524693-30530300@0.9867;chr16:30626662-30632271@0.9867;chr16:75800529-75806138@0.9775;chr18:11796762-11802369@0.9749
GWFAM34	7	7	8	chr6:7948321-7971284@0.8924
GWFAM35	3	4	4	chr16:34354979-34357190@0.9931
GWFAM36	2	4	4	chr5:178265169-178291536@0.9945;chr5:178587063-178600920@0.9916
GWFAM37	4	4	9	chr10:27276410-27281916@0.8935;chr17:31979861-31996886@0.9463;chr17:46378893-46412093@0.8910;chr17:47878554-47912848@0.8823;chr17:68999691-69029376@0.8731
GWFAM38	2	3	3	chr17:48448233-48452710@0.9844
GWFAM39	7	11	11	chr17:37113572-37124526@0.9930;chr17:37201559-37212510@0.9972;chr17:37271746-37282718@0.9967;chr17:37427145-37438025@0.9937
GWFAM40	2	3	4	chr17:46356973-46363909@0.9782;chr17:65719477-65725550@0.9813
GWFAM41	4	5	9	chr15:47288848-47295366@0.9673;chr21:11690968-11697491@0.9861;chr9:39829153-39835705@0.9696;chr9:40848648-40855053@0.9701;chr9:80290331-80296879@0.9700
GWFAM42	6	6	7	chr2:110297519-110323422@0.9793
GWFAM43	2	2	2	
GWFAM44	2	2	2	
GWFAM45	4	4	4	
GWFAM46	4	7	7	chr2:130467161-130481071@0.9820;chr2:130862283-130876240@0.9975;chr2:131720623-131734510@0.9834
GWFAM47	5	5	6	chr22:23729744-23736672@0.9736
GWFAM48	2	2	9	chr5:34480157-34483715@0.9769;chr5:70527028-70530580@0.9763;chr5:70653542-70657094@0.9763;chr5:71033570-71037111@0.9756;chr5:71183125-71186666@0.9756;chr5:71761802-71765350@0.9753;chr6:26815655-26819216@0.9797
GWFAM49	5	11	24	chr5:21486545-21490374@0.9778;chr5:21506023-21510659@0.9778;chr5:21566901-21571537@0.9769;chr5:21587197-21591833@0.9778;chr5:34311520-34316159@0.9791;chr5:34331959-34336598@0.9782;chr5:34352397-34357036@0.9787;chr5:34372848-34377487@0.9787;chr5:34393289-34397928@0.9787;chr5:34413755-34418326@0.9787;chr5:34434153-34438792@0.9787;chr5:70457280-70463852@0.9932;chr5:70478582-70480788@0.9950;chr5:70983958-70988600@0.9982;chr5:71671583-71677038@0.9964;chr5:71692884-71698339@0.9964;chr5:71714163-71716369@0.9941;chr6:26764249-26769236@0.9733;chr6:57775734-57778541@0.9683
GWFAM50	2	2	4	chr5:70807888-70900395@0.9775;chr5:71318776-71411659@0.9578
GWFAM51	3	3	5	chr6:57705426-57769044@0.9824;chr7:67026370-67198294@0.8728
GWFAM52	7	9	10	chr7:68498038-68507868@0.9798;chr7:103664040-103673865@0.9969;chr7:103868701-103880178@0.9992
