cluster_id	member	gate	max_depth	core_bp	span	median_core	status	core_hull
MCL0	NC_073244.2:61641285-61694298	false	1	0	53014	0	untouched	NA
MCL0	NC_073241.2:33108942-33143199	false	0	0	34258	0	untouched	NA
MCL0	NC_073241.2:40972488-41119131	false	0	0	146644	0	untouched	NA
MCL0	NC_073242.2:104161715-104219107	false	2	0	57393	0	untouched	NA
MCL0	NC_073242.2:104723483-104781487	false	3	0	58005	0	untouched	NA
MCL0	NC_073244.2:17922164-17949362	false	0	0	27199	0	untouched	NA
MCL0	NC_073241.2:36539960-36605497	false	0	0	65538	0	untouched	NA
MCL0	NC_073241.2:66046350-66449775	false	0	0	403426	0	untouched	NA
MCL0	NC_073242.2:100738886-100767133	false	0	0	28248	0	untouched	NA
MCL0	NC_073244.2:27285382-27328024	false	2	0	42643	0	untouched	NA
MCL0	NC_073244.2:29647108-29814839	false	3	0	167732	0	untouched	NA
MCL0	NC_073244.2:69223502-69237752	false	0	0	14251	0	untouched	NA
MCL0	NC_073241.2:37091241-37274228	false	0	0	182988	0	untouched	NA
MCL0	NC_073244.2:27900069-27925268	false	0	0	25200	0	untouched	NA
MCL0	NC_073241.2:41855804-42682521	false	0	0	826718	0	untouched	NA
MCL0	NC_073241.2:43348347-43578606	false	0	0	230260	0	untouched	NA
MCL0	NC_073241.2:45789534-45823500	false	0	0	33967	0	untouched	NA
MCL0	NC_073241.2:47373417-47441030	false	0	0	67614	0	untouched	NA
MCL0	NC_073241.2:48459632-48817618	false	0	0	357987	0	untouched	NA
MCL0	NC_073241.2:49665726-49681055	false	0	0	15330	0	untouched	NA
MCL0	NC_073241.2:51973141-52045058	false	0	0	71918	0	untouched	NA
MCL0	NC_073241.2:52528605-52672277	false	0	0	143673	0	untouched	NA
MCL0	NC_073241.2:54301494-54591307	false	0	0	289814	0	untouched	NA
MCL0	NC_073241.2:55462325-55627143	false	0	0	164819	0	untouched	NA
MCL0	NC_073241.2:56149842-56422322	false	0	0	272481	0	untouched	NA
MCL0	NC_073241.2:61504210-61711423	false	0	0	207214	0	untouched	NA
MCL0	NC_073241.2:63077864-63462529	false	0	0	384666	0	untouched	NA
MCL0	NC_073241.2:63729506-64123894	false	0	0	394389	0	untouched	NA
MCL0	NC_073241.2:65520925-66000870	false	0	0	479946	0	untouched	NA
MCL0	NC_073241.2:68358630-68406586	false	0	0	47957	0	untouched	NA
MCL0	NC_073241.2:68518183-69033790	false	0	0	515608	0	untouched	NA
MCL0	NC_073241.2:73539236-73759028	false	0	0	219793	0	untouched	NA
MCL0	NC_073241.2:77827681-78153794	false	0	0	326114	0	untouched	NA
MCL0	NC_073241.2:82793126-83055191	false	0	0	262066	0	untouched	NA
MCL0	NC_073241.2:83211415-83333331	false	0	0	121917	0	untouched	NA
MCL0	NC_073241.2:83588505-83640875	false	0	0	52371	0	untouched	NA
MCL0	NC_073241.2:83851802-83904929	false	0	0	53128	0	untouched	NA
MCL0	NC_073241.2:85207716-85246217	false	0	0	38502	0	untouched	NA
MCL0	NC_073241.2:90661289-90883649	false	0	0	222361	0	untouched	NA
MCL0	NC_073241.2:91223381-91515247	false	0	0	291867	0	untouched	NA
MCL0	NC_073241.2:94469612-94512788	false	0	0	43177	0	untouched	NA
MCL0	NC_073241.2:95827202-96189998	false	0	0	362797	0	untouched	NA
MCL0	NC_073241.2:97014621-97109004	false	0	0	94384	0	untouched	NA
MCL0	NC_073241.2:99669637-99684524	false	0	0	14888	0	untouched	NA
MCL0	NC_073241.2:100405646-100462350	false	0	0	56705	0	untouched	NA
MCL0	NC_073241.2:102968519-103013963	false	0	0	45445	0	untouched	NA
MCL0	NC_073241.2:108384262-108692445	false	0	0	308184	0	untouched	NA
MCL0	NC_073241.2:109297622-109358533	false	0	0	60912	0	untouched	NA
MCL0	NC_073241.2:109480481-109576182	false	0	0	95702	0	untouched	NA
MCL0	NC_073242.2:20932389-21024948	false	0	0	92560	0	untouched	NA
MCL0	NC_073242.2:26399495-26413697	false	0	0	14203	0	untouched	NA
MCL0	NC_073242.2:33926335-34263168	false	0	0	336834	0	untouched	NA
MCL0	NC_073242.2:36977258-37048843	false	0	0	71586	0	untouched	NA
MCL0	NC_073242.2:37302649-37351000	false	1	0	48352	0	untouched	NA
MCL0	NC_073242.2:37386129-37429726	false	1	0	43598	0	untouched	NA
MCL0	NC_073242.2:37667516-37710031	false	3	0	42516	0	untouched	NA
MCL0	NC_073242.2:65350370-65397685	false	6	0	47316	0	untouched	NA
MCL0	NC_073242.2:65804903-65840263	false	7	0	35361	0	untouched	NA
MCL0	NC_073242.2:66610775-66651988	false	4	0	41214	0	untouched	NA
MCL0	NC_073242.2:66900162-66936950	false	4	0	36789	0	untouched	NA
MCL0	NC_073242.2:67067472-67114723	false	5	0	47252	0	untouched	NA
MCL0	NC_073242.2:67519490-67556277	false	6	0	36788	0	untouched	NA
MCL0	NC_073242.2:67959397-67996444	false	4	0	37048	0	untouched	NA
MCL0	NC_073242.2:68771162-68806675	false	7	0	35514	0	untouched	NA
MCL0	NC_073242.2:69212329-69259558	false	6	0	47230	0	untouched	NA
MCL0	NC_073242.2:74708573-74716984	false	4	0	8412	0	untouched	NA
MCL0	NC_073242.2:75210852-75264784	false	0	0	53933	0	untouched	NA
MCL0	NC_073242.2:75525223-75625024	false	0	0	99802	0	untouched	NA
MCL0	NC_073242.2:76134680-76196667	false	0	0	61988	0	untouched	NA
MCL0	NC_073242.2:76196713-76310849	false	0	0	114137	0	untouched	NA
