gene	chrom	start	end	segdup_copies	famCN	n_novel_unannotated	copies
SLC9B1P1	chr16	32804124	32821138	8	9	7	chr16:34657621*,chr22:6275213*,chr22:17135779*,chr2:89495932*
FO681492.1	chr10	48641165	48655007	2	3	0	chr10:47464576,chr10:88093361
CASTOR2	chr7	76167037	76233789	3	4	2	chr7:74355117*,chr7:76421764,chr7:101461846*
CTSLP3	chr10	47641642	47647779	4	5	1	chr10:48471986*,chr10:51556278,chr10:80742024,chr10:88272583
AC245297.1	chr1	145855639	145979396	3	4	0	chr1:120210346,chr1:120591924,chr1:145475300
AL356585.4	chr13	13734170	13738626	9	10	8	chr14:3494529*,chr15:5374034*,chr21:6991262*,chr13:10014350*
ANKRD36B	chr2	97950885	98048181	5	6	5	chr2:96339247*,chr2:97620094*,chrY:27221742*,chr16:33916989*
AC246785.1	chr1	143591826	143594083	3	4	1	chr1:120418149*,chr1:145769113,chr1:148346684
AC243829.7	chr17	37109490	37110818	6	7	5	chr17:37197487*,chr17:37321419*,chr17:37422982*,chr17:38925103*
AC053481.4	chr17	63130560	63131864	6	7	5	chr17:37109490,chr17:37197487*,chr17:37321419*,chr17:37422982*
PPIAL4D	chr1	144366357	144366853	35	36	31	chr1:120899196,chr1:143473171,chr1:143693009,chr1:146324111*
AC006453.4	chr2	90228191	90245534	8	9	7	chr2:89495932*,chr2:92108644*,chr22:6275213*,chr22:17135779*
NCF1B	chr7	74420835	74436153	2	3	0	chr7:75976301,chr7:76360591
OR11H13P	chr14	13493444	13494424	4	5	2	chr14:13104503,chr14:13912771*,chr22:16102172,chr15:18915114*
SYT15	chr10	47464575	47480533	2	3	0	chr10:48639056,chr10:88091252
CDH12P3	chr5	71589693	71589989	3	4	2	chr5:22082719*,chr5:70901860,chr5:71317013*
AL157893.1	chr10	88097762	88099813	2	3	0	chr10:47471954,chr10:48645583
CHEK2P2	chr15	19353208	19362048	3	4	2	chr15:18191273*,chr16:33739577,chr16:35135066*
AC243562.1	chr15	82144483	82145499	7	8	5	chr15:80340994,chr15:82070244*,chr15:82220715*,chr15:82961055
PPIAL4F	chr1	143472956	143473742	6	7	2	chr1:120899121,chr1:143692934,chr1:144366142,chr1:146324036*
CDH12P1	chr5	70901860	70902156	3	4	2	chr5:22082719*,chr5:71317013*,chr5:71589693
