locus_id	chrom	strand	panel_start	panel_end	n_needy_refs	absent_refs	subopt_refs	priority_score	classes	buckets	focus_refs	debug_bundle	trace_locus
STRG.251	NC_073243.2	+	36443168	36634779	6	0	6	37	c:1,j:3,k:2	subopt_c:1,subopt_j:3,subopt_k:2	STRG.251.1,STRG.251.2,STRG.251.4,STRG.251.5,STRG.251.8,STRG.251.9	NC_073243.2:36443168-36634779	36443168-36634779
STRG.151	NC_073243.2	+	23033526	23064635	6	0	6	35	c:1,j:4,n:1	subopt_c:1,subopt_j:4,subopt_n:1	STRG.151.1,STRG.151.2,STRG.151.5,STRG.151.6,STRG.151.7,STRG.151.4	NC_073243.2:23033526-23064635	23033526-23064635
STRG.503	NC_073243.2	-	97540381	97743862	5	0	5	29	c:1,k:3,m:1	subopt_c:1,subopt_k:3,subopt_m:1	STRG.503.1,STRG.503.4,STRG.503.5,STRG.503.6,STRG.503.2	NC_073243.2:97540381-97743862	97540381-97743862
STRG.157	NC_073243.2	-	23288512	23308475	5	2	3	27	j:1,k:1,m:1	absent_full_junction_overlap_query:1,absent_single_exon_ref:1,subopt_j:1,subopt_k:1,subopt_m:1	STRG.157.6,STRG.157.7,STRG.157.3,STRG.157.5,STRG.157.4	NC_073243.2:23288512-23308475	23288512-23308475
STRG.453	NC_073243.2	+	82243221	82437729	4	0	4	27	c:3,j:1	subopt_c:3,subopt_j:1	STRG.453.2,STRG.453.3,STRG.453.4,STRG.453.5	NC_073243.2:82243221-82437729	82243221-82437729
STRG.442	NC_073243.2	+	80297718	80330444	3	0	3	21	c:3	subopt_c:3	STRG.442.3,STRG.442.6,STRG.442.9	NC_073243.2:80297718-80330444	80297718-80330444
STRG.566	NC_073243.2	-	111146297	111177575	4	1	3	20	j:1,m:1,o:1	absent_full_junction_overlap_query:1,subopt_j:1,subopt_m:1,subopt_o:1	STRG.566.12,STRG.566.9,STRG.566.10,STRG.566.11	NC_073243.2:111146297-111177575	111146297-111177575
STRG.445	NC_073243.2	+	80975942	81174569	3	2	1	19	c:1	absent_full_junction_overlap_query:2,subopt_c:1	STRG.445.2,STRG.445.5,STRG.445.4	NC_073243.2:80975942-81174569	80975942-81174569
STRG.29	NC_073243.2	+	17431800	17453950	3	0	3	18	k:3	subopt_k:3	STRG.29.2,STRG.29.3,STRG.29.4	NC_073243.2:17431800-17453950	17431800-17453950
STRG.440	NC_073243.2	-	80273347	80288948	3	0	3	18	j:3	subopt_j:3	STRG.440.3,STRG.440.4,STRG.440.5	NC_073243.2:80273347-80288948	80273347-80288948
STRG.300	NC_073243.2	-	44054004	44096254	3	0	3	17	c:1,j:1,m:1	subopt_c:1,subopt_j:1,subopt_m:1	STRG.300.1,STRG.300.6,STRG.300.5	NC_073243.2:44054004-44096254	44054004-44096254
STRG.125	NC_073243.2	-	22454887	22475442	3	0	3	16	j:1,k:1,m:1	subopt_j:1,subopt_k:1,subopt_m:1	STRG.125.6,STRG.125.9,STRG.125.5	NC_073243.2:22454887-22475442	22454887-22475442
STRG.210	NC_073243.2	+	30118918	30195392	3	2	1	16	j:1	absent_single_exon_ref:2,subopt_j:1	STRG.210.4,STRG.210.5,STRG.210.1	NC_073243.2:30118918-30195392	30118918-30195392
STRG.52	NC_073243.2	-	19033042	19077751	2	0	2	14	c:2	subopt_c:2	STRG.52.2,STRG.52.4	NC_073243.2:19033042-19077751	19033042-19077751
STRG.95	NC_073243.2	-	20647910	20710598	2	0	2	14	c:2	subopt_c:2	STRG.95.2,STRG.95.5	NC_073243.2:20647910-20710598	20647910-20710598
