label	ref	mem	ref_j	mem_j	co	frac_ref	frac_mem	aln_cov_small	contig	seq_id
bridge	LOC129526457	LOC129526460	1	1	1	1.0	1.0	1.0	1	1.0
bridge	LOC129526457	LOC134757067	1	1	1	1.0	1.0	1.0	1	0.993993993993994
bridge	LOC129526457	LOC134757065	1	1	1	1.0	1.0	1.0	1	0.9984984984984985
bridge	LOC129526457	LOC129526459	1	1	1	1.0	1.0	1.0	1	0.9984984984984985
bridge	LOC129526457	LOC129526467	1	1	1	1.0	1.0	1.0	1	0.9984984984984985
bridge	LOC129526457	LOC134757063	1	1	1	1.0	1.0	1.0	1	0.9984984984984985
bridge	LOC129526457	LOC134757064	1	1	1	1.0	1.0	1.0	1	0.9984984984984985
bridge	LOC129526457	LOC129526463	1	1	1	1.0	1.0	1.0	1	0.996996996996997
bridge	LOC129526457	LOC134757062	1	1	1	1.0	1.0	1.0	1	1.0
bridge	LOC129526457	LOC134757069	1	1	1	1.0	1.0	1.0	1	0.996996996996997
bridge	LOC129526457	LOC129526462	1	1	1	1.0	1.0	1.0	1	0.9984984984984985
bridge	LOC129526457	LOC129526458	1	1	1	1.0	1.0	1.0	1	0.9984984984984985
bridge	LOC115935969	LOC101143280	6	3	3	0.5	1.0	1.0	3	0.9795918367346939
bridge	CEACAM1	CEACAM5	8	7	4	0.5	0.571	0.362	4	0.9065934065934066
bridge	CEACAM1	CEACAM3	8	6	2	0.25	0.333	0.446	2	0.9376623376623376
bridge	LOC101151677	LOC115934984	5	5	4	0.8	0.8	0.993	2	0.961730449251248
bridge	LOC129532980	LOC129524832	5	2	2	0.4	1.0	0.343	2	0.9920159680638723
bridge	LOC129532980	LOC129523820	5	4	4	0.8	1.0	0.552	4	0.9898477157360406
bridge	LOC129532980	MORN5	5	5	5	1.0	1.0	0.851	5	0.9901639344262295
bridge	LOC129532980	LOC129525576	5	2	2	0.4	1.0	0.594	2	0.9968503937007874
bridge	LOC129532980	LOC134756370	5	3	3	0.6	1.0	0.55	3	0.9907550077041603
bridge	LOC129532980	LOC129534555	5	3	3	0.6	1.0	0.55	3	0.9962894248608535
bridge	LOC129532980	LOC129528382	5	3	3	0.6	1.0	0.55	3	0.9969183359013868
bridge	LOC129532980	LOC129527430	5	4	4	0.8	1.0	0.816	4	0.9952380952380953
bridge	LOC129532980	LOC129532807	5	4	4	0.8	1.0	0.859	4	0.9988518943742825
bridge	LOC129532980	LOC129523739	5	4	4	0.8	1.0	0.859	4	0.9907550077041603
bridge	LOC129532980	LOC134756371	5	4	4	0.8	1.0	0.859	4	0.9965556831228473
bridge	LOC129532980	LOC129531752	5	4	4	0.8	1.0	0.859	4	0.9988518943742825
bridge	LOC129532980	LOC129532626	5	4	4	0.8	1.0	0.859	4	0.9938366718027735
bridge	LOC129532980	LOC129525416	5	4	4	0.8	1.0	0.859	4	0.9988518943742825
bridge	LOC129532980	LOC129528750	5	4	4	0.8	1.0	0.838	4	0.9906542056074766
bridge	LOC129532980	LOC129527885	5	4	4	0.8	1.0	0.775	4	0.9938347718865598
bridge	LOC129532980	LOC129523993	5	4	4	0.8	1.0	0.681	4	0.9969183359013868
bridge	LOC129532980	LOC134757713	5	2	2	0.4	1.0	1.0	2	0.992619926199262
bridge	LOC129532980	LOC129525765	5	4	4	0.8	1.0	0.775	4	0.9938347718865598
bridge	LOC129532980	LOC129525067	5	4	4	0.8	1.0	0.69	4	0.9847715736040609
bridge	LOC129531434	LOC129531447	2	2	2	1.0	1.0	0.592	2	0.9855293221629855
bridge	LOC129531434	LOC134756756	2	2	2	1.0	1.0	0.633	2	0.9923599320882852
bridge	LOC129531434	LOC134757226	2	2	2	1.0	1.0	0.317	2	0.9908606245239908
bridge	LOC129531434	LOC134756759	2	1	0	0.0	0.0	0.539	0	0.9858623939679547
bridge	LOC134757062	LOC134757067	1	1	1	1.0	1.0	1.0	1	0.993993993993994
bridge	LOC134757062	LOC134757069	1	1	1	1.0	1.0	1.0	1	0.996996996996997
bridge	LOC134757062	LOC134757065	1	1	1	1.0	1.0	1.0	1	0.9984984984984985
bridge	LOC134757062	LOC134757063	1	1	1	1.0	1.0	1.0	1	0.9984984984984985
bridge	LOC134757062	LOC134757064	1	1	1	1.0	1.0	1.0	1	0.9984984984984985
bridge	LOC129523684	LOC129524261	8	2	2	0.25	1.0	0.455	2	0.9530791788856305
bridge	LOC129523684	LOC129534780	8	2	2	0.25	1.0	0.625	2	0.9765193370165746
bridge	LOC129523684	LOC109027802	8	1	1	0.125	1.0	0.736	1	0.9649923896499238
bridge	LOC129523684	LOC129527979	8	3	3	0.375	1.0	0.559	3	0.9586507072905331
bridge	LOC129534279	LOC134759266	5	2	2	0.4	1.0	0.473	2	0.9771359807460891
bridge	LOC129534279	LOC134759133	5	4	0	0.0	0.0	0.441	0	0.975452196382429
bridge	LOC129534279	LOC129534554	5	4	4	0.8	1.0	0.436	4	1.0
bridge	LOC129534279	LOC134759136	5	1	1	0.2	1.0	0.362	1	0.9771359807460891
bridge	LOC129534279	LOC134759135	5	1	1	0.2	1.0	0.362	1	0.9771359807460891
bridge	LOC129534279	LOC134757748	5	5	5	1.0	1.0	0.999	5	0.9838472834067548
bridge	LOC129534279	LOC134757293	5	5	4	0.8	0.8	0.597	4	0.9803921568627451
bridge	LOC129534279	LOC134756731	5	4	3	0.6	0.75	0.73	3	0.9902173913043478
bridge	LOC129534279	LOC134758029	5	1	1	0.2	1.0	0.362	1	0.9747292418772563
bridge	LOC129534279	LOC134759308	5	2	2	0.4	1.0	0.959	2	0.9815837937384899
bridge	LOC129534279	LOC134759262	5	2	2	0.4	1.0	0.783	2	0.9759326113116726
bridge	LOC129534279	LOC134758393	5	5	5	1.0	1.0	1.0	5	0.9203935599284436
bridge	LOC129534279	LOC134759309	5	2	2	0.4	1.0	1.0	2	0.9852289512555391
bridge	LOC129534279	LOC134757745	5	3	3	0.6	1.0	0.771	3	0.9859611231101512
bridge	LOC129534279	LOC134758132	5	2	2	0.4	1.0	0.72	2	0.9831528279181708
bridge	LOC129534279	LOC129534180	5	2	2	0.4	1.0	0.573	2	0.9891566265060241
bridge	LOC129534279	LOC134758553	5	1	1	0.2	1.0	0.362	1	0.9759326113116726
bridge	LOC129534279	LOC134759134	5	1	1	0.2	1.0	0.362	1	0.9771359807460891
bridge	LOC129534279	LOC134756819	5	4	3	0.6	0.75	0.441	3	0.983957219251337
bridge	LOC129534279	LOC134758143	5	1	1	0.2	1.0	0.496	1	0.9795427196149218
bridge	LOC129534279	LOC134758142	5	4	4	0.8	1.0	0.792	4	0.9913606911447084
bridge	LOC129534279	LOC134757360	5	4	3	0.6	0.75	0.437	3	0.9786096256684492
bridge	LOC129534279	LOC129532019	5	2	2	0.4	1.0	0.478	2	0.9795427196149218
bridge	LOC129534279	LOC129527431	5	2	0	0.0	0.0	0.441	0	0.9566037735849057
bridge	LOC129534279	LOC134757746	5	2	2	0.4	1.0	0.648	2	0.9913169319826338
bridge	LOC129534279	LOC134759264	5	2	2	0.4	1.0	0.782	2	0.9759326113116726
bridge	LOC129534279	LOC134758144	5	3	2	0.4	0.667	0.5	2	0.9843561973525873
bridge	LOC129534279	LOC134758137	5	5	4	0.8	0.8	0.773	4	0.983957219251337
bridge	LOC129534279	LOC134758141	5	4	4	0.8	1.0	0.843	4	0.984267453294002
