dna_family	n_copies	n_transcribed	n_well_expressed	genes
DFAM0	501	83	4	LOC101123691,LOC101123789,LOC101123793,LOC101124039,LOC101124044,LOC101124096,LOC101124146,LOC101124172,LOC101124310,LOC101124364,LOC101124399,LOC101124517,LOC101124522,LOC101124653,LOC101124743,LOC101124772,LOC101124917,LOC101125138,LOC101125253,LOC101125257,LOC101125285,LOC101125499,LOC101125628,LOC101125648,LOC101125649,LOC101125739,LOC101125865,LOC101126019,LOC101126218,LOC101126345,LOC101126380,LOC101126460,LOC101126576,LOC101126657,LOC101126695,LOC101126757,LOC101126811,LOC101126816,LOC101127099,LOC101127179,LOC101127204,LOC101127471,LOC101127473,LOC101127568,LOC101127668,LOC101127774,LOC101127830,LOC101127832,LOC101127908,LOC101127913,LOC101127921,LOC101128043,LOC101128201,LOC101128202,LOC101128235,LOC101128282,LOC101128286,LOC101128292,LOC101128507,LOC101128530,LOC101128557,LOC101128643,LOC101128649,LOC101128867,LOC101128885,LOC101128940,LOC101128982,LOC101129101,LOC101129109,LOC101129209,LOC101129229,LOC101129257,LOC101129296,LOC101129351,LOC101129360,LOC101129546,LOC101129632,LOC101129673,LOC101129687,LOC101129728,LOC101129736,LOC101129836,LOC101129979,LOC101130015,LOC101130065,LOC101130073,LOC101130382,LOC101130559,LOC101130753,LOC101130814,LOC101130821,LOC101131103,LOC101131162,LOC101131168,LOC101131464,LOC101131465,LOC101131530,LOC101131628,LOC101131786,LOC101131824,LOC101131879,LOC101131889,LOC101131991,LOC101132106,LOC101132193,LOC101132253,LOC101132254,LOC101132260,LOC101132551,LOC101132611,LOC101132732,LOC101132843,LOC101132925,LOC101132980,LOC101132981,LOC101132985,LOC101133112,LOC101133282,LOC101133344,LOC101133349,LOC101133357,LOC101133462,LOC101133483,LOC101133585,LOC101133640,LOC101133653,LOC101133656,LOC101133676,LOC101133708,LOC101133713,LOC101133718,LOC101133829,LOC101133845,LOC101133977,LOC101134015,LOC101134050,LOC101134051,LOC101134056,LOC101134267,LOC101134403,LOC101134411,LOC101134485,LOC101134598,LOC101134624,LOC101134753,LOC101134759,LOC101134894,LOC101134980,LOC101135123,LOC101135162,LOC101135237,LOC101135314,LOC101135347,LOC101135348,LOC101135475,LOC101135590,LOC101135660,LOC101135678,LOC101135696,LOC101135771,LOC101135831,LOC101136025,LOC101136040,LOC101136052,LOC101136057,LOC101136183,LOC101136189,LOC101136323,LOC101136324,LOC101136393,LOC101136413,LOC101136556,LOC101136561,LOC101136685,LOC101136730,LOC101136745,LOC101136766,LOC101136913,LOC101136919,LOC101136923,LOC101137052,LOC101137127,LOC101137142,LOC101137158,LOC101137281,LOC101137284,LOC101137288,LOC101137409,LOC101137417,LOC101137460,LOC101137477,LOC101137506,LOC101137637,LOC101137763,LOC101137794,LOC101137887,LOC101138012,LOC101138014,LOC101138020,LOC101138131,LOC101138237,LOC101138267,LOC101138393,LOC101138395,LOC101138400,LOC101138548,LOC101138643,LOC101138750,LOC101138753,LOC101138755,LOC101138925,LOC101139006,LOC101139114,LOC101139116,LOC101139117,LOC101139122,LOC101139132,LOC101139359,LOC101139480,LOC101139488,LOC101139491,LOC101139737,LOC101139829,LOC101140074,LOC101140082,LOC101140206,LOC101140217,LOC101140366,LOC101140427,LOC101140436,LOC101140564,LOC101140568,LOC101140579,LOC101140821,LOC101140827,LOC101140958,LOC101140962,LOC101140964,LOC101140970,LOC101141008,LOC101141137,LOC101141138,LOC101141197,LOC101141204,LOC101141331,LOC101141336,LOC101141498,LOC101141509,LOC101141577,LOC101141682,LOC101141689,LOC101141699,LOC101141790,LOC101141868,LOC101141880,LOC101141944,LOC101141950,LOC101142067,LOC101142072,LOC101142073,LOC101142081,LOC101142095,LOC101142172,LOC101142266,LOC101142549,LOC101142645,LOC101142691,LOC101142728,LOC101142809,LOC101142814,LOC101142986,LOC101142996,LOC101142999,LOC101143161,LOC101143168,LOC101143175,LOC101143276,LOC101143345,LOC101143363,LOC101143448,LOC101143529,LOC101143535,LOC101143890,LOC101143897,LOC101144005,LOC101144085,LOC101144267,LOC101144268,LOC101144282,LOC101144630,LOC101144637,LOC101144819,LOC101145011,LOC101145012,LOC101145016,LOC101145021,LOC101145137,LOC101145365,LOC101145374,LOC101145522,LOC101145547,LOC101145740,LOC101145751,LOC101145881,LOC101145923,LOC101146103,LOC101146107,LOC101146118,LOC101146124,LOC101146167,LOC101146230,LOC101146243,LOC101146453,LOC101146459,LOC101146516,LOC101146565,LOC101146684,LOC101146797,LOC101146821,LOC101146864,LOC101146938,LOC101147047,LOC101147054,LOC101147167,LOC101147295,LOC101147396,LOC101147404,LOC101147529,LOC101147534,LOC101147597,LOC101147658,LOC101147762,LOC101147767,LOC101147885,LOC101148015,LOC101148112,LOC101148118,LOC101148218,LOC101148239,LOC101148386,LOC101148492,LOC101148590,LOC101148609,LOC101148837,LOC101148934,LOC101148953,LOC101149201,LOC101149205,LOC101149308,LOC101149325,LOC101149330,LOC101149396,LOC101149534,LOC101149550,LOC101149653,LOC101149668,LOC101149806,LOC101149901,LOC101149907,LOC101150014,LOC101150037,LOC101150170,LOC101150278,LOC101150282,LOC101150373,LOC101150390,LOC101150528,LOC101150644,LOC101150648,LOC101150653,LOC101150759,LOC101150979,LOC101151012,LOC101151014,LOC101151126,LOC101151262,LOC101151362,LOC101151363,LOC101151370,LOC101151489,LOC101151628,LOC101151860,LOC101151988,LOC101152083,LOC101152116,LOC101152344,LOC101152574,LOC101152713,LOC101152908,LOC101152943,LOC101152957,LOC101153055,LOC101153071,LOC101153273,LOC101153294,LOC101153300,LOC101153318,LOC101153421,LOC101153433,LOC101153542,LOC101153662,LOC101153667,LOC101153683,LOC101153945,LOC101153947,LOC101154022,LOC101154132,LOC101154255,LOC101154313,LOC101154372,LOC101154378,LOC101154407,LOC109023100,LOC109023173,LOC109023174,LOC109023201,LOC109023206,LOC109023408,LOC109023561,LOC109023825,LOC109024060,LOC109025355,LOC109026114,LOC109026182,LOC109027173,LOC109027296,LOC109027420,LOC109027626,LOC109028092,LOC109028100,LOC109028282,LOC109028370,LOC109028725,LOC109028727,LOC109028744,LOC109028756,LOC109028795,LOC109028823,LOC109028836,LOC109028938,LOC109029046,LOC109029095,LOC109029146,LOC109029255,LOC109029274,LOC115930437,LOC115931266,LOC115931273,LOC115931285,LOC115931420,LOC115932969,LOC115933961,LOC115934050,LOC115935392,LOC115935393,LOC115935826,LOC115935845,LOC115936186,LOC115936189,LOC115936194,LOC115936195,LOC115936232,LOC115936267,LOC115936270,LOC115936274,LOC115936276,LOC115936286,LOC115936288,LOC115936295,LOC115936296,LOC115936309,LOC115936313,LOC115936448,LOC129524489,LOC129525464,LOC129526752,LOC129526753,LOC129526754,LOC129526802,LOC129528877,LOC129528913,LOC129528915,LOC129532288,LOC129532330,LOC129532335,LOC129532776,LOC129532821,LOC129532822,LOC129532823,LOC129532832,LOC129532894,LOC129533605,LOC129534768,LOC134756361,LOC134757181,LOC134757652,LOC134758073,LOC134758386,LOC134759317,LOC134759323,OR7D1
DFAM1	229	219	180	KRBOX5,LOC101123988,LOC101124084,LOC101124732,LOC101124778,LOC101126289,LOC101128351,LOC101128712,LOC101129219,LOC101130137,LOC101130507,LOC101130677,LOC101131116,LOC101131689,LOC101133546,LOC101136009,LOC101136504,LOC101136640,LOC101137462,LOC101139095,LOC101141027,LOC101142646,LOC101144471,LOC101144838,LOC101145348,LOC101145690,LOC101145945,LOC101146634,LOC101147715,LOC101148180,LOC101151315,LOC101152401,LOC101153126,LOC101153131,LOC101153504,LOC101153526,LOC101153725,LOC101153837,LOC109024083,LOC109024216,LOC109024224,LOC109025073,LOC109026610,LOC109027583,LOC115931567,LOC115931568,LOC115931576,LOC115931654,LOC115931857,LOC129523567,LOC129534710,LOC134756391,RBAK,REPIN1,ZFP2,ZFP28,ZFP3,ZFP37,ZFP62,ZFP69B,ZFP90,ZIK1,ZIM3,ZKSCAN5,ZNF10,ZNF112,ZNF114,ZNF12,ZNF133,ZNF134,ZNF135,ZNF140,ZNF141,ZNF155,ZNF16,ZNF169,ZNF177,ZNF180,ZNF182,ZNF189,ZNF19,ZNF197,ZNF2,ZNF20,ZNF208,ZNF211,ZNF212,ZNF214,ZNF221,ZNF222,ZNF224,ZNF225,ZNF227,ZNF229,ZNF230,ZNF233,ZNF234,ZNF235,ZNF25,ZNF254,ZNF256,ZNF26,ZNF260,ZNF266,ZNF267,ZNF268,ZNF273,ZNF282,ZNF283,ZNF284,ZNF286A,ZNF287,ZNF3,ZNF30,ZNF311,ZNF316,ZNF317,ZNF333,ZNF334,ZNF337,ZNF33B,ZNF354A,ZNF354B,ZNF37A,ZNF382,ZNF398,ZNF41,ZNF415,ZNF416,ZNF418,ZNF420,ZNF425,ZNF426,ZNF429,ZNF43,ZNF430,ZNF433,ZNF436,ZNF440,ZNF460,ZNF461,ZNF467,ZNF468,ZNF470,ZNF471,ZNF473,ZNF48,ZNF484,ZNF490,ZNF506,ZNF510,ZNF514,ZNF517,ZNF519,ZNF529,ZNF530,ZNF544,ZNF546,ZNF547,ZNF548,ZNF551,ZNF552,ZNF559,ZNF564,ZNF57,ZNF571,ZNF577,ZNF582,ZNF583,ZNF584,ZNF587,ZNF594,ZNF595,ZNF596,ZNF599,ZNF606,ZNF607,ZNF614,ZNF615,ZNF626,ZNF629,ZNF630,ZNF662,ZNF667,ZNF668,ZNF671,ZNF675,ZNF679,ZNF682,ZNF695,ZNF71,ZNF716,ZNF717,ZNF721,ZNF722,ZNF723,ZNF727,ZNF732,ZNF735,ZNF736,ZNF766,ZNF771,ZNF772,ZNF775,ZNF776,ZNF777,ZNF778,ZNF782,ZNF783,ZNF786,ZNF789,ZNF79,ZNF790,ZNF792,ZNF8,ZNF813,ZNF83,ZNF846,ZNF850,ZNF860,ZNF875,ZNF878,ZNF883,ZNF888,ZNF891,ZNF90,ZNF91,ZNF92,ZSCAN10
DFAM2	136	134	108	LOC101126065,LOC101126415,LOC101127631,LOC101128844,LOC101129578,LOC101129974,LOC101130023,LOC101130877,LOC101133657,LOC101136006,LOC101137832,LOC101137843,LOC101138952,LOC101140790,LOC101147718,LOC101151324,LOC101153727,LOC101154200,LOC109024811,LOC109027078,LOC115930085,LOC115931610,LOC115931626,LOC129525787,LOC134757659,MAZ,PATZ1,VEZF1,ZBTB17,ZFP69,ZFP92,ZKSCAN7,ZNF101,ZNF121,ZNF132,ZNF136,ZNF14,ZNF146,ZNF154,ZNF157,ZNF175,ZNF181,ZNF184,ZNF202,ZNF23,ZNF232,ZNF248,ZNF250,ZNF251,ZNF264,ZNF28,ZNF296,ZNF300,ZNF302,ZNF304,ZNF329,ZNF34,ZNF343,ZNF347,ZNF35,ZNF354C,ZNF394,ZNF404,ZNF432,ZNF441,ZNF443,ZNF480,ZNF483,ZNF496,ZNF501,ZNF527,ZNF528,ZNF540,ZNF543,ZNF554,ZNF557,ZNF558,ZNF560,ZNF563,ZNF565,ZNF567,ZNF568,ZNF569,ZNF572,ZNF578,ZNF585A,ZNF585B,ZNF586,ZNF589,ZNF600,ZNF611,ZNF613,ZNF616,ZNF623,ZNF624,ZNF625,ZNF627,ZNF649,ZNF655,ZNF660,ZNF664,ZNF665,ZNF672,ZNF674,ZNF677,ZNF678,ZNF680,ZNF681,ZNF696,ZNF697,ZNF699,ZNF70,ZNF701,ZNF713,ZNF738,ZNF74,ZNF761,ZNF77,ZNF774,ZNF787,ZNF791,ZNF793,ZNF799,ZNF80,ZNF805,ZNF808,ZNF81,ZNF823,ZNF829,ZNF835,ZNF836,ZNF84,ZNF841,ZNF879,ZNF892,ZSCAN2
DFAM3	93	82	50	CDC42,IFT27,LOC101128843,LOC101133567,LOC101142457,LOC101146140,LOC101147656,LOC109024738,LOC115930603,LOC129523468,LOC129523511,LOC129532216,LOC134756389,RAB10,RAB11A,RAB11B,RAB12,RAB13,RAB14,RAB15,RAB17,RAB18,RAB19,RAB1A,RAB1B,RAB20,RAB21,RAB22A,RAB23,RAB24,RAB25,RAB26,RAB27A,RAB27B,RAB28,RAB29,RAB2A,RAB2B,RAB30,RAB31,RAB32,RAB33A,RAB33B,RAB34,RAB36,RAB37,RAB38,RAB39A,RAB39B,RAB3A,RAB3B,RAB3C,RAB3D,RAB40A,RAB40B,RAB40C,RAB41,RAB42,RAB43,RAB4A,RAB4B,RAB5A,RAB5B,RAB5C,RAB6A,RAB6B,RAB6D,RAB7A,RAB7B,RAB8A,RAB8B,RAB9A,RAB9B,RABL2A,RABL2B,RAC1,RAC2,RAC3,RAN,RHOA,RHOB,RHOC,RHOD,RHOF,RHOG,RHOH,RHOJ,RHOQ,RHOU,RHOV,RND1,RND2,RND3
DFAM4	74	19	8	BFSP2,DES,GFAP,GHAA,INA,KRT1,KRT10,KRT12,KRT13,KRT15,KRT16,KRT18,KRT19,KRT2,KRT20,KRT23,KRT24,KRT25,KRT26,KRT27,KRT28,KRT3,KRT31,KRT32,KRT34,KRT35,KRT36,KRT37,KRT38,KRT39,KRT4,KRT40,KRT5,KRT6A,KRT6C,KRT7,KRT71,KRT72,KRT74,KRT75,KRT76,KRT77,KRT78,KRT79,KRT8,KRT80,KRT82,KRT84,KRT9,LOC101124577,LOC101126119,LOC101126813,LOC101132703,LOC101132977,LOC101134688,LOC101136203,LOC101136574,LOC101136938,LOC101137664,LOC101145065,LOC101149133,LOC101149792,LOC101151260,LOC101152583,LOC101154074,LOC109026842,LOC109029034,LOC109029062,LOC115930137,LOC115932656,NEFL,NEFM,PRPH,VIM
DFAM5	64	31	2	ACR,CELA1,CFD,CTRL,F10,F2,F7,F9,GZMA,GZMK,HPN,KLK1,KLK14,KLK15,KLK3,KLK4,KLK5,KLK6,KLK7,KLK9,LOC101130048,LOC101134917,LOC101137143,LOC101137272,LOC101139142,LOC101141122,LOC101141984,LOC101143084,LOC101147134,LOC115930162,LOC115930425,LOC115935863,LOC129527516,LOC129527753,LOC134758959,PROC,PRSS2,PRSS21,PRSS22,PRSS27,PRSS3,PRSS33,PRSS38,PRSS41,PRSS42P,PRSS45P,PRSS46P,PRSS47P,PRSS48,PRSS50,PRSS55,PRSS8,TMPRSS11A,TMPRSS11B,TMPRSS11D,TMPRSS11E,TMPRSS11F,TMPRSS12,TMPRSS13,TMPRSS2,TMPRSS3,TMPRSS4,TMPRSS5,TPSG1
DFAM6	47	12	1	LOC101124648,LOC101136188,LOC101144932,LOC101146296,LOC101147007,LOC101148271,LOC101148643,LOC109025131,LOC109027802,LOC115930148,LOC115930151,LOC115933023,LOC115934622,LOC115936298,LOC115936299,LOC129523553,LOC129523684,LOC129523685,LOC129523687,LOC129523855,LOC129523876,LOC129523896,LOC129524261,LOC129525556,LOC129527979,LOC129529231,LOC129530307,LOC129532621,LOC129533126,LOC129533127,LOC129533402,LOC129533569,LOC129534177,LOC129534554,LOC129534780,LOC129534781,LOC134756357,LOC134756440,LOC134756800,LOC134758127,LOC134758128,LOC134758129,LOC134758136,LOC134758137,LOC134758407,LOC134758802,LOC134758922
DFAM7	47	0	0	LHB,LOC101123748,LOC101124600,LOC101154318,LOC109024055,LOC129526101,LOC129526102,LOC129526103,LOC129526104,LOC129526109,LOC129526113,LOC129526120,LOC129526121,LOC129526127,LOC129526131,LOC129526152,LOC129526155,LOC129526156,LOC129526157,LOC129526203,LOC129526207,LOC129526208,LOC129526209,LOC129526210,LOC129528600,LOC129528601,LOC129528604,LOC129528606,LOC129528608,LOC129528610,LOC129528611,LOC129528613,LOC129528614,LOC129528615,LOC129528616,LOC129528617,LOC129528618,LOC129528619,LOC129528620,LOC129528621,LOC129528622,LOC129528623,LOC129528624,LOC129528625,LOC134756380,LOC134757023,LOC134757024
DFAM8	46	42	31	CDK1,CDK10,CDK14,CDK15,CDK16,CDK17,CDK18,CDK19,CDK2,CDK20,CDK3,CDK4,CDK5,CDK6,CDK7,CDK8,CSNK2A1,CSNK2A2,GSK3A,GSK3B,LOC101151351,LOC101154090,LOC115932829,LOC115936007,MAP2K1,MAP2K2,MAP2K3,MAP2K4,MAP2K5,MAP2K6,MAP2K7,MAPK1,MAPK10,MAPK11,MAPK12,MAPK13,MAPK14,MAPK15,MAPK3,MAPK4,MAPK6,MAPK8,MAPK9,NLK,OXSR1,STK39
DFAM9	45	26	13	ACKR2,ACKR4,AGTR1,APLNR,CCR10,CCR4,CCR6,CCR7,CCR9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6,CYSLTR1,CYSLTR2,GALR1,GALR2,GALR3,GPR17,GPR183,KISS1R,LTB4R2,MCHR1,MCHR2,NPBWR2,OPRD1,OPRK1,OPRL1,OPRM1,OXGR1,P2RY1,P2RY11,P2RY2,P2RY4,P2RY6,QRFPR,RXFP3,RXFP4,SSTR1,SSTR2,SSTR3,SSTR4,SSTR5
