gene_a	gene_b
CHM13_G0000002	CHM13_G0020115
CHM13_G0000002	CHM13_G0041007
CHM13_G0000002	CHM13_G0046620
CHM13_G0000002	CHM13_G0049689
CHM13_G0000002	LOFF_G0000400
CHM13_G0000002	LOFF_G0001395
CHM13_G0000003	CHM13_G0007793
CHM13_G0000003	CHM13_G0007794
CHM13_G0000003	CHM13_G0007795
CHM13_G0000003	CHM13_G0022670
CHM13_G0000003	CHM13_G0022678
CHM13_G0000003	CHM13_G0022679
CHM13_G0000003	CHM13_G0022680
CHM13_G0000003	CHM13_G0026975
CHM13_G0000003	CHM13_G0026976
CHM13_G0000003	CHM13_G0034150
CHM13_G0000003	CHM13_G0034152
CHM13_G0000003	CHM13_G0034153
CHM13_G0000003	CHM13_G0035608
CHM13_G0000003	CHM13_G0035609
CHM13_G0000003	CHM13_G0041005
CHM13_G0000003	CHM13_G0041006
CHM13_G0000003	CHM13_G0049688
CHM13_G0000003	CHM13_G0057493
CHM13_G0000003	LOFF_G0001999
CHM13_G0000003	LOFF_G0002252
CHM13_G0000003	LOFF_G0002253
CHM13_G0000003	LOFF_G0002281
CHM13_G0000003	LOFF_G0002282
CHM13_G0000003	LOFF_G0002898
CHM13_G0000003	LOFF_G0002899
CHM13_G0000003	LOFF_G0002900
CHM13_G0000004	CHM13_G0007793
CHM13_G0000004	CHM13_G0007795
CHM13_G0000004	CHM13_G0022678
CHM13_G0000004	CHM13_G0022679
CHM13_G0000004	CHM13_G0022680
CHM13_G0000004	CHM13_G0026975
CHM13_G0000004	CHM13_G0026976
CHM13_G0000004	CHM13_G0035608
CHM13_G0000004	CHM13_G0035609
CHM13_G0000004	CHM13_G0041005
CHM13_G0000004	LOFF_G0001999
CHM13_G0000004	LOFF_G0002252
CHM13_G0000004	LOFF_G0002253
CHM13_G0000004	LOFF_G0002282
CHM13_G0000004	LOFF_G0002898
CHM13_G0000004	LOFF_G0002899
CHM13_G0000005	CHM13_G0007796
CHM13_G0000005	CHM13_G0007799
CHM13_G0000005	CHM13_G0022670
CHM13_G0000005	CHM13_G0022673
CHM13_G0000005	CHM13_G0022676
CHM13_G0000005	CHM13_G0022677
CHM13_G0000005	CHM13_G0026977
CHM13_G0000005	CHM13_G0026979
CHM13_G0000005	CHM13_G0026980
CHM13_G0000005	CHM13_G0041002
CHM13_G0000005	CHM13_G0041003
CHM13_G0000005	CHM13_G0046617
CHM13_G0000005	CHM13_G0046619
CHM13_G0000005	CHM13_G0057492
CHM13_G0000005	LOFF_G0000403
CHM13_G0000005	LOFF_G0001567
CHM13_G0000005	LOFF_G0002250
CHM13_G0000005	LOFF_G0002284
CHM13_G0000005	LOFF_G0002285
CHM13_G0000005	LOFF_G0002289
CHM13_G0000005	LOFF_G0002291
CHM13_G0000005	LOFF_G0002892
CHM13_G0000005	LOFF_G0002895
CHM13_G0000005	LOFF_G0002897
CHM13_G0000006	CHM13_G0007796
CHM13_G0000006	CHM13_G0022670
CHM13_G0000006	CHM13_G0026979
CHM13_G0000006	CHM13_G0041002
CHM13_G0000006	CHM13_G0046619
CHM13_G0000006	LOFF_G0002285
CHM13_G0000006	LOFF_G0002289
CHM13_G0000006	LOFF_G0002892
CHM13_G0000010	CHM13_G0034150
CHM13_G0000013	CHM13_G0052712
CHM13_G0000412	CHM13_G0000439
CHM13_G0000413	CHM13_G0000437
CHM13_G0000414	CHM13_G0000436
CHM13_G0000416	LOFF_G0000019
CHM13_G0000419	LOFF_G0000017
CHM13_G0000420	CHM13_G0044573
CHM13_G0000420	LOFF_G0000016
CHM13_G0000427	CHM13_G0000433
CHM13_G0000429	CHM13_G0000432
CHM13_G0000434	LOFF_G0000013
CHM13_G0000529	CHM13_G0000533
CHM13_G0000529	CHM13_G0000544
CHM13_G0000529	LOFF_G0000021
CHM13_G0000530	LOFF_G0000025
CHM13_G0000530	LOFF_G0000030
CHM13_G0000530	LOFF_G0000039
CHM13_G0000531	CHM13_G0000537
CHM13_G0000531	LOFF_G0000031
CHM13_G0000539	LOFF_G0000029
CHM13_G0000539	LOFF_G0000031
CHM13_G0000540	LOFF_G0000030
CHM13_G0000540	LOFF_G0000039
CHM13_G0000543	LOFF_G0000027
CHM13_G0000657	CHM13_G0000660
CHM13_G0000742	CHM13_G0002747
CHM13_G0000777	CHM13_G0000779
CHM13_G0000777	CHM13_G0000784
CHM13_G0000780	CHM13_G0000784
CHM13_G0000847	LOFF_G0000182
CHM13_G0002423	CHM13_G0028249
CHM13_G0002438	CHM13_G0002440
CHM13_G0002438	CHM13_G0002442
CHM13_G0002438	LOFF_G0000050
CHM13_G0002438	LOFF_G0000052
CHM13_G0002438	LOFF_G0000053
CHM13_G0002438	LOFF_G0000055
CHM13_G0002439	CHM13_G0002441
CHM13_G0002439	CHM13_G0002443
CHM13_G0002439	LOFF_G0000049
CHM13_G0002439	LOFF_G0000051
CHM13_G0002439	LOFF_G0000054
CHM13_G0002439	LOFF_G0000056
CHM13_G0002440	LOFF_G0000052
CHM13_G0002440	LOFF_G0000055
CHM13_G0002441	LOFF_G0000049
CHM13_G0002441	LOFF_G0000051
CHM13_G0002441	LOFF_G0000054
CHM13_G0002441	LOFF_G0000056
CHM13_G0002442	LOFF_G0000050
CHM13_G0002442	LOFF_G0000053
CHM13_G0002443	LOFF_G0000049
CHM13_G0002443	LOFF_G0000054
CHM13_G0002471	CHM13_G0002474
CHM13_G0002471	CHM13_G0002477
CHM13_G0002473	CHM13_G0002475
CHM13_G0002474	CHM13_G0002477
CHM13_G0002791	CHM13_G0002804
CHM13_G0002791	CHM13_G0002805
CHM13_G0002791	CHM13_G0002939
CHM13_G0002791	CHM13_G0002941
CHM13_G0002791	CHM13_G0002962
CHM13_G0002791	CHM13_G0003041
CHM13_G0002794	CHM13_G0002945
CHM13_G0002794	CHM13_G0002960
CHM13_G0002794	CHM13_G0003037
CHM13_G0002795	CHM13_G0002801
CHM13_G0002795	CHM13_G0002947
CHM13_G0002795	CHM13_G0002957
CHM13_G0002797	CHM13_G0002810
CHM13_G0002797	CHM13_G0002896
CHM13_G0002797	CHM13_G0002956
CHM13_G0002797	CHM13_G0002964
CHM13_G0002797	CHM13_G0002967
CHM13_G0002797	CHM13_G0003045
CHM13_G0002797	CHM13_G0003047
CHM13_G0002799	CHM13_G0002805
CHM13_G0002799	CHM13_G0002877
CHM13_G0002799	CHM13_G0002905
CHM13_G0002799	CHM13_G0002906
CHM13_G0002799	CHM13_G0002953
CHM13_G0002799	CHM13_G0002962
CHM13_G0002801	CHM13_G0002947
CHM13_G0002801	CHM13_G0002957
CHM13_G0002804	CHM13_G0002939
CHM13_G0002804	CHM13_G0002941
CHM13_G0002804	CHM13_G0002962
CHM13_G0002804	CHM13_G0003041
CHM13_G0002805	CHM13_G0002877
CHM13_G0002805	CHM13_G0002939
CHM13_G0002805	CHM13_G0002941
CHM13_G0002805	CHM13_G0002953
CHM13_G0002805	CHM13_G0002962
CHM13_G0002805	CHM13_G0003041
CHM13_G0002805	CHM13_G0003043
CHM13_G0002808	CHM13_G0002872
CHM13_G0002808	CHM13_G0002884
CHM13_G0002808	CHM13_G0003040
CHM13_G0002808	CHM13_G0003044
CHM13_G0002810	CHM13_G0002854
CHM13_G0002810	CHM13_G0002858
CHM13_G0002810	CHM13_G0002896
CHM13_G0002810	CHM13_G0002956
CHM13_G0002810	CHM13_G0003045
CHM13_G0002812	CHM13_G0002855
CHM13_G0002812	CHM13_G0003045
