family_id	category	fam_class	bridge_dn	bridge_gene	chrom	start	n_exons	n_subfam	subfams	per_exon_best_subfamily	classification	best_single_colinear	best_single_neighbor	vg_would_split	bridge_kind	confidence
7	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.593		DISCONNECTED			0	-	-
9	multifam_GSTM2	CARDINALITY	__NO_BRIDGE__				15	1	med_cov=0.875;xcompid=None		CARDINALITY			0	-	-
12	ep_impure	CARDINALITY	__NO_BRIDGE__				2	1	med_cov=0.727;xcompid=None		CARDINALITY			0	-	-
13	multifam_GSTM2	CARDINALITY	__NO_BRIDGE__				3	1	med_cov=0.75;xcompid=None		CARDINALITY			0	-	-
17	ep_impure,hub_fam17	DISCONNECTED	__NO_BRIDGE__				20	18	med_cov=0.0;xcompid=0.636		DISCONNECTED			0	-	-
19	ep_impure	DOMAIN-SHARE-BRIDGE	DN_NC_086018.1_19844955_6	LOC101148457	NC_086018.1	19844955	9	3	LOC109025592(1);TRAF5(1);LOC101136036(1)	e1:- e2:- e3:- e4:- e5:- e6:- e7:- e8:- e9:LOC109025592(1)|TRAF5(1)|LOC101136036(1)(SHARED,0.766)	DOMAIN-SHARE	0.111	LOC109025592	0	-	-
20	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.618		DISCONNECTED			0	-	-
24	ep_impure	DISCONNECTED	__NO_BRIDGE__				4	3	med_cov=0.0;xcompid=0.629		DISCONNECTED			0	-	-
30	ep_impure	DISCONNECTED	__NO_BRIDGE__				3	2	med_cov=0.0;xcompid=0.566		DISCONNECTED			0	-	-
33	ep_impure	CARDINALITY	__NO_BRIDGE__				7	1	med_cov=0.917;xcompid=None		CARDINALITY			0	-	-
37	oversize_MPHOSPH8	RECOMBINANT-BRIDGE	DN_NC_073240.2_20728188_4	NA	NC_073240.2	20728188	4	2	LOC109027124(2);LOC101138261(1)	e1:LOC109027124(2)(0.996) e2:LOC101138261(1)(0.738) e3:LOC109027124(2)(0.996) e4:LOC109027124(2)(0.985)	RECOMBINANT	0.75	MPHOSPH8	0	DISTRIBUTED-MOSAIC	LOW
39	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.333;xcompid=None		DOMAIN-SHARE			0	-	-
42	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.5;xcompid=None		DOMAIN-SHARE			0	-	-
