source	chrom	read_name	start	end	strand	exons
rustle	NC_073243.2	m64076_221110_210557/112067380/ccs	104715323	104805800	-1	104715323-104717050,104799294-104799428,104804730-104804832,104805658-104805800
rustle	NC_073243.2	m64076_221110_210557/144246224/ccs	104746199	104805758	-1	104746199-104747948,104781500-104781595,104781735-104781928,104799294-104799428,104804730-104804832,104805658-104805758
rustle	NC_073243.2	m64076_221110_210557/53412545/ccs	104773938	104805754	-1	104773938-104776227,104781500-104781595,104781735-104781928,104799294-104799428,104804730-104804832,104805658-104805754
rustle	NC_073243.2	m64076_221110_210557/128124400/ccs	104773938	104805741	-1	104773938-104776227,104781735-104781928,104799294-104799428,104804730-104804832,104805658-104805741
rustle	NC_073243.2	m64076_221110_210557/174787069/ccs	104773938	104805784	-1	104773938-104776227,104781500-104781595,104781735-104781928,104799294-104799428,104804730-104804832,104805658-104805784
rustle	NC_073243.2	m64076_221110_210557/176685472/ccs	104773938	104789666	-1	104773938-104776227,104781500-104781595,104781735-104781928,104789524-104789666
rustle	NC_073243.2	m64076_221110_210557/116326608/ccs	104773939	104805757	-1	104773939-104776227,104781500-104781595,104781735-104781928,104799294-104799428,104804730-104804832,104805658-104805757
rustle	NC_073243.2	m64076_221110_210557/12320815/ccs	104773956	104805833	-1	104773956-104776227,104781500-104781595,104781735-104781928,104799294-104799428,104804730-104804832,104805658-104805833
rustle	NC_073243.2	m64076_221110_210557/69928176/ccs	104775044	104805724	-1	104775044-104776227,104781500-104781595,104781735-104781928,104799294-104799428,104804730-104804832,104805658-104805724
rustle	NC_073243.2	m64076_221110_210557/14484894/ccs	104775824	104805773	-1	104775824-104776227,104781500-104781595,104781735-104781928,104799294-104799428,104804730-104804832,104805658-104805773
rustle	NC_073243.2	m64076_221110_210557/131335301/ccs	104779073	104805816	-1	104779073-104781595,104781735-104781928,104799294-104799428,104804730-104804832,104805658-104805816
rustle	NC_073243.2	m64076_221110_210557/86050128/ccs	104785766	104805770	-1	104785766-104788158,104799294-104799428,104804730-104804832,104805658-104805770
rustle	NC_073243.2	m64076_221110_210557/32178491/ccs	104785768	104805741	-1	104785768-104788158,104799294-104799428,104804730-104804832,104805658-104805741
rustle	NC_073243.2	m64076_221110_210557/166068811/ccs	104786214	104805735	-1	104786214-104788158,104799294-104799428,104804730-104804832,104805658-104805735
rustle	NC_073243.2	m64076_221110_210557/164233958/ccs	104787163	104805817	-1	104787163-104788681,104799294-104799428,104804730-104804832,104805658-104805817
rustle	NC_073243.2	m64076_221110_210557/161876639/ccs	104787401	104805788	-1	104787401-104788158,104799294-104799428,104804730-104804832,104805658-104805788
rustle	NC_073243.2	m64076_221110_210557/135072595/ccs	104789699	104796137	1	104789699-104789918,104791224-104791352,104792167-104792196,104792466-104792516,104792605-104792698,104792781-104792887,104794130-104794188,104794518-104794659,104794954-104796137
rustle	NC_073243.2	m64076_221110_210557/16909748/ccs	104789770	104796272	1	104789770-104789918,104791224-104791352,104792167-104792196,104792466-104792516,104792605-104792698,104792781-104792887,104794130-104794188,104794518-104794659,104794954-104796272
rustle	NC_073243.2	m64076_221110_210557/62653182/ccs	104789773	104796276	1	104789773-104789918,104791224-104791352,104792167-104792196,104792466-104792516,104792605-104792698,104792781-104792887,104794130-104794188,104794518-104794659,104794954-104796276
rustle	NC_073243.2	m64076_221110_210557/117376300/ccs	104789773	104796136	1	104789773-104789918,104791224-104791352,104792466-104792516,104792605-104792698,104792781-104792887,104794130-104794188,104794518-104794659,104794954-104795426,104796033-104796136
rustle	NC_073243.2	m64076_221110_210557/172687673/ccs	104789773	104796136	1	104789773-104789918,104791224-104791352,104792466-104792516,104792605-104792698,104792781-104792887,104794130-104794188,104794518-104794659,104794954-104796136
rustle	NC_073243.2	m64076_221110_210557/1048585/ccs	104794521	104796272	1	104794521-104794659,104794954-104796272
rustle	NC_073243.2	m64076_221110_210557/67962912/ccs	104799144	104805758	-1	104799144-104799428,104804730-104804832,104805658-104805758
rustle	NC_073243.2	m64076_221110_210557/38404783/ccs	104799199	104805766	-1	104799199-104799428,104804730-104804832,104805658-104805766
rustle	NC_073243.2	m64076_221110_210557/132318299/ccs	104799199	104805817	-1	104799199-104799428,104804730-104804832,104805658-104805817
