gene_a	gene_b	in_dna_loose	cls	core_recip	aln_frac	fold	residual	exon_ratio	intron_cos	njunc_min	block_ident	concentration	total_frac	ident_disp	expr_ratio	log_expr_diff	npsv_min	nsun_min	l4_present
ABCA10	ABCA8	0	truthbar	0.1809	0.0000	3	0	0.9744	0.9936	3.6376	0.0000	0.0000	0.0000	0.0000	0.0074	4.6840	NA	NA	0
ABCA10	ABCA9	0	truthbar	0.3553	0.0000	3	0	0.9744	0.9880	3.6376	0.0000	0.0000	0.0000	0.0000	0.1429	1.7579	NA	NA	0
ABCA13	ITSN1	0	genuine	0.1409	0.1400	1	0	0.5333	0.9771	2.0794	0.9451	1.0000	0.1400	0.0350	0.5000	0.5596	NA	NA	0
ABCA13	LOC101150644	0	genuine	0.1360	0.0000	1	0	0.2000	0.7487	1.0986	0.0000	0.0000	0.0000	0.0000	0.7500	0.2231	NA	NA	0
ABCA13	LOC129532904	0	genuine	0.1346	0.0000	1	0	0.2000	0.8959	1.0986	0.0000	0.0000	0.0000	0.0000	0.2727	1.0986	NA	NA	0
ABCA8	ABCA9	0	truthbar	0.4182	0.1727	3	0	1.0000	0.9848	3.6636	0.9119	1.0000	0.1727	0.0492	0.0519	2.9261	NA	NA	0
ABCD1	LOC129526391	1	TP	0.4426	0.8100	2	0	0.7000	0.9320	1.9459	0.9281	1.0000	0.8100	0.0313	0.0300	3.3574	NA	NA	0
ABCD1	LOC129526471	1	TP	0.3255	0.8083	2	0	0.7000	0.9029	1.9459	0.9270	1.0000	0.8083	0.0318	0.0350	3.2239	NA	NA	0
ABCD1	LOC129531453	1	TP	0.3224	0.8056	2	0	0.7000	0.9202	1.9459	0.9216	1.0000	0.8056	0.0361	0.0400	3.1061	NA	NA	0
ABITRAM	CTNNAL1	0	genuine	0.7593	0.7599	3	0	0.3158	0.8169	1.7918	1.0000	1.0000	0.7599	0.0000	0.0469	3.0517	NA	NA	0
ACADL	C3H4orf36	0	genuine	0.2241	0.0000	0	0	0.3636	0.7043	1.3863	0.0000	0.0000	0.0000	0.0000	0.1250	1.8871	NA	NA	0
ACADL	SPC25	0	genuine	0.1610	0.0000	0	0	0.6364	0.7869	1.9459	0.0000	0.0000	0.0000	0.0000	0.2500	1.2993	NA	NA	0
ACAT2	TCP1	0	genuine	0.1573	0.1576	1	0	0.7500	0.9743	2.1972	1.0000	1.0000	0.1576	0.0000	0.1551	1.8589	NA	NA	0
ACO2	POLR3H	0	genuine	0.2132	0.0000	3	0	0.3333	0.9854	1.7918	0.0000	0.0000	0.0000	0.0000	0.1309	2.0225	NA	NA	0
ACOT6	CDKN2AIPNL	0	genuine	0.1320	0.0000	3	0	0.6667	0.9720	0.6931	0.0000	0.0000	0.0000	0.0000	0.3030	1.1285	NA	NA	0
