gene_a	gene_b	core_recip	compara
ZNF665	ZNF197	0.132	not
ZNF304	ZNF548	0.149	paralog
ZNF30	OSBPL10	0.166	not
ZNF506	ZNF83	0.176	paralog
ZNF34	ZNF16	0.175	not
ZNF184	ZNF304	0.134	not
ZNF484	ZNF569	0.189	not
ABCA10	ABCA8	0.181	paralog
ZNF485	ZNF502	0.179	not
ZNF519	ZNF566	0.164	not
ZNF300	ZKSCAN7	0.164	not
CTU2	PIEZO1	0.193	not
ZNF239	ZNF224	0.135	paralog
ZSCAN21	ZNF394	0.142	paralog
ZNF780A	ZNF415	0.183	paralog
ZNF564	ZNF30	0.174	not
ZNF267	ZNF766	0.195	not
ZNF10	ZNF334	0.196	not
ZNF519	ZNF566	0.135	not
ZFP3	ZNF780A	0.148	paralog
ZNF16	ZNF121	0.190	paralog
ZNF527	ZNF616	0.165	not
ZNF3	ZNF560	0.138	not
ZNF629	ZNF74	0.145	paralog
ZNF23	ZNF780B	0.179	paralog
THNSL1	SPC25	0.165	not
ZNF354A	ZNF569	0.181	not
AMPD2	AMPD3	0.165	paralog
ZNF461	ZNF583	0.169	not
ZNF605	ZNF547	0.134	not
ZNF546	ZNF577	0.191	paralog
ZFP62	ZNF195	0.167	not
ZNF585B	ZNF543	0.140	paralog
ZNF879	ZNF578	0.133	not
ZFP1	ZNF813	0.193	not
ZNF354A	ZFP90	0.165	not
ZNF420	ZNF600	0.185	not
ZFP2	ZNF583	0.171	not
WDR64	SNX14	0.152	not
ZNF487	ZNF883	0.151	not
ZNF892	ZNF594	0.167	not
ZNF487	ZNF461	0.186	not
ZNF595	ZNF267	0.184	paralog
ZNF721	ZNF723	0.154	not
ZNF568	ZNF551	0.144	not
ZFP2	ZNF565	0.199	paralog
ZFP82	ZNF582	0.197	not
ZNF267	ZNF888	0.137	not
ZNF568	ZNF41	0.135	paralog
ZNF519	ZNF682	0.200	paralog
ZNF273	ZNF836	0.155	not
ZNF582	ZNF197	0.171	not
TERF2IP	SMIM26	0.196	not
ZNF251	ZNF235	0.183	paralog
ZNF699	ZNF426	0.185	not
ZNF721	ZNF30	0.137	not
SEM1	THNSL1	0.172	not
ZNF354B	ZFP2	0.179	paralog
ZNF571	ZNF573	0.137	paralog
ZNF594	ZNF35	0.151	not
ZNF426	ZNF121	0.165	not
ZNF594	ZNF30	0.145	not
DCP1B	SLC11A2	0.136	not
ZNF699	ZNF180	0.148	not
ZNF124	ZNF563	0.174	not
ZNF234	ZNF180	0.149	not
ZNF594	ZNF132	0.137	not
ZNF415	ZNF619	0.148	not
ZNF429	ZNF471	0.144	paralog
LIMK1	LIMK2	0.155	paralog
ACADL	SPC25	0.161	not
ZNF260	ZNF813	0.137	not
ZNF546	ZNF197	0.148	paralog
ZNF140	ZNF883	0.163	paralog
ZNF506	ZNF626	0.178	not
ZNF519	ZFP82	0.156	paralog
ZNF585B	ZKSCAN7	0.183	not
ZNF91	ZNF675	0.173	not
ZNF197	ZNF717	0.192	paralog
ZNF721	ZNF680	0.150	not
ZFP69B	ZNF519	0.151	not
ZNF141	ZNF736	0.159	paralog
ZNF487	ZKSCAN7	0.145	not
ZSCAN9	ZNF197	0.144	not
ZNF175	ZNF81	0.193	paralog
ZNF527	ZNF480	0.174	not
ZNF519	ZNF766	0.162	not
ZNF768	ZNF74	0.165	not
ZNF835	ZNF74	0.183	paralog
ZNF394	ZNF551	0.161	not
ZNF124	ZNF627	0.167	not
ZNF16	ZNF268	0.153	paralog
ZNF607	ZNF45	0.160	paralog
ZNF225	ZNF112	0.146	paralog
ZNF678	ZNF528	0.146	paralog
ZNF331	ZNF197	0.148	paralog
ZNF230	ZNF225	0.158	not
ZNF721	ZNF519	0.135	not
INTS6L	SAGE1	0.181	paralog
ZFP62	ZNF26	0.169	not
ZNF778	ZNF585B	0.167	not
SPC25	LRFN5	0.135	not
GBP4	GBP3	0.146	paralog
ZNF436	ZFP37	0.199	not
ZNF780B	ZNF182	0.169	paralog
ZNF16	ZNF568	0.131	paralog
ZNF157	ZNF197	0.190	paralog
ZNF432	ZNF502	0.192	paralog
ZFP62	ZNF594	0.184	not
ZNF487	ZNF84	0.150	not
ZFP62	ZSCAN16	0.141	not
ZFP82	ZFP28	0.150	paralog
ZNF79	ZNF347	0.169	not
ZNF888	OSBPL10	0.173	not
ZNF443	ZNF14	0.154	paralog
ZNF394	ZSCAN2	0.131	not
ZNF84	ZNF585A	0.146	not
ZNF26	ZNF121	0.133	paralog
ZNF181	ZNF674	0.131	not
ZNF527	ZNF571	0.184	not
ZNF506	ZNF45	0.178	paralog
ZFP90	ZNF420	0.160	not
ZNF782	ZNF157	0.185	paralog
ZNF681	ZNF260	0.133	paralog
ZNF780B	ZNF347	0.176	not
DLD	MMP24OS	0.196	not
ZNF16	ZNF544	0.168	paralog
THNSL1	MMP24OS	0.159	not
ZNF420	ZNF329	0.157	not
ZNF484	ZNF567	0.198	not
DFFB	PRKAR2A	0.151	not
ZNF33B	ZNF23	0.178	paralog
ZNF528	ZNF665	0.198	not
ZNF23	ZNF416	0.176	not
ZFP62	ZNF578	0.137	not
ZNF629	ZNF835	0.131	paralog
ZNF429	ZNF616	0.183	paralog
ZNF224	ZNF256	0.150	not
ZNF594	ZNF681	0.134	not
ZNF768	ZNF74	0.146	not
ZNF835	ZNF74	0.147	paralog
ZNF836	ZNF471	0.182	paralog
ZNF782	ZNF197	0.197	paralog
ZNF514	ZNF418	0.167	not
ZNF91	ZNF665	0.169	paralog
ZNF841	ZNF528	0.169	paralog
ZNF879	ZNF347	0.142	not
ZNF680	ZNF91	0.191	not
ZNF519	ZNF267	0.152	paralog
ZNF239	ZNF224	0.141	paralog
ZNF596	ZNF235	0.137	not
ZNF558	ZNF260	0.153	not
CAPS2	RAPH1	0.183	not
ZNF829	ZNF578	0.136	not
ZNF519	ZNF267	0.144	paralog
ZNF566	ZNF546	0.195	not
ZNF506	ZNF382	0.149	not
ZNF232	ZNF302	0.130	not
ZNF721	ZNF736	0.193	not
ZNF680	ZNF92	0.194	paralog
ZNF560	ZNF568	0.141	not
ZNF699	ZNF30	0.183	paralog
ZNF678	ZNF695	0.177	paralog
ZNF585A	ZNF613	0.170	not
ZNF254	ZNF600	0.187	paralog
ZNF519	ZNF546	0.185	paralog
ZNF26	ZNF805	0.147	not
