case	source_id	target_id	relation	layer	identity	coverage	orientation	source_interval	target_interval	evidence	direction_status
GOLGA6_8	L~chr15_20096768_20102630	L~chr15_20841196_20854572	RNA_HOMOLOGY	RNA	0.9956	0.7955	+	936-4601	1603-5269	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	RB~GOLGA6_8~0	CONTAINS	RNA	0.9956	0.7955	+	936-4601	1603-5269	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~0	CONTAINS	RNA	0.9956	0.7955	+	1603-5269	936-4601	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	L~chr15_20972619_20985986	RNA_HOMOLOGY	RNA	0.9954	0.7955	+	936-4601	1603-5267	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	RB~GOLGA6_8~1	CONTAINS	RNA	0.9954	0.7955	+	936-4601	1603-5267	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~1	CONTAINS	RNA	0.9954	0.7955	+	1603-5267	936-4601	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	L~chr15_26121347_26134747	RNA_HOMOLOGY	RNA	0.9916	0.7968	+	936-4607	1612-5283	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	RB~GOLGA6_8~2	CONTAINS	RNA	0.9916	0.7968	+	936-4607	1612-5283	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~2	CONTAINS	RNA	0.9916	0.7968	+	1612-5283	936-4607	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	L~chr15_26296281_26309739	RNA_HOMOLOGY	RNA	0.9916	0.7968	+	936-4607	1603-5274	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	RB~GOLGA6_8~3	CONTAINS	RNA	0.9916	0.7968	+	936-4607	1603-5274	minimap2_PAF	UNROOTED
