gene	gene_name	chrom	start	end	strand	n_introns	n_chain_reads	primary_frac	n_secondary	dom_sibling	nm_taxonomy	nm_anchor_G	nm_anchor_sibling	nm_anchor_ambiguous	nm_margin_median	gene_biotype	gene_desc	locus_rel	same_family
gene-LOC129526389	LOC129526389	NC_073238.2	23392847	23427012	+	13	3332	0.024	3251	gene-LRPAP1	expressed_real_copy	53	3208	9	-14.0	protein_coding	alpha-2-macroglobulin receptor-associated protein-like	trans	False
gene-LOC129523503	LOC129523503	NC_073236.2	30205487	30242923	+	16	2442	0.048	2326	gene-LRPAP1	expressed_real_copy	254	2154	19	-12	protein_coding	alpha-2-macroglobulin receptor-associated protein-like	trans	False
gene-LOC101124683	LOC101124683	NC_073239.2	35396743	35467198	+	32	1826	0.212	1439	gene-LOC115930071	expressed_real_copy	54	191	1466	-1.0	protein_coding	heterogeneous nuclear ribonucleoprotein C	tandem	True
gene-LOC101136480	LOC101136480	NC_073242.2	15726063	15788084	-	30	1430	0.11	1272	gene-LOC115933250	expressed_real_copy	151	1264	0	-31	protein_coding	BOS complex subunit NOMO1	distal	True
gene-LOC115932683	LOC115932683	NC_073240.2	21429950	21478500	+	25	943	0.19	764	gene-TUBGCP5	expressed_real_copy	167	753	21	-7	protein_coding	gamma-tubulin complex component 5-like	distal	False
gene-LOC134756368	LOC134756368	NC_073236.2	23070423	23086604	-	5	627	0.246	473	gene-LOC115932954	expressed_real_copy	155	467	0	-4.0	protein_coding	alpha-2-macroglobulin receptor-associated protein-like	trans	True
gene-LOC115932984	LOC115932984	NC_073224.2	130222432	130274152	-	38	587	0.201	469	gene-LOC101135585	expressed_real_copy	100	350	81	-7	protein_coding	neuroblastoma breakpoint family member 15	tandem	True
gene-LOC134756861	LOC134756861	NC_073224.2	117479304	117528942	+	35	583	0.238	444	gene-LOC101135585	expressed_real_copy	113	183	3	-17	protein_coding	putative neuroblastoma breakpoint family member 8	distal	True
gene-LOC115933235	LOC115933235	NC_073224.2	129352995	129435541	+	44	581	0.138	501	gene-LOC129525330	expressed_real_copy	75	433	38	-10.5	protein_coding	neuroblastoma breakpoint family member 12-like	distal	True
gene-LOC129525331	LOC129525331	NC_073224.2	125048458	125116132	-	46	576	0.17	478	gene-LOC134756861	expressed_real_copy	106	400	40	-8.0	protein_coding	neuroblastoma breakpoint family member 1-like	distal	True
gene-LOC101129903	LOC101129903	NC_073230.2	63523034	63555175	-	9	560	0.0	560	gene-FKBP9	expressed_real_copy	3	557	0	-43.0	protein_coding	peptidyl-prolyl cis-trans isomerase FKBP9-like	distal	False
gene-LOC129534728	LOC129534728	NC_073230.2	82009170	82278817	-	15	543	0.05	516	gene-LOC101126070	expressed_real_copy	25	515	0	-87.0	protein_coding	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1B	distal	True
gene-LOC115932779	LOC115932779	NC_073242.2	28850493	29158527	-	87	495	0.154	419	gene-SORL1	expressed_real_copy	75	411	8	-17.0	protein_coding	sortilin-related receptor-like	trans	False
gene-LOC129529234	LOC129529234	NC_073224.2	15670180	15679350	+	9	473	0.154	400	NC_073224.2:intergenic	expressed_real_copy	65	347	53	-12	protein_coding	bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7	no_sibling	False
gene-LOC115933039	LOC115933039	NC_073244.2	20932519	21157156	-	62	449	0.136	388	gene-SORL1	expressed_real_copy	62	378	9	-15	protein_coding	sortilin-related receptor-like	trans	False
gene-LOC109026769	LOC109026769	NC_073228.2	79883255	79972101	-	17	441	0.188	358	gene-CCDC144A	expressed_real_copy	73	351	0	-24.0	protein_coding	coiled-coil domain-containing protein 144A-like	distal	False
gene-LOC129533365	LOC129533365	NC_073228.2	81689163	81694307	-	10	439	0.144	376	gene-LOC115932994	expressed_real_copy	63	376	0	-75	lncRNA	uncharacterized LOC129533365	distal	True
gene-LOC129525599	LOC129525599	NC_073224.2	116802060	116847211	+	42	432	0.16	363	gene-LOC129525330	expressed_real_copy	37	230	0	-66	protein_coding	neuroblastoma breakpoint family member 10	distal	True
gene-LOC115932121	LOC115932121	NC_073247.2	166247326	166260939	-	9	411	0.063	385	gene-IKBKG	expressed_real_copy	77	2	322	0	protein_coding	NF-kappa-B essential modulator-like	tandem	False
