chrom	start	end	strand	family	n_copies	fsm	transcript_id
NC_073235.2	64733892	64785687	-	GCA	2	novel	RSTL.571.4
NC_073235.2	64733892	64785687	-	GCA	2	novel	RSTL.571.5
NC_073235.2	64785386	64834739	+	GCA	2	FSM	RSTL.130.5
NC_073235.2	65255268	65256052	+	GCA	2	novel	RSTL.131.1
NC_073235.2	80994877	81020229	+	LOC134756662	2	novel	RSTL.198.27
NC_073235.2	80994877	81062959	+	LOC134756662	2	novel	RSTL.198.22
NC_073235.2	80994877	81062959	+	LOC134756662	2	novel	RSTL.198.24
NC_073235.2	80994877	81072301	+	LOC134756662	2	novel	RSTL.198.25
NC_073235.2	80994877	81077057	+	LOC134756662	2	novel	RSTL.198.23
NC_073235.2	80994877	81108678	+	LOC134756662	2	novel	RSTL.198.28
NC_073235.2	80994877	81118989	+	LOC134756662	2	novel	RSTL.198.29
NC_073235.2	80997665	81007520	-	LOC134756662	2	novel	RSTL.630.1
NC_073235.2	80997665	81008241	-	LOC134756662	2	novel	RSTL.630.2
NC_073235.2	81022642	81025071	-	LOC134756662	2	novel	RSTL.632.1
NC_073235.2	81055361	81091420	+	LOC134756662	2	novel	RSTL.198.26
NC_073235.2	81062482	81076295	+	LOC134756662	2	novel	RSTL.198.30
NC_073235.2	81069204	81092709	+	LOC134756662	2	novel	RSTL.198.31
NC_073235.2	81155945	81167900	-	LOC134756662	2	novel	RSTL.635.2
NC_073235.2	109691431	110146997	-	CREB1	2	FSM	RSTL.723.9
NC_073235.2	109850092	110146997	-	CREB1	2	novel	RSTL.723.11
NC_073235.2	110147009	110195837	+	CREB1	2	novel	RSTL.295.8
NC_073235.2	110176654	110194184	+	CREB1	2	novel	RSTL.295.9
NC_073235.2	110198122	110241298	-	CREB1	2	novel	RSTL.725.9
NC_073235.2	110218746	110240683	-	CREB1	2	FSM	RSTL.725.10
NC_073235.2	110226526	110240509	-	CREB1	2	FSM	RSTL.725.11
NC_086018.1	37502973	37519156	+	LOC129529513	2	novel	RSTL.184.4
NC_086018.1	44160821	44229923	+	CDPF1	2	novel	RSTL.234.5
NC_086018.1	44250565	44259982	-	CDPF1	2	novel	RSTL.493.5
NC_086018.1	44251148	44259982	-	CDPF1	2	novel	RSTL.493.6
NC_086018.1	44251148	44259982	-	CDPF1	2	novel	RSTL.493.7
NC_086018.1	44251148	44259982	-	CDPF1	2	novel	RSTL.493.8
NC_086018.1	48564681	48580529	+	LOC129529456	2	novel	RSTL.253.2
NC_086018.1	48564970	48579229	+	LOC129529456	2	novel	RSTL.253.4
NC_086018.1	48564970	48580529	+	LOC129529456	2	novel	RSTL.253.3
NC_086018.1	48564970	48580529	+	LOC129529456	2	novel	RSTL.253.5
