haplotype	probe_id	role	annotation	target	target_start	target_end	orientation	qualifying_pairs	locus_hits_in_interval	left_identity	right_identity	left_coverage	right_coverage	left_mapq	right_mapq	left_records	right_records	status
MAT	SRC_GOLGA2	SOURCE_CONTEXT	GOLGA2	CM054595.2	126591215	126611466	+	1	1	0.9854	0.9818	0.9995	1.0000	60	60	1	1	TWO_SIDED_UNIQUE
MAT	SRC_ITSN2	SOURCE_CONTEXT	ITSN2	CM054594.2	120362382	120519836	-	1	1	0.9814	0.9784	0.9998	0.9920	60	60	1	2	TWO_SIDED_UNIQUE
MAT	FAM_000	CANDIDATE_MEMBER	.	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_001	CANDIDATE_MEMBER	.	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_002	CANDIDATE_MEMBER	.	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_003	CANDIDATE_MEMBER	.	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_004	CANDIDATE_MEMBER	LOC124907502	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_005	FAMILY_MEMBER	GOLGA6L2	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_006	FAMILY_MEMBER	GOLGA8F	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_007	FAMILY_MEMBER	GOLGA8G	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_008	FAMILY_MEMBER	GOLGA8T	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_009	FAMILY_MEMBER	GOLGA8O	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_010	FAMILY_MEMBER	GOLGA8A	CM054598.2	35872263	35881103	+	1	1	0.9829	0.9780	0.9999	0.9999	60	60	1	1	TWO_SIDED_UNIQUE
MAT	FAM_011	FAMILY_MEMBER	GOLGA8B	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_012	CANDIDATE_MEMBER	.	CM054598.2	77219721	77231391	+	1	1	0.9792	0.9800	0.9982	0.9999	60	60	2	1	TWO_SIDED_UNIQUE
MAT	FAM_013	FAMILY_MEMBER	GOLGA6L10	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_014	FAMILY_MEMBER	GOLGA6L9	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_015	FAMILY_MEMBER	GOLGA6L4	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_016	CANDIDATE_MEMBER	.	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
MAT	FAM_017	CANDIDATE_MEMBER	.	CM054601.2	100405729	100453155	-	1	2	0.9869	0.9842	0.9887	0.9991	60	60	3	1	TWO_SIDED_UNIQUE
PAT	SRC_GOLGA2	SOURCE_CONTEXT	GOLGA2	CM054571.2	124641300	124661563	+	1	1	0.9858	0.9817	0.9995	1.0000	60	60	1	1	TWO_SIDED_UNIQUE
PAT	SRC_ITSN2	SOURCE_CONTEXT	ITSN2	CM054570.2	115565517	115722939	-	1	1	0.9815	0.9786	0.9998	0.9920	60	60	1	2	TWO_SIDED_UNIQUE
PAT	FAM_000	CANDIDATE_MEMBER	.	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
PAT	FAM_001	CANDIDATE_MEMBER	.	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
PAT	FAM_002	CANDIDATE_MEMBER	.	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
PAT	FAM_003	CANDIDATE_MEMBER	.	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
PAT	FAM_004	CANDIDATE_MEMBER	LOC124907502	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
PAT	FAM_005	FAMILY_MEMBER	GOLGA6L2	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
PAT	FAM_006	FAMILY_MEMBER	GOLGA8F	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
PAT	FAM_007	FAMILY_MEMBER	GOLGA8G	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
PAT	FAM_008	FAMILY_MEMBER	GOLGA8T	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
PAT	FAM_009	FAMILY_MEMBER	GOLGA8O	.	.	.	.	0	0	.	.	.	.	.	.	.	.	NO_TWO_SIDED_SYNTENY
