chrom	start	end	span_bp	n_legs	legs	near_family	dist_to_nearest_member_bp	nearest_member_detected
chr1	16272278	16277825	5547	1	projection	ID_393	77745	Y
chr1	16278523	16283903	5380	1	expr-collapse	ID_393	71583	Y
chr1	16478340	16479683	1343	1	projection	ID_393	87512	Y
chr1	16560385	16565766	5381	1	expr-collapse	ID_393	3448	Y
chr1	103575079	103599747	24668	1	projection	ID_131	43012	Y
chr1	103599782	103607562	7780	1	projection	ID_131	26753	Y
chr1	120449518	120478614	29096	1	projection	ID_215	39092	Y
chr1	143815796	143832983	17187	1	expr-collapse	ID_22	45159	Y
chr1	145834600	145840160	5560	1	expr-collapse	ID_215	18259	N
chr1	148601552	148620972	19420	1	projection	ID_400	14350	Y
chr15	20812032	20814214	2182	1	projection	ID_113	28103	Y
chr15	20815859	20820620	4761	1	projection	ID_113	22987	Y
chr15	20972546	20985986	13440	1	projection	ID_116	27249	Y
chr15	21025273	21028497	3224	1	projection	ID_116	10593	Y
chr15	28174361	28187051	12690	1	projection	ID_68	7707	Y
chr15	32330974	32339850	8876	1	projection	ID_78	121997	Y
chr15	82064821	82086891	22070	1	expr-collapse	ID_324	12498	Y
chr15	82180375	82186125	5750	1	projection	ID_481	13200	N
chr15	82205094	82227154	22060	1	expr-collapse	ID_324	17698	Y
chr16	14938874	14953123	14249	1	projection	ID_154	159363	Y
chr16	80309670	80426376	116706	2	expr-collapse,projection	ID_154	158173	Y
chr17	37270848	37282718	11870	2	expr-collapse,projection	ID_209	8297	Y
chr17	37427145	37437961	10816	2	expr-collapse,projection	ID_222	17330	N
chr5	70456936	70462706	5770	1	projection	ID_163	5422	Y
chr5	70963730	71043224	79494	1	projection	ID_313	101321	N
chr5	181864358	181868568	4210	1	projection	ID_35	10819	N
chr5	181881697	181906746	25049	1	projection	ID_35	38577	N
chr7	74355307	74407500	52193	1	projection	ID_402	39432	N
chr7	76085482	76092920	7438	1	projection	ID_8	7218	Y
chr7	76486449	76491598	5149	1	projection	ID_207	21521	Y
chr7	76489130	76502937	13807	1	projection	ID_207	14511	Y
chr9	77863432	77881287	17855	1	projection	ID_104	66402	Y
chr9	77896718	77916227	19509	1	projection	ID_260	45538	N
chr9	77917188	77922776	5588	1	expr-collapse	ID_260	32028	N
chr9	77926044	77949112	23068	1	expr-collapse	ID_260	14432	N
chr9	79742505	79748351	5846	1	projection	ID_280	42241	Y
chr9	150545078	150568219	23141	1	projection	ID_35	40524	Y
