gene	locus	detected	recovered_by	cause	colour
GOLGA8CP	chr15:18474211-18487534	Y	RNA-split		#1e8e3e
GOLGA8EP	chr15:20099133-20109998	Y	RNA-split		#1e8e3e
GOLGA8IP	chr15:20278132-20289966	Y	RNA-split		#1e8e3e
GOLGA8DP	chr15:20841226-20854575	Y	RNA-split		#1e8e3e
GOLGA8S	chr15:21091024-21103533	Y	RNA-split		#1e8e3e
GOLGA8F	chr15:26121343-26134741	Y	RNA-split		#1e8e3e
GOLGA8G	chr15:26296346-26309751	Y	RNA-split		#1e8e3e
GOLGA8M	chr15:26478664-26515105	Y	RNA-split		#1e8e3e
GOLGA8J	chr15:27874771-27885220	Y	RNA-split		#1e8e3e
GOLGA8T	chr15:27926870-27937297	Y	RNA-split		#1e8e3e
GOLGA8R	chr15:28197010-28207436	Y	RNA-split		#1e8e3e
GOLGA8Q	chr15:28345327-28355752	Y	projection		#1e8e3e
GOLGA8H	chr15:28397319-28407743	Y	RNA-split		#1e8e3e
GOLGA8K	chr15:30189305-30199719	Y	projection		#1e8e3e
GOLGA8O	chr15:30238450-30252173	Y	RNA-split		#1e8e3e
GOLGA8N	chr15:30389923-30403785	Y	RNA-split		#1e8e3e
