member_1	member_2	identity	reciprocal_coverage	score	matches	alignment_length	retained
NPIPB2	NPIPA2	0.9595154212250449	0.32387616023942895	0.3107641703168858	15524	16179	False
NPIPB2	NPIPP1	0.7414472647012454	0.2929971082485693	0.21724190447627642	14109	19029	False
NPIPB2	NPIPA5	0.960196862503845	0.32462437564457747	0.31170330698619286	15608	16255	False
NPIPB2	NPIPA7	0.9569610022226712	0.29611130209702535	0.28336696842422954	14208	14847	False
NPIPB2	NPIPB6	0.9411835170100623	0.3319851974682008	0.3124589957484013	15714	16696	False
NPIPB2	NPIPB8	0.9592743428359867	0.32446259934076155	0.31124864675746505	15546	16206	False
NPIPB2	NPIPB7	0.9445148382794265	0.2964955208185881	0.2800444188965431	14163	14995	False
NPIPB2	NPIPB9	0.9474564127059948	0.33196497543022385	0.3145223447651536	15868	16748	False
NPIPB2	NPIPB10P	0.9573261435477873	0.21502092980930618	0.20584515751640256	10297	10756	False
NPIPB2	NPIPB11	0.9666010579407062	0.3259388081130816	0.31505279674603753	15715	16258	False
NPIPB2	NPIPB12	0.9681431109477424	0.3255343673535419	0.3151638551300633	15803	16323	False
NPIPB2	NPIPB14P	0.9602562507774599	0.3240783806191988	0.31119829073142247	15439	16078	False
NPIPB2	NPIPB15	0.9498045238760123	0.2846454065640735	0.27035749485508376	13605	14324	False
NPIPA2	NPIPP1	0.7497771952817824	0.8397579948141746	0.6296313940672255	14302	19075	False
NPIPA2	NPIPA5	0.976824034334764	0.9981631364445209	0.9750297418659783	17070	17475	True
NPIPA2	NPIPA7	0.9787333959479404	0.8520887352348027	0.8339677014853438	14589	14906	True
NPIPA2	NPIPB6	0.946712717404712	0.7641518500720808	0.7234322744915777	15350	16214	False
NPIPA2	NPIPB8	0.9551005304058221	0.7654850390699447	0.7311151668334256	15486	16214	False
NPIPA2	NPIPB7	0.9538855088495575	0.8214347450302506	0.7835546997498871	13797	14464	False
NPIPA2	NPIPB9	0.9546601045832052	0.7666777613998383	0.7319166718795873	15518	16255	False
NPIPA2	NPIPB10P	0.9635084633985491	0.7779314318640161	0.7495435185447313	13149	13647	False
NPIPA2	NPIPB11	0.9573088685015291	0.7211645637344509	0.6903772325120261	15652	16350	False
NPIPA2	NPIPB12	0.8236535912415927	0.8924322172586139	0.7350550006847546	16777	20369	False
NPIPA2	NPIPB14P	0.9580159762214379	0.8063751450042871	0.7725202717419856	15471	16149	False
NPIPA2	NPIPB15	0.9628162816281628	0.7778738115816768	0.7489495708429962	13128	13635	False
NPIPP1	NPIPA5	0.7533924843423799	0.8419723322426956	0.6343356271358722	14435	19160	False
NPIPP1	NPIPA7	0.7525031289111389	0.9871769050016784	0.7428537098025771	14430	19176	False
NPIPP1	NPIPB6	0.7228554919367547	0.6835655934646805	0.49411914333495127	13761	19037	False
NPIPP1	NPIPB8	0.7296446007664444	0.6858681151133982	0.5004399670303492	13899	19049	False
NPIPP1	NPIPB7	0.7270906887284607	0.9658424846729098	0.7022550773840337	13798	18977	False
NPIPP1	NPIPB9	0.7284105786855197	0.6869383291331843	0.5003731458451668	13909	19095	False
NPIPP1	NPIPB10P	0.7244524550767382	0.951196523014086	0.6890966563580116	13264	18309	False
NPIPP1	NPIPB11	0.7373895771261304	0.6479557715457667	0.4777958323765684	14107	19131	False
NPIPP1	NPIPB12	0.7313123997723863	0.652306603564952	0.4770399076404596	14137	19331	False
NPIPP1	NPIPB14P	0.7331883750530335	0.7183638472789631	0.5266960218833084	13825	18856	False
NPIPP1	NPIPB15	0.7270616847225293	0.9408284023668639	0.6840402832596577	13154	18092	False
NPIPA5	NPIPA7	0.9786096256684492	0.8528787096033523	0.8346353147455267	14640	14960	True
NPIPA5	NPIPB6	0.8208783513405362	0.9433445458913984	0.7743711155774179	16411	19992	False
NPIPA5	NPIPB8	0.8277910924705413	0.9449209071850582	0.7821971100569742	16579	20028	False
NPIPA5	NPIPB7	0.9478571919928458	0.8215372251879915	0.7786999673842839	13779	14537	False
NPIPA5	NPIPB9	0.8265901721127463	0.9438923493889972	0.7802121395373557	16569	20045	False
NPIPA5	NPIPB10P	0.9585673645050696	0.7781413236897997	0.7459008778618176	13141	13709	False
NPIPA5	NPIPB11	0.8335073328361919	0.8881358954924429	0.740267781447989	16766	20115	False
NPIPA5	NPIPB12	0.8275505684334858	0.890618780131806	0.7370320777556137	16815	20319	False
NPIPA5	NPIPB14P	0.8264454499748617	0.9835256299867975	0.8128302818362482	16438	19890	True
NPIPA5	NPIPB15	0.9576765907764156	0.7781413236897997	0.7452077300134947	13124	13704	False
NPIPA7	NPIPB6	0.94363525506402	0.6935607880826525	0.6544684111647766	13929	14761	False
NPIPA7	NPIPB8	0.9528838342810723	0.6957785401181628	0.6629961231182818	14076	14772	False
NPIPA7	NPIPB7	0.9496933360898628	0.9595166163141994	0.9112465363810889	13781	14511	True
NPIPA7	NPIPB9	0.9509248008640475	0.6968284912747849	0.6626314943018694	14087	14814	False
NPIPA7	NPIPB10P	0.9604676653270003	0.9088284659281638	0.8729003548527428	13144	13685	True
NPIPA7	NPIPB11	0.9560998460817774	0.6598600026751081	0.6308920469931921	14287	14943	False
NPIPA7	NPIPB12	0.9470277410832233	0.6627449245875536	0.6276378288465221	14338	15140	False
NPIPA7	NPIPB14P	0.9550892063709071	0.7279971755686689	0.6953022446541419	13972	14629	False
NPIPA7	NPIPB15	0.9600643651258045	0.9088284659281638	0.8725338241495815	13126	13672	True
NPIPB6	NPIPB8	0.9765962497032993	1.0	0.9765962497032993	20572	21065	True
NPIPB6	NPIPB7	0.9801386925200296	0.7021624219125421	0.6882165581500563	14558	14853	False
NPIPB6	NPIPB9	0.9853199676944273	0.9999519461797213	0.9852726193057827	20740	21049	True
NPIPB6	NPIPB10P	0.9761635309096053	0.6690052859202307	0.6530585621010824	13801	14138	False
NPIPB6	NPIPB11	0.9612156726423996	0.8895180346872352	0.8550186760394362	19356	20137	True
NPIPB6	NPIPB12	0.9495106869857345	0.9010128709805829	0.8555213501077622	19502	20539	True
NPIPB6	NPIPB14P	0.9556272690601049	0.9409899086977415	0.8992356166619401	18952	19832	True
NPIPB6	NPIPB15	0.9737914558740866	0.6736665064872658	0.6560106881258443	13859	14232	False
NPIPB8	NPIPB7	0.9849340866290018	0.7023060796645703	0.6917251971084185	14644	14868	False
NPIPB8	NPIPB9	0.9816752687153748	0.9999523537259386	0.9816284955464823	20732	21119	True
NPIPB8	NPIPB10P	0.9900730341062185	0.6693348580141033	0.6626903937070783	13963	14103	False
NPIPB8	NPIPB11	0.9674457843283212	0.8895180346872352	0.8605604727421791	19495	20151	True
NPIPB8	NPIPB12	0.9564414195430239	0.9010128709805829	0.8617660293472041	19674	20570	True
NPIPB8	NPIPB14P	0.9612344560237628	0.942586239756051	0.9060463714273918	19093	19863	True
NPIPB8	NPIPB15	0.9808827663761597	0.6733371450352582	0.6604648015260095	13956	14228	False
NPIPB7	NPIPB9	0.9972384993601401	0.7053397365793352	0.7033919404454528	14806	14847	False
NPIPB7	NPIPB10P	0.9862190812720848	0.9498753621235599	0.9367852069564861	13955	14150	True
NPIPB7	NPIPB11	0.9612773621501801	0.6340897944625262	0.6095361649872871	13877	14436	False
NPIPB7	NPIPB12	0.9446678023850085	0.6396125436772967	0.6042213760135171	13863	14675	False
NPIPB7	NPIPB14P	0.9594142259414226	0.7123619307005599	0.683450170333215	13758	14340	False
NPIPB7	NPIPB15	0.9855958403597527	0.9563430573334232	0.9425677392647503	14027	14232	True
NPIPB9	NPIPB10P	0.9868495475113123	0.6702962293756836	0.6614815306579321	13958	14144	False
NPIPB9	NPIPB11	0.9666650156025558	0.8895180346872352	0.859865964879691	19516	20189	True
NPIPB9	NPIPB12	0.9538857337022475	0.9010128709805829	0.8594633235104818	19651	20601	True
NPIPB9	NPIPB14P	0.9626088269337225	0.941562455422947	0.9063563306995185	19128	19871	True
NPIPB9	NPIPB15	0.9857333614449364	0.6748609195948837	0.6652329227800856	14026	14229	False
NPIPB10P	NPIPB11	0.9663405373831776	0.6036827321770921	0.583363095820956	13235	13696	False
NPIPB10P	NPIPB12	0.9523706741492194	0.6083418107833164	0.5793669004488639	13237	13899	False
NPIPB10P	NPIPB14P	0.9625641025641025	0.6797800978463711	0.65433191982443	13139	13650	False
NPIPB10P	NPIPB15	0.9831190846164712	0.9926796649538959	0.9759223235268595	13919	14158	True
NPIPB11	NPIPB12	0.9574204946996466	0.9857136538546597	0.9437424541057245	21676	22640	True
NPIPB11	NPIPB14P	0.9605004287948343	0.8785500913995274	0.843847739506987	19040	19823	True
NPIPB11	NPIPB15	0.9644099739054799	0.6088991930090508	0.5872284548409265	13305	13796	False
NPIPB12	NPIPB14P	0.9533	0.8809766022380467	0.83983499491353	19066	20000	True
NPIPB12	NPIPB15	0.9492505353319057	0.613472510946968	0.5823391094278177	13299	14010	False
NPIPB14P	NPIPB15	0.9653364404311098	0.6849750340444848	0.6612313611486812	13256	13732	False
