case	locus_id	path	path_status
GOLGA6_8	L~chr15_18484393_18487719	DB~GOLGA6_8~0:DNA@0,DB~GOLGA6_8~1:DNA@0,DB~GOLGA6_8~2:DNA@0,DB~GOLGA6_8~3:DNA@0,DB~GOLGA6_8~4:DNA@0,DB~GOLGA6_8~5:DNA@0,DB~GOLGA6_8~6:DNA@0,DB~GOLGA6_8~7:DNA@0,DB~GOLGA6_8~8:DNA@0,DB~GOLGA6_8~9:DNA@0,RB~GOLGA6_8~28:RNA@0,RB~GOLGA6_8~39:RNA@0,RB~GOLGA6_8~50:RNA@0,RB~GOLGA6_8~59:RNA@0,RB~GOLGA6_8~64:RNA@0,RB~GOLGA6_8~9:RNA@0,DB~GOLGA6_8~10:DNA@139,RB~GOLGA6_8~68:RNA@142,RB~GOLGA6_8~71:RNA@142,RB~GOLGA6_8~74:RNA@142,RB~GOLGA6_8~75:RNA@142	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
GOLGA6_8	L~chr15_20096768_20102630	DB~GOLGA6_8~12:DNA@1,DB~GOLGA6_8~13:DNA@1,DB~GOLGA6_8~14:DNA@1,DB~GOLGA6_8~15:DNA@1,DB~GOLGA6_8~11:DNA@4,DB~GOLGA6_8~16:DNA@4,RB~GOLGA6_8~0:RNA@936,RB~GOLGA6_8~1:RNA@936,RB~GOLGA6_8~2:RNA@936,RB~GOLGA6_8~3:RNA@936,RB~GOLGA6_8~4:RNA@1106,RB~GOLGA6_8~7:RNA@1315,RB~GOLGA6_8~8:RNA@1315,RB~GOLGA6_8~9:RNA@1460,RB~GOLGA6_8~5:RNA@1567,RB~GOLGA6_8~6:RNA@1567,DB~GOLGA6_8~17:DNA@2489,DB~GOLGA6_8~18:DNA@2577,DB~GOLGA6_8~19:DNA@2585,DB~GOLGA6_8~20:DNA@2585,DB~GOLGA6_8~21:DNA@2585,DB~GOLGA6_8~0:DNA@2715,DB~GOLGA6_8~22:DNA@2854	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
GOLGA6_8	L~chr15_20279485_20289994	DB~GOLGA6_8~27:DNA@0,DB~GOLGA6_8~23:DNA@4,DB~GOLGA6_8~24:DNA@4,DB~GOLGA6_8~25:DNA@4,DB~GOLGA6_8~26:DNA@4,RB~GOLGA6_8~10:RNA@4,RB~GOLGA6_8~11:RNA@4,RB~GOLGA6_8~12:RNA@4,RB~GOLGA6_8~13:RNA@4,DB~GOLGA6_8~28:DNA@23,RB~GOLGA6_8~14:RNA@23,RB~GOLGA6_8~16:RNA@313,RB~GOLGA6_8~15:RNA@675,DB~GOLGA6_8~29:DNA@1850,DB~GOLGA6_8~30:DNA@2898,DB~GOLGA6_8~11:DNA@7546	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
GOLGA6_8	L~chr15_20841196_20854572	DB~GOLGA6_8~31:DNA@0,DB~GOLGA6_8~32:DNA@0,DB~GOLGA6_8~33:DNA@0,RB~GOLGA6_8~17:RNA@0,RB~GOLGA6_8~18:RNA@0,RB~GOLGA6_8~19:RNA@0,DB~GOLGA6_8~23:DNA@7,DB~GOLGA6_8~34:DNA@7,RB~GOLGA6_8~10:RNA@7,RB~GOLGA6_8~27:RNA@7,DB~GOLGA6_8~35:DNA@26,RB~GOLGA6_8~20:RNA@26,RB~GOLGA6_8~21:RNA@750,RB~GOLGA6_8~22:RNA@845,RB~GOLGA6_8~24:RNA@1203,RB~GOLGA6_8~0:RNA@1603,RB~GOLGA6_8~26:RNA@1982,DB~GOLGA6_8~36:DNA@2091,RB~GOLGA6_8~28:RNA@2127,RB~GOLGA6_8~23:RNA@2269,RB~GOLGA6_8~25:RNA@2269,DB~GOLGA6_8~37:DNA@2612,DB~GOLGA6_8~12:DNA@7520,DB~GOLGA6_8~38:DNA@10104,DB~GOLGA6_8~1:DNA@10234,DB~GOLGA6_8~39:DNA@10373	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
GOLGA6_8	L~chr15_20972619_20985986	DB~GOLGA6_8~31:DNA@0,DB~GOLGA6_8~40:DNA@0,DB~GOLGA6_8~41:DNA@0,RB~GOLGA6_8~17:RNA@0,RB~GOLGA6_8~29:RNA@0,RB~GOLGA6_8~30:RNA@0,DB~GOLGA6_8~24:DNA@7,DB~GOLGA6_8~42:DNA@7,RB~GOLGA6_8~11:RNA@7,RB~GOLGA6_8~38:RNA@7,DB~GOLGA6_8~43:DNA@26,RB~GOLGA6_8~31:RNA@26,RB~GOLGA6_8~32:RNA@750,RB~GOLGA6_8~33:RNA@845,RB~GOLGA6_8~35:RNA@1203,RB~GOLGA6_8~1:RNA@1603,RB~GOLGA6_8~37:RNA@1982,DB~GOLGA6_8~44:DNA@2089,RB~GOLGA6_8~39:RNA@2127,RB~GOLGA6_8~34:RNA@2269,RB~GOLGA6_8~36:RNA@2269,DB~GOLGA6_8~45:DNA@2610,DB~GOLGA6_8~13:DNA@7513,DB~GOLGA6_8~46:DNA@10097,DB~GOLGA6_8~2:DNA@10227,DB~GOLGA6_8~47:DNA@10366	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
GOLGA6_8	L~chr15_21175968_21180517	DB~GOLGA6_8~48:DNA@0,DB~GOLGA6_8~49:DNA@0,RB~GOLGA6_8~40:RNA@0	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
GOLGA6_8	L~chr15_26121347_26134747	DB~GOLGA6_8~51:DNA@5,DB~GOLGA6_8~32:DNA@9,DB~GOLGA6_8~40:DNA@9,DB~GOLGA6_8~50:DNA@9,RB~GOLGA6_8~18:RNA@9,RB~GOLGA6_8~29:RNA@9,RB~GOLGA6_8~41:RNA@9,DB~GOLGA6_8~25:DNA@16,RB~GOLGA6_8~12:RNA@16,DB~GOLGA6_8~52:DNA@35,RB~GOLGA6_8~42:RNA@35,RB~GOLGA6_8~43:RNA@759,RB~GOLGA6_8~44:RNA@854,RB~GOLGA6_8~49:RNA@1039,RB~GOLGA6_8~2:RNA@1612,RB~GOLGA6_8~46:RNA@1991,RB~GOLGA6_8~48:RNA@1991,DB~GOLGA6_8~53:DNA@2098,RB~GOLGA6_8~50:RNA@2136,RB~GOLGA6_8~45:RNA@2278,RB~GOLGA6_8~47:RNA@2278,DB~GOLGA6_8~54:DNA@2619,DB~GOLGA6_8~14:DNA@7528,DB~GOLGA6_8~55:DNA@10123,DB~GOLGA6_8~3:DNA@10253,DB~GOLGA6_8~56:DNA@10392	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
GOLGA6_8	L~chr15_26296281_26309739	DB~GOLGA6_8~33:DNA@0,DB~GOLGA6_8~41:DNA@0,DB~GOLGA6_8~50:DNA@0,RB~GOLGA6_8~19:RNA@0,RB~GOLGA6_8~30:RNA@0,RB~GOLGA6_8~41:RNA@0,DB~GOLGA6_8~26:DNA@7,DB~GOLGA6_8~57:DNA@7,RB~GOLGA6_8~13:RNA@7,DB~GOLGA6_8~58:DNA@26,RB~GOLGA6_8~51:RNA@26,RB~GOLGA6_8~52:RNA@750,RB~GOLGA6_8~53:RNA@845,RB~GOLGA6_8~58:RNA@1030,RB~GOLGA6_8~3:RNA@1603,RB~GOLGA6_8~55:RNA@1982,DB~GOLGA6_8~59:DNA@2089,RB~GOLGA6_8~59:RNA@2127,RB~GOLGA6_8~57:RNA@2234,RB~GOLGA6_8~54:RNA@2269,RB~GOLGA6_8~56:RNA@2269,DB~GOLGA6_8~60:DNA@2610,DB~GOLGA6_8~15:DNA@7519,DB~GOLGA6_8~61:DNA@10114,DB~GOLGA6_8~4:DNA@10244,DB~GOLGA6_8~62:DNA@10383	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
GOLGA6_8	L~chr15_27926395_27929106	DB~GOLGA6_8~66:DNA@0,RB~GOLGA6_8~72:RNA@0,DB~GOLGA6_8~69:DNA@297,DB~GOLGA6_8~51:DNA@343,DB~GOLGA6_8~65:DNA@349,DB~GOLGA6_8~27:DNA@350,DB~GOLGA6_8~67:DNA@353,DB~GOLGA6_8~68:DNA@353,DB~GOLGA6_8~34:DNA@354,DB~GOLGA6_8~42:DNA@354,DB~GOLGA6_8~57:DNA@354,DB~GOLGA6_8~63:DNA@373,DB~GOLGA6_8~64:DNA@378,DB~GOLGA6_8~48:DNA@379,RB~GOLGA6_8~40:RNA@379	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
GOLGA6_8	L~chr15_30241447_30252178	DB~GOLGA6_8~28:DNA@0,DB~GOLGA6_8~35:DNA@0,DB~GOLGA6_8~43:DNA@0,DB~GOLGA6_8~52:DNA@0,DB~GOLGA6_8~58:DNA@0,DB~GOLGA6_8~63:DNA@0,RB~GOLGA6_8~14:RNA@0,RB~GOLGA6_8~20:RNA@0,RB~GOLGA6_8~31:RNA@0,RB~GOLGA6_8~42:RNA@0,RB~GOLGA6_8~51:RNA@0,RB~GOLGA6_8~60:RNA@329,RB~GOLGA6_8~61:RNA@411,DB~GOLGA6_8~70:DNA@1823,DB~GOLGA6_8~71:DNA@2858,DB~GOLGA6_8~16:DNA@7737	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
GOLGA6_8	L~chr15_32184800_32193680	DB~GOLGA6_8~29:DNA@0,DB~GOLGA6_8~70:DNA@0,DB~GOLGA6_8~36:DNA@507,DB~GOLGA6_8~44:DNA@507,DB~GOLGA6_8~53:DNA@507,DB~GOLGA6_8~59:DNA@507,RB~GOLGA6_8~63:RNA@507,DB~GOLGA6_8~72:DNA@1029,RB~GOLGA6_8~60:RNA@1239,RB~GOLGA6_8~62:RNA@1321,RB~GOLGA6_8~15:RNA@1361,RB~GOLGA6_8~21:RNA@1361,RB~GOLGA6_8~32:RNA@1361,RB~GOLGA6_8~43:RNA@1361,RB~GOLGA6_8~52:RNA@1361,RB~GOLGA6_8~4:RNA@2288,RB~GOLGA6_8~64:RNA@2645,DB~GOLGA6_8~17:DNA@6099,DB~GOLGA6_8~5:DNA@6330,DB~GOLGA6_8~73:DNA@6487	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
GOLGA6_8	L~chr15_32330973_32333374	DB~GOLGA6_8~73:DNA@1,DB~GOLGA6_8~10:DNA@331,DB~GOLGA6_8~22:DNA@331,DB~GOLGA6_8~39:DNA@331,DB~GOLGA6_8~47:DNA@331,DB~GOLGA6_8~56:DNA@331,DB~GOLGA6_8~62:DNA@331,DB~GOLGA6_8~77:DNA@809,DB~GOLGA6_8~80:DNA@809,DB~GOLGA6_8~82:DNA@809,DB~GOLGA6_8~83:DNA@809	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
GOLGA6_8	L~chr15_73646286_73657758	DB~GOLGA6_8~64:DNA@0,RB~GOLGA6_8~61:RNA@972,RB~GOLGA6_8~62:RNA@972,RB~GOLGA6_8~22:RNA@1107,RB~GOLGA6_8~33:RNA@1107,RB~GOLGA6_8~44:RNA@1107,RB~GOLGA6_8~53:RNA@1107,DB~GOLGA6_8~30:DNA@3628,DB~GOLGA6_8~37:DNA@3628,DB~GOLGA6_8~45:DNA@3628,DB~GOLGA6_8~54:DNA@3628,DB~GOLGA6_8~60:DNA@3628,DB~GOLGA6_8~71:DNA@3628,DB~GOLGA6_8~72:DNA@3628	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
