gene_a	chrom_a	gene_b	chrom_b	core_cov	core_ident	same_chrom
LOC115932699	NC_073242.2	PARN	NC_073242.2	0.829	1.0	1
CHML	NC_073224.2	OPN3	NC_073224.2	1.0	1.0	1
ZNF586	NC_073244.2	ZNF776	NC_073244.2	0.823	1.0	1
LOC129529856	NC_073247.2	LOC129529857	NC_073247.2	1.0	1.0	1
LOC115931062	NC_073242.2	LOC129527592	NC_073242.2	0.247	1.0	1
FSBP	NC_073231.2	RAD54B	NC_073231.2	0.909	1.0	1
LOC109023568	NC_073242.2	LOC115932744	NC_073242.2	0.615	1.0	1
LOC101129569	NC_086018.1	LOC115931970	NC_086018.1	1.0	1.0	1
LOC115936187	NC_073229.2	LOC129534074	NC_073229.2	0.73	1.0	1
LOC134756410	NC_073233.2	UBQLNL	NC_073233.2	1.0	1.0	1
LOC115932796	NC_073230.2	LOC115935268	NC_073230.2	1.0	1.0	1
LOC115934564	NC_073228.2	SRP19	NC_073228.2	1.0	1.0	1
CGGBP1	NC_086017.1	LOC101142721	NC_086017.1	1.0	1.0	1
BPNT2	NC_073231.2	LOC115935585	NC_073231.2	1.0	1.0	1
LOC101150259	NC_073237.2	LOC115935781	NC_073237.2	1.0	1.0	1
LOC129526106	NC_073236.2	LOC134756953	NC_073238.2	1.0	1.0	0
KLHDC4	NC_073242.2	LOC109023589	NC_073242.2	0.728	1.0	1
LOC101144987	NC_073247.2	LOC101146541	NC_073247.2	1.0	1.0	1
LOC101152321	NC_073224.2	LOC101153414	NC_073224.2	1.0	1.0	1
DAZ1	NC_073248.2	LOC129530216	NC_073248.2	0.685	1.0	1
LOC101135843	NC_086018.1	LOC129529618	NC_086018.1	1.0	1.0	1
EOLA1	NC_073247.2	EOLA2	NC_073247.2	1.0	1.0	1
LOC101151378	NC_073233.2	LOC129525445	NC_073233.2	0.779	1.0	1
DMRTC1B	NC_073247.2	LOC129530010	NC_073247.2	1.0	1.0	1
LOC129523516	NC_073247.2	TEX28	NC_073247.2	1.0	1.0	1
LOC129527071	NC_073240.2	LOC129527171	NC_073240.2	0.999	1.0	1
LOC129528410	NC_073241.2	LOC129528417	NC_073241.2	1.0	1.0	1
LOC129528410	NC_073241.2	LOC129528418	NC_073241.2	1.0	1.0	1
LOC129528410	NC_073241.2	LOC129528420	NC_073241.2	1.0	1.0	1
LOC129528417	NC_073241.2	LOC129528418	NC_073241.2	1.0	1.0	1
LOC129528417	NC_073241.2	LOC129528420	NC_073241.2	1.0	1.0	1
LOC129528418	NC_073241.2	LOC129528420	NC_073241.2	1.0	1.0	1
LOC129528410	NC_073241.2	LOC129528421	NC_073241.2	1.0	1.0	1
LOC129528417	NC_073241.2	LOC129528421	NC_073241.2	1.0	1.0	1
LOC129528418	NC_073241.2	LOC129528421	NC_073241.2	1.0	1.0	1
LOC129528420	NC_073241.2	LOC129528421	NC_073241.2	1.0	1.0	1
LOC129528410	NC_073241.2	LOC129528415	NC_073241.2	1.0	1.0	1
LOC129528415	NC_073241.2	LOC129528417	NC_073241.2	1.0	1.0	1
LOC129528415	NC_073241.2	LOC129528418	NC_073241.2	1.0	1.0	1
LOC129528415	NC_073241.2	LOC129528420	NC_073241.2	1.0	1.0	1
LOC129528421	NC_073241.2	LOC129528422	NC_073241.2	1.0	1.0	1
LOC129528410	NC_073241.2	LOC129528423	NC_073241.2	1.0	1.0	1
LOC129528417	NC_073241.2	LOC129528423	NC_073241.2	1.0	1.0	1
LOC129528418	NC_073241.2	LOC129528423	NC_073241.2	1.0	1.0	1
LOC129528420	NC_073241.2	LOC129528423	NC_073241.2	1.0	1.0	1
LOC129523560	NC_073241.2	SOCS6	NC_073241.2	1.0	1.0	1
LOC129528421	NC_073241.2	LOC129528423	NC_073241.2	1.0	1.0	1
LOC129526105	NC_073238.2	LOC134756755	NC_073236.2	1.0	1.0	0
LOC129528415	NC_073241.2	LOC129528423	NC_073241.2	1.0	1.0	1
LOC101145461	NC_073247.2	LOC129523474	NC_073247.2	1.0	1.0	1
LOC101136027	NC_086018.1	LOC129529528	NC_086018.1	1.0	1.0	1
CHTF8	NC_073242.2	DERPC	NC_073242.2	1.0	1.0	1
LOC101129329	NC_073240.2	LOC129526105	NC_073238.2	0.999	1.0	0
LOC101129329	NC_073240.2	LOC134756755	NC_073236.2	0.998	1.0	0
LOC134758989	NC_073231.2	LOC134758990	NC_073231.2	0.89	1.0	1
LOC115931421	NC_073241.2	LOC129523959	NC_073224.2	0.863	1.0	0
LOC129526003	NC_073234.2	LOC129527948	NC_073243.2	1.0	1.0	0
LOC109023279	NC_073239.2	SYNE3	NC_073239.2	0.839	1.0	1
LOC134759133	NC_073231.2	LOC134759134	NC_073231.2	0.834	1.0	1
LOC115931971	NC_086018.1	LOC129529618	NC_086018.1	0.732	1.0	1
LOC134759135	NC_073231.2	LOC134759136	NC_073231.2	1.0	1.0	1
LOC101125919	NC_073243.2	LOC134757580	NC_073243.2	1.0	1.0	1
LOC134759134	NC_073231.2	LOC134759136	NC_073231.2	1.0	1.0	1
LOC101135843	NC_086018.1	LOC115931971	NC_086018.1	0.732	1.0	1
LOC134759133	NC_073231.2	LOC134759136	NC_073231.2	0.815	1.0	1
LOC129533222	NC_073227.2	LOC129533223	NC_073227.2	0.728	1.0	1
LOC129523521	NC_073242.2	LOC129527828	NC_073242.2	1.0	1.0	1
LOC129533212	NC_073227.2	LOC129533221	NC_073227.2	0.732	1.0	1
LOC129533212	NC_073227.2	LOC129533222	NC_073227.2	0.999	1.0	1
LOC129533212	NC_073227.2	LOC129533223	NC_073227.2	0.732	1.0	1
LOC129533221	NC_073227.2	LOC129533222	NC_073227.2	0.732	1.0	1
LOC129533221	NC_073227.2	LOC129533223	NC_073227.2	0.732	1.0	1
LOC129533214	NC_073227.2	LOC129533215	NC_073227.2	1.0	1.0	1
LOC101151529	NC_073242.2	LOC129523521	NC_073242.2	1.0	1.0	1
LOC101151529	NC_073242.2	LOC129527828	NC_073242.2	1.0	1.0	1
LOC129523521	NC_073242.2	LOC129527432	NC_073242.2	1.0	1.0	1
LOC129527432	NC_073242.2	LOC129527828	NC_073242.2	1.0	1.0	1
LOC129533214	NC_073227.2	LOC129533222	NC_073227.2	0.728	1.0	1
LOC129533214	NC_073227.2	LOC129533223	NC_073227.2	0.728	1.0	1
LOC109028392	NC_073237.2	LOC115935789	NC_073237.2	1.0	1.0	1
LOC129533212	NC_073227.2	LOC129533214	NC_073227.2	0.732	1.0	1
LOC129533214	NC_073227.2	LOC129533221	NC_073227.2	0.732	1.0	1
LOC129533212	NC_073227.2	LOC129533215	NC_073227.2	0.733	1.0	1
LOC129533215	NC_073227.2	LOC129533221	NC_073227.2	0.733	1.0	1
LOC129533215	NC_073227.2	LOC129533222	NC_073227.2	0.733	1.0	1
LOC129533215	NC_073227.2	LOC129533223	NC_073227.2	0.733	1.0	1
LOC129528414	NC_073241.2	LOC129528421	NC_073241.2	1.0	1.0	1
LOC129533206	NC_073227.2	LOC129533212	NC_073227.2	1.0	1.0	1
LOC129533206	NC_073227.2	LOC129533221	NC_073227.2	0.743	1.0	1
LOC129533206	NC_073227.2	LOC129533222	NC_073227.2	1.0	1.0	1
LOC129533206	NC_073227.2	LOC129533223	NC_073227.2	0.743	1.0	1
LOC129528410	NC_073241.2	LOC129528414	NC_073241.2	1.0	1.0	1
LOC129528414	NC_073241.2	LOC129528417	NC_073241.2	1.0	1.0	1
LOC129528414	NC_073241.2	LOC129528418	NC_073241.2	1.0	1.0	1
LOC129528414	NC_073241.2	LOC129528420	NC_073241.2	1.0	1.0	1
LOC129528414	NC_073241.2	LOC129528423	NC_073241.2	1.0	1.0	1
LOC129528414	NC_073241.2	LOC129528422	NC_073241.2	1.0	1.0	1
LOC129533206	NC_073227.2	LOC129533214	NC_073227.2	0.743	1.0	1
LOC129533206	NC_073227.2	LOC129533215	NC_073227.2	0.743	1.0	1
LOC129528422	NC_073241.2	LOC129528424	NC_073241.2	1.0	1.0	1
LOC129528410	NC_073241.2	LOC129528426	NC_073241.2	1.0	1.0	1
LOC129528417	NC_073241.2	LOC129528426	NC_073241.2	1.0	1.0	1
LOC129528418	NC_073241.2	LOC129528426	NC_073241.2	1.0	1.0	1
LOC129528420	NC_073241.2	LOC129528426	NC_073241.2	1.0	1.0	1
LOC129528423	NC_073241.2	LOC129528426	NC_073241.2	1.0	1.0	1
LOC115931082	NC_073242.2	LOC115931087	NC_073242.2	1.0	1.0	1
LOC129530018	NC_073247.2	MAGEA9	NC_073247.2	1.0	1.0	1
CACNG4	NC_073228.2	LOC101130857	NC_073228.2	1.0	1.0	1
HTD2	NC_086017.1	RPP14	NC_086017.1	0.707	1.0	1
LOC101151897	NC_073242.2	LOC129527628	NC_073242.2	1.0	1.0	1
LOC115934662	NC_073228.2	LOC129533797	NC_073228.2	0.942	1.0	1
