Node,Colour
L~chr15_18484393_18487719,#4285f4
L~chr15_20096768_20102630,#4285f4
L~chr15_20279485_20289994,#4285f4
L~chr15_20841196_20854572,#4285f4
L~chr15_20972619_20985986,#4285f4
L~chr15_21175968_21180517,#34a853
L~chr15_26121347_26134747,#34a853
L~chr15_26296281_26309739,#34a853
L~chr15_27926395_27929106,#34a853
L~chr15_30241447_30252178,#34a853
L~chr15_32184800_32193680,#34a853
L~chr15_32330973_32333374,#34a853
L~chr15_73646286_73657758,#4285f4
L~chr15_80204134_80213595,#34a853
L~chr15_80293456_80303275,#34a853
L~chr15_82101756_82111482,#34a853
L~chr15_82259345_82265184,#4285f4
L~chr5_7237265_7244593,#4285f4
L~chr9_140463642_140483173,#a142f4
RB~GOLGA6_8~0,#f06292
RB~GOLGA6_8~1,#f06292
RB~GOLGA6_8~2,#f06292
RB~GOLGA6_8~3,#f06292
RB~GOLGA6_8~4,#f06292
RB~GOLGA6_8~5,#f06292
RB~GOLGA6_8~6,#f06292
RB~GOLGA6_8~7,#f06292
RB~GOLGA6_8~8,#f06292
RB~GOLGA6_8~9,#f06292
RB~GOLGA6_8~10,#f06292
RB~GOLGA6_8~11,#f06292
RB~GOLGA6_8~12,#f06292
RB~GOLGA6_8~13,#f06292
RB~GOLGA6_8~14,#f06292
RB~GOLGA6_8~15,#f06292
RB~GOLGA6_8~16,#f06292
RB~GOLGA6_8~17,#f06292
RB~GOLGA6_8~18,#f06292
RB~GOLGA6_8~19,#f06292
RB~GOLGA6_8~20,#f06292
RB~GOLGA6_8~21,#f06292
RB~GOLGA6_8~22,#f06292
RB~GOLGA6_8~23,#f06292
RB~GOLGA6_8~24,#f06292
RB~GOLGA6_8~25,#f06292
RB~GOLGA6_8~26,#f06292
RB~GOLGA6_8~27,#f06292
RB~GOLGA6_8~28,#f06292
RB~GOLGA6_8~29,#f06292
RB~GOLGA6_8~30,#f06292
RB~GOLGA6_8~31,#f06292
RB~GOLGA6_8~32,#f06292
RB~GOLGA6_8~33,#f06292
RB~GOLGA6_8~34,#f06292
RB~GOLGA6_8~35,#f06292
RB~GOLGA6_8~36,#f06292
RB~GOLGA6_8~37,#f06292
RB~GOLGA6_8~38,#f06292
RB~GOLGA6_8~39,#f06292
RB~GOLGA6_8~40,#f06292
RB~GOLGA6_8~41,#f06292
RB~GOLGA6_8~42,#f06292
RB~GOLGA6_8~43,#f06292
RB~GOLGA6_8~44,#f06292
RB~GOLGA6_8~45,#f06292
RB~GOLGA6_8~46,#f06292
RB~GOLGA6_8~47,#f06292
RB~GOLGA6_8~48,#f06292
RB~GOLGA6_8~49,#f06292
RB~GOLGA6_8~50,#f06292
RB~GOLGA6_8~51,#f06292
RB~GOLGA6_8~52,#f06292
RB~GOLGA6_8~53,#f06292
RB~GOLGA6_8~54,#f06292
RB~GOLGA6_8~55,#f06292
RB~GOLGA6_8~56,#f06292
RB~GOLGA6_8~57,#f06292
RB~GOLGA6_8~58,#f06292
RB~GOLGA6_8~59,#f06292
RB~GOLGA6_8~60,#f06292
RB~GOLGA6_8~61,#f06292
