cid	chrom	start	end	divergence	n_loci	sedef_partners	protein	call	reason
NC_073224.2_116807774	NC_073224.2	116807774	116847210	71.2	None	45	LOC129525599	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=45) — structurally a copy
NC_073224.2_117489966	NC_073224.2	117489966	117529051	15.1	12	44	LOC129525331	AMBIGUOUS	multi-copy (n_loci=12, sedef_partners=44) AND het-range div=15.1% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073224.2_124254598	NC_073224.2	124254598	124347827	15.2	11	84	LOC115932735	AMBIGUOUS	multi-copy (n_loci=11, sedef_partners=84) AND het-range div=15.2% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073224.2_130011266	NC_073224.2	130011266	130080187	21.8	None	20	LOC101126097	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=20) — structurally a copy
NC_073224.2_239511912	NC_073224.2	239511912	239565347	7.5	1	0	CDK11B	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=7.5% — a het variant of a one-copy gene
NC_073224.2_42258427	NC_073224.2	42258427	42453811	5.7	1	55	TIGD1	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=55) AND het-range div=5.7% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073224.2_45327469	NC_073224.2	45327469	45379775	7.8	None	17	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=17) AND het-range div=7.8% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073224.2_63992094	NC_073224.2	63992094	64010610	13.9	1	0	LOC109027270	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=13.9% — a het variant of a one-copy gene
NC_073224.2_6827750	NC_073224.2	6827750	6872337	3.5	2	5	LOC101124243	AMBIGUOUS	multi-copy (n_loci=2, sedef_partners=5) AND het-range div=3.5% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073227.2_138707546	NC_073227.2	138707546	138780623	6.4	1	0	PRSS12	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=6.4% — a het variant of a one-copy gene
NC_073227.2_139053638	NC_073227.2	139053638	139225281	8.9	1	0	SYNPO2	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=8.9% — a het variant of a one-copy gene
NC_073227.2_174237338	NC_073227.2	174237338	174372512	7.5	1	4	TRIM2	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=4) AND het-range div=7.5% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073227.2_204398881	NC_073227.2	204398881	204427731	4.3	1	0	CHN1	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=4.3% — a het variant of a one-copy gene
NC_073227.2_208632617	NC_073227.2	208632617	208674896	13.1	2	1	ZDHHC13	AMBIGUOUS	multi-copy (n_loci=2, sedef_partners=1) AND het-range div=13.1% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073227.2_210005207	NC_073227.2	210005207	210049158	9.2	None	0	NO-HIT	ALLELE/HET	single locus (n_loci=None, no SEDEF partner) + het-range div=9.2% — a het variant of a one-copy gene
NC_073227.2_22580407	NC_073227.2	22580407	22736808	3.5	1	3	LOC129534172	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=3) AND het-range div=3.5% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073227.2_36265854	NC_073227.2	36265854	36545762	74.5	None	71	NO-HIT	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=71) — structurally a copy
NC_073228.2_111658883	NC_073228.2	111658883	112183378	8.9	2	8	CMTM7	AMBIGUOUS	multi-copy (n_loci=2, sedef_partners=8) AND het-range div=8.9% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073228.2_11708010	NC_073228.2	11708010	11769380	11.1	1	0	SLC26A11	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=11.1% — a het variant of a one-copy gene
NC_073228.2_144645073	NC_073228.2	144645073	144848266	19.0	None	14	LOC101141132	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=14) AND het-range div=19.0% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073228.2_145157314	NC_073228.2	145157314	145343542	14.7	1	51	LOC101128585	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=51) AND het-range div=14.7% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073228.2_177789227	NC_073228.2	177789227	177907979	3.1	1	2	NSG2	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=2) AND het-range div=3.1% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073228.2_17861469	NC_073228.2	17861469	17917649	40.3	None	0	NO-HIT	DIVERGENT-NOVEL	single locus, no SEDEF, div=40.3% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073228.2_21847044	NC_073228.2	21847044	21893022	31.7	None	2	E2F6	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=2) — structurally a copy
NC_073229.2_164331546	NC_073229.2	164331546	164376616	46.3	None	1	LOC129525654	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=1) — structurally a copy
NC_073229.2_18073875	NC_073229.2	18073875	18312763	10.0	None	2	LOC115931578	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=2) AND het-range div=10.0% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073229.2_181351545	NC_073229.2	181351545	181381413	21.6	None	0	ARID1B	DIVERGENT-NOVEL	single locus, no SEDEF, div=21.6% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073229.2_20874296	NC_073229.2	20874296	20924049	4.7	None	0	LOC134757596	ALLELE/HET	single locus (n_loci=None, no SEDEF partner) + het-range div=4.7% — a het variant of a one-copy gene
NC_073229.2_74962769	NC_073229.2	74962769	75437156	11.1	1	21	RAB23	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=21) AND het-range div=11.1% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073230.2_164524994	NC_073230.2	164524994	164582667	55.2	None	0	SH3BGRL2	DIVERGENT-NOVEL	single locus, no SEDEF, div=55.2% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073230.2_165840202	NC_073230.2	165840202	165861376	4.7	2	1	NOM1	AMBIGUOUS	multi-copy (n_loci=2, sedef_partners=1) AND het-range div=4.7% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073230.2_167930813	NC_073230.2	167930813	168043118	10.0	None	3	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=3) AND het-range div=10.0% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073230.2_168287264	NC_073230.2	168287264	168315378	9.7	None	13	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=13) AND het-range div=9.7% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073230.2_22601670	NC_073230.2	22601670	22842316	26.3	None	1	AGMO	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=1) — structurally a copy
NC_073230.2_37489449	NC_073230.2	37489449	37519267	4.7	None	1	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=1) AND het-range div=4.7% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073230.2_41333848	NC_073230.2	41333848	41583256	3.1	1	0	BMPER	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=3.1% — a het variant of a one-copy gene
NC_073230.2_47186239	NC_073230.2	47186239	47265740	3.3	1	10	UBE2D1	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=10) AND het-range div=3.3% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073230.2_7606300	NC_073230.2	7606300	7612608	26.6	None	0	NO-HIT	DIVERGENT-NOVEL	single locus, no SEDEF, div=26.6% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073231.2_17091306	NC_073231.2	17091306	17164559	15.5	1	0	WDR82	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=15.5% — a het variant of a one-copy gene
NC_073231.2_39477379	NC_073231.2	39477379	39719282	73.6	None	163	NO-HIT	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=163) — structurally a copy
NC_073231.2_4861523	NC_073231.2	4861523	4914672	12.2	None	1	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=1) AND het-range div=12.2% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073231.2_5862495	NC_073231.2	5862495	6099490	13.1	None	4	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=4) AND het-range div=13.1% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073231.2_65184475	NC_073231.2	65184475	65394711	10.6	1	4	XKR4	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=4) AND het-range div=10.6% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073231.2_95446522	NC_073231.2	95446522	95650344	14.4	1	13	RIPK2	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=13) AND het-range div=14.4% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073232.2_144274196	NC_073232.2	144274196	144328240	23.7	None	4	PPP2R2B	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=4) — structurally a copy
NC_073232.2_99589336	NC_073232.2	99589336	99747746	17.6	None	50	SH3BGRL2	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=50) AND het-range div=17.6% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073233.2_113941584	NC_073233.2	113941584	113990333	19.9	1	0	KBTBD3	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=19.9% — a het variant of a one-copy gene
NC_073233.2_12653514	NC_073233.2	12653514	12668539	11.0	1	0	CAVIN3	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=11.0% — a het variant of a one-copy gene
NC_073233.2_133023968	NC_073233.2	133023968	133041307	4.1	1	0	TMEM218	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=4.1% — a het variant of a one-copy gene
NC_073233.2_137548997	NC_073233.2	137548997	137751522	4.4	1	20	LOC129524615	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=20) AND het-range div=4.4% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073233.2_14003549	NC_073233.2	14003549	14017083	3.6	1	0	LOC101134045	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=3.6% — a het variant of a one-copy gene
NC_073233.2_45380640	NC_073233.2	45380640	45516376	28.0	None	15	NO-HIT	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=15) — structurally a copy
NC_073233.2_93425668	NC_073233.2	93425668	93538180	10.9	1	74	TMEM126B	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=74) AND het-range div=10.9% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073234.2_139370404	NC_073234.2	139370404	139406520	7.8	1	0	CCDC92	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=7.8% — a het variant of a one-copy gene
NC_073234.2_143793491	NC_073234.2	143793491	144181462	5.5	1	3	TMEM132C	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=3) AND het-range div=5.5% — could be a new copy OR an allele of an existing copy (MHC-class)
