gene_a	gene_b	dn_a	dn_b	cls	in_dna_loose	aln_frac	core_recip	n_exon_a	n_exon_b	n_exon_min	n_matched	exon_match_frac	mean_matched_id	best_exon_id	colinear	colinear_nd	isolated_domain	cut_K1	cut_K2	div_bin	ep_impure	gstm2	mage	colinear_50	colinear_60	colinear_65	colinear_70	colinear_75	colinear_80
ABCD1	LOC129526391	DN_NC_073236.2_25270756_7	DN_NC_073247.2_165410205_10	TP	1	0.81	0.4426	7	10	7	3	0.4286	0.9505	0.968	3	3	0	0	0	id>=0.95	1	0	0	4	3	3	3	3	3
ABCD1	LOC129526471	DN_NC_073236.2_22701854_7	DN_NC_073247.2_165410205_10	TP	1	0.8083	0.3255	7	10	7	3	0.4286	0.9506	0.968	3	3	0	0	0	id>=0.95	1	0	0	4	3	3	3	3	3
ABCD1	LOC129531453	DN_NC_073240.2_15970659_7	DN_NC_073247.2_165410205_10	TP	1	0.8056	0.3224	7	10	7	3	0.4286	0.9457	0.9643	3	3	0	0	0	0.90-0.95	1	0	0	4	3	3	3	3	3
ACSBG1	IDH3A	DN_NC_073240.2_79048326_11	DN_NC_073240.2_79068535_14	TP	1	0.513	0.5137	11	14	11	1	0.0909	1.0	1.0	1	1	1	1	1	id>=0.95	1	0	0	4	2	1	1	1	1
ACTB	ACTG1	DN_NC_073228.2_10434405_6	DN_NC_073230.2_12962256_6	TP	1	0.5257	0.5384	6	6	6	4	0.6667	0.895	0.9247	4	4	0	0	0	0.80-0.90	0	0	0	6	4	4	4	4	4
ADH1B	LOC101136823	DN_NC_073227.2_119617950_9	DN_NC_073227.2_119647764_9	TP	1	0.7835	0.3518	9	9	9	9	1.0	0.9061	0.9769	9	9	0	0	0	0.90-0.95	0	0	0	9	9	9	9	8	7
AKR1B10	LOC115935241	DN_NC_073230.2_143596666_10	DN_NC_073230.2_143617302_10	TP	1	0.4203	0.4206	10	10	10	8	0.8	0.9758	1.0	8	8	0	0	0	id>=0.95	0	0	0	9	8	8	8	8	8
AKR7A2	LOC115933748	DN_NC_073224.2_220588830_7	DN_NC_073224.2_220611411_7	TP	1	0.7337	0.7366	7	7	7	5	0.7143	0.925	0.9792	5	5	0	0	0	0.90-0.95	0	0	0	5	5	5	5	5	5
ALDH1B1	LOC115935842	DN_NC_073236.2_32676987_2	DN_NC_073237.2_24562366_2	TP	1	1.001	0.3444	2	2	2	2	1.0	0.9194	0.9663	2	2	0	0	1	0.90-0.95	0	0	0	2	2	2	2	2	2
ALDH1B1	LOC129524687	DN_NC_073237.2_24562360_2	DN_NC_073237.2_31692944_2	TP	1	1.0	0.8829	2	2	2	2	1.0	0.98	0.9848	2	2	0	0	1	id>=0.95	0	0	0	2	2	2	2	2	2
ALG10	ALG10B	DN_NC_073234.2_62953363_3	DN_NC_073234.2_67151860_3	TP	1	0.9802	0.5702	3	3	3	3	1.0	0.9776	1.0	3	3	0	0	0	id>=0.95	0	0	0	3	3	3	3	3	3
ANKRD18A	ANKRD18B	DN_NC_073237.2_24387014_11	DN_NC_073237.2_31481917_11	TP	1	0.89	0.2528	11	11	11	10	0.9091	0.9772	1.0	10	10	0	0	0	id>=0.95	0	0	0	10	10	10	10	10	10
ANKRD18A	LOC101142783	DN_NC_073237.2_24387014_11	DN_NC_073237.2_29418618_13	TP	1	0.909	0.3383	11	13	11	11	1.0	0.9791	0.9956	11	11	0	0	0	id>=0.95	0	0	0	11	11	11	11	11	11
ANKRD18A	LOC115933254	DN_NC_073236.2_32935295_3	DN_NC_073237.2_24387014_11	TP	1	0.5114	0.217	3	11	3	1	0.3333	0.9656	0.9656	1	1	1	1	1	id>=0.95	0	0	0	2	1	1	1	1	1
ANKRD18B	LOC101142783	DN_NC_073237.2_29418618_13	DN_NC_073237.2_31481917_11	TP	1	0.6244	0.5768	13	11	11	9	0.8182	0.9715	0.9854	9	9	0	0	0	id>=0.95	0	0	0	9	9	9	9	9	9
