family_id	n_copies	n_chroms	dominant_gene_root	name_concordance	density	avg_core_recip	n_articulation	class	members
DSFAM0	178	18	ZNF	0.8456375838926175	0.166	0.216	5	family	DN_NC_073224.2_199406700_5,DN_NC_073224.2_199458269_6,DN_NC_073224.2_199494304_6,DN_NC_073224.2_206460331_8,DN_NC_073224.2_216467757_3,DN_NC_073228.2_154747841_5,DN_NC_073228.2_154780892_3,DN_NC_073228.2_182334642_5,DN_NC_073228.2_182827930_5,DN_NC_073228.2_182864372_4,DN_NC_073228.2_182909765_5,DN_NC_073228.2_182994030_5,DN_NC_073228.2_184836165_2,DN_NC_073228.2_184836166_2,DN_NC_073228.2_184836166_3,DN_NC_073228.2_83513581_6,DN_NC_073228.2_83600319_6,DN_NC_073229.2_44967262_5,DN_NC_073229.2_45005781_3,DN_NC_073229.2_45067329_6,DN_NC_073229.2_45706582_4,DN_NC_073229.2_45747170_4,DN_NC_073229.2_45764485_6,DN_NC_073229.2_45784439_7,DN_NC_073229.2_45857463_4,DN_NC_073229.2_45959984_4,DN_NC_073229.2_46022147_4,DN_NC_073229.2_46656086_7,DN_NC_073230.2_88683937_6,DN_NC_073230.2_88700652_4,DN_NC_073230.2_88726357_6,DN_NC_073230.2_89296262_6,DN_NC_073231.2_149487100_2,DN_NC_073231.2_149487156_2,DN_NC_073231.2_150549342_2,DN_NC_073231.2_150568091_5,DN_NC_073231.2_150618111_5,DN_NC_073231.2_150671293_2,DN_NC_073231.2_150671310_5,DN_NC_073231.2_150726059_5,DN_NC_073231.2_150777699_3,DN_NC_073231.2_150817007_4,DN_NC_073231.2_4596743_6,DN_NC_073232.2_71834982_5,DN_NC_073232.2_71973207_3,DN_NC_073232.2_72820474_5,DN_NC_073232.2_80964961_8,DN_NC_073232.2_81033881_5,DN_NC_073232.2_81134357_6,DN_NC_073232.2_81253567_6,DN_NC_073234.2_148420424_5,DN_NC_073234.2_148486259_4,DN_NC_073234.2_148537990_5,DN_NC_073234.2_148580749_5,DN_NC_073234.2_148620174_2,DN_NC_073234.2_148630977_5,DN_NC_073234.2_148682020_7,DN_NC_073236.2_32240619_3,DN_NC_073236.2_32278873_5,DN_NC_073236.2_32302189_6,DN_NC_073237.2_109230975_4,DN_NC_073237.2_109279481_4,DN_NC_073237.2_123801018_5,DN_NC_073237.2_23553596_5,DN_NC_073237.2_30220066_5,DN_NC_073237.2_89310571_5,DN_NC_073237.2_93211680_6,DN_NC_073237.2_93275727_4,DN_NC_073237.2_97733433_3,DN_NC_073239.2_123379390_2,DN_NC_073240.2_85898394_3,DN_NC_073241.2_64468689_4,DN_NC_073241.2_64479147_4,DN_NC_073241.2_64520240_3,DN_NC_073241.2_64520244_2,DN_NC_073242.2_100900995_5,DN_NC_073242.2_100926924_5,DN_NC_073242.2_119807836_6,DN_NC_073242.2_97765438_2,DN_NC_073242.2_97765438_4,DN_NC_073243.2_20204464_2,DN_NC_073243.2_20232546_4,DN_NC_073243.2_20322881_2,DN_NC_073243.2_20324218_2,DN_NC_073243.2_20331571_2,DN_NC_073244.2_12909180_8,DN_NC_073244.2_14850343_10,DN_NC_073244.2_15324693_6,DN_NC_073244.2_15357025_8,DN_NC_073244.2_15453865_9,DN_NC_073244.2_15508499_10,DN_NC_073244.2_15569240_8,DN_NC_073244.2_15605841_4,DN_NC_073244.2_15648295_6,DN_NC_073244.2_20723155_12,DN_NC_073244.2_45737704_5,DN_NC_073244.2_45796040_6,DN_NC_073244.2_45985550_6,DN_NC_073244.2_47250467_5,DN_NC_073244.2_47288294_4,DN_NC_073244.2_47586219_5,DN_NC_073244.2_47642985_5,DN_NC_073244.2_47706460_3,DN_NC_073244.2_47706466_2,DN_NC_073244.2_47739503_5,DN_NC_073244.2_47798559_5,DN_NC_073244.2_47831779_6,DN_NC_073244.2_47878793_6,DN_NC_073244.2_47997304_5,DN_NC_073244.2_48030384_3,DN_NC_073244.2_48030811_4,DN_NC_073244.2_48066692_6,DN_NC_073244.2_48093173_7,DN_NC_073244.2_48242798_5,DN_NC_073244.2_48319142_5,DN_NC_073244.2_48352926_4,DN_NC_073244.2_48384768_7,DN_NC_073244.2_48620420_5,DN_NC_073244.2_48660338_4,DN_NC_073244.2_48919547_6,DN_NC_073244.2_48980018_5,DN_NC_073244.2_49072464_4,DN_NC_073244.2_49101177_5,DN_NC_073244.2_49176797_4,DN_NC_073244.2_49205215_5,DN_NC_073244.2_49246931_6,DN_NC_073244.2_51749194_6,DN_NC_073244.2_51783968_5,DN_NC_073244.2_51825388_5,DN_NC_073244.2_55341363_7,DN_NC_073244.2_55989141_5,DN_NC_073244.2_59724372_5,DN_NC_073244.2_59726455_2,DN_NC_073244.2_63542066_5,DN_NC_073244.2_63840101_6,DN_NC_073244.2_63855100_5,DN_NC_073244.2_63882905_5,DN_NC_073244.2_63895938_6,DN_NC_073244.2_63934684_6,DN_NC_073244.2_63961971_6,DN_NC_073244.2_63983979_5,DN_NC_073244.2_64004232_5,DN_NC_073244.2_65470296_6,DN_NC_073244.2_68477557_5,DN_NC_073244.2_68491976_5,DN_NC_073244.2_68513423_5,DN_NC_073244.2_68548768_5,DN_NC_073244.2_68611978_5,DN_NC_073244.2_69294668_4,DN_NC_073244.2_69343714_4,DN_NC_073244.2_69382679_3,DN_NC_073244.2_69422908_4,DN_NC_073244.2_69643403_5,DN_NC_073244.2_70077616_7,DN_NC_073244.2_70159242_5,DN_NC_073244.2_70224599_4,DN_NC_073244.2_70277256_8,DN_NC_073244.2_70323040_7,DN_NC_073244.2_70422477_3,DN_NC_073244.2_8594978_5,DN_NC_073245.2_58728682_5,DN_NC_073247.2_56848572_6,DN_NC_073247.2_56899135_7,DN_NC_073247.2_57761829_5,DN_NC_073247.2_57840463_5,DN_NC_073247.2_58228088_5,DN_NC_073247.2_58372296_6,DN_NC_086017.1_50382141_5,DN_NC_086017.1_50412575_3,DN_NC_086017.1_50431420_5,DN_NC_086017.1_54457640_6,DN_NC_086017.1_54487757_3,DN_NC_086017.1_54527845_6,DN_NC_086017.1_54551513_4,DN_NC_086017.1_54583506_2,DN_NC_086017.1_54612772_3,DN_NC_086017.1_54629198_3,DN_NC_086017.1_85766278_5
DSFAM1	140	25	TCP	0.04054054054054054	0.053	0.228	32	web	DN_NC_073224.2_115215234_17,DN_NC_073224.2_117217199_13,DN_NC_073224.2_119539361_2,DN_NC_073224.2_123525276_5,DN_NC_073224.2_130013703_13,DN_NC_073224.2_130406472_2,DN_NC_073224.2_130406472_4,DN_NC_073224.2_137030332_2,DN_NC_073224.2_13812644_2,DN_NC_073224.2_200263910_4,DN_NC_073224.2_219630924_4,DN_NC_073224.2_5565564_3,DN_NC_073224.2_5715398_2,DN_NC_073224.2_9521619_7,DN_NC_073227.2_107202270_4,DN_NC_073227.2_107737271_8,DN_NC_073227.2_138626266_4,DN_NC_073227.2_210308791_3,DN_NC_073227.2_211418821_2,DN_NC_073227.2_26000468_4,DN_NC_073227.2_49278079_9,DN_NC_073227.2_55859426_23,DN_NC_073227.2_59134185_2,DN_NC_073227.2_94499432_2,DN_NC_073228.2_141706476_5,DN_NC_073228.2_161454333_5,DN_NC_073228.2_22763468_38,DN_NC_073228.2_22930246_39,DN_NC_073228.2_23038330_39,DN_NC_073229.2_109663823_28,DN_NC_073229.2_110027725_2,DN_NC_073229.2_136502891_3,DN_NC_073229.2_136550623_3,DN_NC_073229.2_140139419_8,DN_NC_073229.2_164331546_2,DN_NC_073229.2_52857877_2,DN_NC_073229.2_52857903_3,DN_NC_073229.2_52876398_7,DN_NC_073230.2_116851282_14,DN_NC_073230.2_132467242_13,DN_NC_073230.2_138684446_2,DN_NC_073230.2_152836468_8,DN_NC_073230.2_152880918_9,DN_NC_073230.2_159385621_3,DN_NC_073230.2_29909396_5,DN_NC_073230.2_92132360_3,DN_NC_073230.2_98628332_5,DN_NC_073231.2_107519754_4,DN_NC_073231.2_148826481_3,DN_NC_073231.2_95446522_6,DN_NC_073232.2_101543079_10,DN_NC_073232.2_103494970_2,DN_NC_073232.2_139190015_27,DN_NC_073232.2_34013134_3,DN_NC_073232.2_50172230_4,DN_NC_073232.2_99830035_5,DN_NC_073233.2_116263271_8,DN_NC_073233.2_132097253_2,DN_NC_073233.2_14005356_9,DN_NC_073233.2_23732821_4,DN_NC_073234.2_126026608_4,DN_NC_073234.2_126370406_2,DN_NC_073234.2_148455184_2,DN_NC_073234.2_17584207_9,DN_NC_073234.2_50306180_17,DN_NC_073234.2_86426177_10,DN_NC_073235.2_112807340_11,DN_NC_073235.2_127361540_3,DN_NC_073235.2_133031264_19,DN_NC_073235.2_133124679_15,DN_NC_073235.2_137582288_5,DN_NC_073235.2_142785844_3,DN_NC_073235.2_50441116_14,DN_NC_073235.2_71287360_16,DN_NC_073235.2_71373985_7,DN_NC_073235.2_74414844_11,DN_NC_073236.2_115828789_3,DN_NC_073236.2_129488631_5,DN_NC_073236.2_30490104_2,DN_NC_073236.2_45727385_4,DN_NC_073237.2_101948554_6,DN_NC_073237.2_129609538_2,DN_NC_073237.2_58341083_8,DN_NC_073237.2_89465596_2,DN_NC_073237.2_90033004_3,DN_NC_073238.2_30171533_2,DN_NC_073238.2_33197456_2,DN_NC_073239.2_123333518_3,DN_NC_073239.2_123333523_2,DN_NC_073239.2_123336059_3,DN_NC_073239.2_123449122_2,DN_NC_073239.2_123454428_3,DN_NC_073239.2_123454429_2,DN_NC_073239.2_14838701_6,DN_NC_073239.2_34910171_2,DN_NC_073239.2_36370724_4,DN_NC_073239.2_67194404_11,DN_NC_073239.2_70164897_2,DN_NC_073239.2_77917590_16,DN_NC_073240.2_20543122_2,DN_NC_073240.2_21986088_4,DN_NC_073240.2_22861517_2,DN_NC_073240.2_23725358_9,DN_NC_073240.2_24224495_2,DN_NC_073240.2_29803770_8,DN_NC_073240.2_44461085_2,DN_NC_073240.2_44461095_2,DN_NC_073240.2_95564610_15,DN_NC_073241.2_63472392_2,DN_NC_073241.2_63472404_2,DN_NC_073241.2_80636266_2,DN_NC_073242.2_120248671_3,DN_NC_073242.2_14569289_2,DN_NC_073242.2_14569289_3,DN_NC_073242.2_7013229_2,DN_NC_073242.2_95678785_4,DN_NC_073243.2_21894066_7,DN_NC_073243.2_49045190_4,DN_NC_073243.2_69046517_5,DN_NC_073243.2_69056468_9,DN_NC_073243.2_70014918_17,DN_NC_073244.2_27139185_2,DN_NC_073244.2_43610901_6,DN_NC_073245.2_35160176_6,DN_NC_073245.2_47429376_4,DN_NC_073245.2_57775599_4,DN_NC_073246.2_32689693_4,DN_NC_073246.2_48588228_2,DN_NC_073247.2_105439613_2,DN_NC_073247.2_114234875_11,DN_NC_073247.2_115708949_2,DN_NC_073247.2_147586730_5,DN_NC_073247.2_36790580_2,DN_NC_073247.2_65342412_4,DN_NC_073247.2_66706466_2,DN_NC_073248.2_10670113_2,DN_NC_086017.1_165200217_5,DN_NC_086017.1_35538439_12,DN_NC_086017.1_43678546_18,DN_NC_086018.1_24877691_3
DSFAM2	69	24	ZNF	0.375	0.048	0.222	12	web	DN_NC_073224.2_132947918_3,DN_NC_073224.2_150835184_3,DN_NC_073224.2_152452447_2,DN_NC_073224.2_162394374_3,DN_NC_073227.2_135583997_3,DN_NC_073227.2_144460538_3,DN_NC_073227.2_144461700_2,DN_NC_073227.2_184181664_3,DN_NC_073227.2_208386894_3,DN_NC_073227.2_36265860_3,DN_NC_073227.2_93560991_18,DN_NC_073228.2_23833256_2,DN_NC_073229.2_20524922_2,DN_NC_073229.2_20525677_2,DN_NC_073229.2_24556315_2,DN_NC_073229.2_91949623_2,DN_NC_073229.2_97606864_8,DN_NC_073230.2_127821031_3,DN_NC_073230.2_28044538_2,DN_NC_073230.2_47037104_3,DN_NC_073230.2_47037167_3,DN_NC_073230.2_51605178_3,DN_NC_073230.2_56036026_15,DN_NC_073230.2_59739987_2,DN_NC_073230.2_78579198_2,DN_NC_073230.2_80200944_2,DN_NC_073231.2_142605858_2,DN_NC_073232.2_13991147_3,DN_NC_073232.2_27927613_2,DN_NC_073233.2_11450665_3,DN_NC_073233.2_119088050_4,DN_NC_073233.2_132992860_18,DN_NC_073234.2_106852963_2,DN_NC_073234.2_121621201_3,DN_NC_073234.2_139370404_3,DN_NC_073234.2_21810248_3,DN_NC_073235.2_38606855_2,DN_NC_073235.2_87399371_2,DN_NC_073235.2_87399372_3,DN_NC_073236.2_126573356_2,DN_NC_073236.2_126573360_7,DN_NC_073236.2_31151610_2,DN_NC_073237.2_70478915_2,DN_NC_073237.2_90719098_5,DN_NC_073238.2_38844253_6,DN_NC_073238.2_75992194_3,DN_NC_073238.2_92168909_33,DN_NC_073239.2_71365900_5,DN_NC_073239.2_98531685_2,DN_NC_073239.2_98531712_2,DN_NC_073239.2_98531712_3,DN_NC_073240.2_34703303_6,DN_NC_073240.2_69754085_2,DN_NC_073241.2_59430535_4,DN_NC_073242.2_96100598_13,DN_NC_073243.2_97368865_2,DN_NC_073243.2_97368870_3,DN_NC_073244.2_48583045_5,DN_NC_073245.2_12403861_6,DN_NC_073245.2_28291357_5,DN_NC_073245.2_35678256_5,DN_NC_073245.2_35678363_2,DN_NC_073246.2_35769268_8,DN_NC_073247.2_163244071_16,DN_NC_086017.1_148168205_5,DN_NC_086017.1_198455801_2,DN_NC_086017.1_58115065_4,DN_NC_086017.1_93233442_3,DN_NC_086018.1_40100382_3
DSFAM3	68	19	GBP	0.20833333333333334	0.060	0.231	13	web	DN_NC_073224.2_150567709_6,DN_NC_073224.2_150600792_11,DN_NC_073224.2_150712594_12,DN_NC_073224.2_150787798_12,DN_NC_073224.2_150859518_11,DN_NC_073224.2_150903711_11,DN_NC_073224.2_150948916_11,DN_NC_073227.2_109806788_5,DN_NC_073227.2_205610166_3,DN_NC_073227.2_22580407_2,DN_NC_073228.2_179980536_5,DN_NC_073228.2_181539844_2,DN_NC_073228.2_182670660_2,DN_NC_073228.2_82312011_2,DN_NC_073228.2_82312065_3,DN_NC_073229.2_172859564_2,DN_NC_073229.2_21212091_2,DN_NC_073229.2_21250610_2,DN_NC_073229.2_21260621_3,DN_NC_073229.2_21267403_2,DN_NC_073229.2_21328949_3,DN_NC_073229.2_21332828_2,DN_NC_073229.2_25792528_2,DN_NC_073229.2_29619457_3,DN_NC_073229.2_37505661_2,DN_NC_073229.2_37506801_2,DN_NC_073230.2_113873404_2,DN_NC_073230.2_124939640_5,DN_NC_073230.2_37931018_4,DN_NC_073231.2_27219653_9,DN_NC_073231.2_27335163_6,DN_NC_073231.2_27367940_9,DN_NC_073231.2_27420263_10,DN_NC_073232.2_54688339_2,DN_NC_073232.2_89716083_2,DN_NC_073234.2_79607745_2,DN_NC_073234.2_87500533_19,DN_NC_073235.2_41950647_3,DN_NC_073235.2_83159862_3,DN_NC_073235.2_91038771_5,DN_NC_073235.2_93196915_2,DN_NC_073235.2_94365284_2,DN_NC_073236.2_112799498_6,DN_NC_073236.2_52215748_2,DN_NC_073236.2_52215749_3,DN_NC_073237.2_91001440_7,DN_NC_073238.2_124443812_2,DN_NC_073238.2_125561692_4,DN_NC_073239.2_28798849_2,DN_NC_073239.2_87154592_2,DN_NC_073239.2_98525434_2,DN_NC_073240.2_71261298_2,DN_NC_073240.2_71289923_2,DN_NC_073240.2_71415152_2,DN_NC_073240.2_99777435_2,DN_NC_073241.2_105951612_2,DN_NC_073243.2_53724919_2,DN_NC_073243.2_84505022_2,DN_NC_073243.2_94988262_4,DN_NC_073243.2_97413463_8,DN_NC_073246.2_23987934_2,DN_NC_086017.1_125108432_2,DN_NC_086017.1_156500672_2,DN_NC_086017.1_156500672_3,DN_NC_086017.1_185299820_2,DN_NC_086017.1_20925773_3,DN_NC_086017.1_20985161_2,DN_NC_086018.1_45497764_2
DSFAM4	64	9	ZNF	0.9705882352941176	0.783	0.303	3	family	DN_NC_073224.2_40627195_4,DN_NC_073224.2_8222533_5,DN_NC_073224.2_8422960_4,DN_NC_073227.2_8633416_4,DN_NC_073227.2_8633418_2,DN_NC_073227.2_8705656_4,DN_NC_073227.2_8792448_3,DN_NC_073227.2_8907801_4,DN_NC_073227.2_9009655_3,DN_NC_073227.2_9009888_2,DN_NC_073227.2_9010062_2,DN_NC_073228.2_49477319_5,DN_NC_073228.2_61034643_7,DN_NC_073230.2_64900495_2,DN_NC_073230.2_73508332_4,DN_NC_073230.2_73776646_4,DN_NC_073230.2_73977205_4,DN_NC_073230.2_74126483_4,DN_NC_073230.2_74190289_5,DN_NC_073230.2_74299233_4,DN_NC_073230.2_74637722_4,DN_NC_073230.2_74637814_2,DN_NC_073233.2_9788172_5,DN_NC_073241.2_36126183_3,DN_NC_073241.2_36126198_2,DN_NC_073242.2_66613619_4,DN_NC_073244.2_26240035_4,DN_NC_073244.2_26240039_2,DN_NC_073244.2_26314241_4,DN_NC_073244.2_26470366_4,DN_NC_073244.2_26666712_5,DN_NC_073244.2_26901109_4,DN_NC_073244.2_27051998_4,DN_NC_073244.2_27131194_2,DN_NC_073244.2_27285351_4,DN_NC_073244.2_27408454_4,DN_NC_073244.2_27504818_5,DN_NC_073244.2_27566430_5,DN_NC_073244.2_27626411_5,DN_NC_073244.2_27765726_4,DN_NC_073244.2_27869273_3,DN_NC_073244.2_27956158_2,DN_NC_073244.2_27956158_4,DN_NC_073244.2_28072858_4,DN_NC_073244.2_28256975_5,DN_NC_073244.2_28333451_4,DN_NC_073244.2_28588105_4,DN_NC_073244.2_28711447_2,DN_NC_073244.2_28711447_4,DN_NC_073244.2_28820229_4,DN_NC_073244.2_29046961_4,DN_NC_073244.2_29232445_4,DN_NC_073244.2_29297022_4,DN_NC_073244.2_29557605_4,DN_NC_073244.2_29680825_2,DN_NC_073244.2_29680825_4,DN_NC_073244.2_29970261_4,DN_NC_073244.2_30067652_4,DN_NC_073244.2_30090650_6,DN_NC_073244.2_30438340_4,DN_NC_073244.2_30438386_2,DN_NC_073244.2_70399351_4,DN_NC_073246.2_15789285_3,DN_NC_073246.2_15789320_2
DSFAM5	44	10	ZNF	0.75	0.508	0.247	7	family	DN_NC_073224.2_136262916_11,DN_NC_073230.2_89256114_4,DN_NC_073231.2_53708239_3,DN_NC_073232.2_145623155_3,DN_NC_073233.2_130995027_7,DN_NC_073236.2_113129170_6,DN_NC_073242.2_37302670_5,DN_NC_073242.2_37386128_4,DN_NC_073244.2_64034715_7,DN_NC_073244.2_64081943_4,DN_NC_073244.2_64125568_5,DN_NC_073244.2_64231369_4,DN_NC_073244.2_64265252_5,DN_NC_073244.2_64306022_6,DN_NC_073244.2_64340366_4,DN_NC_073244.2_64368633_7,DN_NC_073244.2_64400145_5,DN_NC_073244.2_64426370_6,DN_NC_073244.2_64500861_5,DN_NC_073244.2_64543447_4,DN_NC_073244.2_64585864_4,DN_NC_073244.2_64618758_7,DN_NC_073244.2_64672255_4,DN_NC_073244.2_64724127_4,DN_NC_073244.2_64759228_5,DN_NC_073244.2_64797239_5,DN_NC_073244.2_64836827_4,DN_NC_073244.2_64860608_4,DN_NC_073244.2_64908457_4,DN_NC_073244.2_65003440_7,DN_NC_073244.2_65046428_2,DN_NC_073244.2_65046428_4,DN_NC_073244.2_65073171_5,DN_NC_073244.2_65102393_4,DN_NC_073244.2_65266359_4,DN_NC_073244.2_65293743_4,DN_NC_073244.2_65326089_4,DN_NC_073244.2_65362909_5,DN_NC_073244.2_65398487_4,DN_NC_073244.2_68643423_8,DN_NC_073247.2_34199522_16,DN_NC_086017.1_161710205_3,DN_NC_086017.1_41849470_3,DN_NC_086017.1_41849524_2
DSFAM6	37	5	ZNF	0.9	0.584	0.242	3	family	DN_NC_073224.2_8261601_4,DN_NC_073224.2_8329397_4,DN_NC_073224.2_8356715_4,DN_NC_073228.2_174193084_4,DN_NC_073242.2_74755277_3,DN_NC_073244.2_17635782_4,DN_NC_073244.2_17678736_4,DN_NC_073244.2_17700597_4,DN_NC_073244.2_17751582_4,DN_NC_073244.2_17751584_2,DN_NC_073244.2_17797611_4,DN_NC_073244.2_17831067_3,DN_NC_073244.2_17846610_4,DN_NC_073244.2_17876785_4,DN_NC_073244.2_17922158_4,DN_NC_073244.2_17960497_4,DN_NC_073244.2_17994654_4,DN_NC_073244.2_18045307_2,DN_NC_073244.2_18047026_4,DN_NC_073244.2_18096775_3,DN_NC_073244.2_18124175_2,DN_NC_073244.2_18124193_3,DN_NC_073244.2_18201516_4,DN_NC_073244.2_18232282_4,DN_NC_073244.2_18307855_4,DN_NC_073244.2_18356684_4,DN_NC_073244.2_18385030_4,DN_NC_073244.2_18426035_4,DN_NC_073244.2_18470484_4,DN_NC_073244.2_18564507_4,DN_NC_073244.2_18614963_5,DN_NC_073244.2_18649721_4,DN_NC_073244.2_26156853_4,DN_NC_073244.2_8619131_4,DN_NC_073244.2_8680135_4,DN_NC_073244.2_8711681_4,DN_NC_086017.1_50362387_6
DSFAM7	34	1	ZNF	0.875	0.520	0.235	1	family	DN_NC_073244.2_46013405_4,DN_NC_073244.2_69454247_3,DN_NC_073244.2_69454318_2,DN_NC_073244.2_69466443_4,DN_NC_073244.2_69492904_4,DN_NC_073244.2_69514207_2,DN_NC_073244.2_69538312_3,DN_NC_073244.2_69572632_2,DN_NC_073244.2_69572632_3,DN_NC_073244.2_69601170_4,DN_NC_073244.2_69628878_4,DN_NC_073244.2_69672458_4,DN_NC_073244.2_69685698_2,DN_NC_073244.2_69685713_2,DN_NC_073244.2_69685721_4,DN_NC_073244.2_69715659_3,DN_NC_073244.2_69715828_2,DN_NC_073244.2_69783488_3,DN_NC_073244.2_69799604_5,DN_NC_073244.2_69821764_4,DN_NC_073244.2_69848672_3,DN_NC_073244.2_69848694_2,DN_NC_073244.2_69873255_2,DN_NC_073244.2_69910623_3,DN_NC_073244.2_69923242_3,DN_NC_073244.2_69923243_2,DN_NC_073244.2_69974453_2,DN_NC_073244.2_69975553_3,DN_NC_073244.2_70009554_3,DN_NC_073244.2_70024584_5,DN_NC_073244.2_70042341_3,DN_NC_073244.2_70043245_2,DN_NC_073244.2_70501781_3,DN_NC_073244.2_70525717_3
DSFAM8	22	6	ZNF	0.95	0.190	0.231	4	family	DN_NC_073224.2_124008865_3,DN_NC_073224.2_5641112_4,DN_NC_073231.2_130802378_3,DN_NC_073231.2_149140314_3,DN_NC_073240.2_91564233_4,DN_NC_073242.2_36121013_3,DN_NC_073242.2_36238906_2,DN_NC_073242.2_36498381_3,DN_NC_073242.2_6758889_7,DN_NC_073244.2_15172509_7,DN_NC_073244.2_68699723_3,DN_NC_073244.2_68766684_2,DN_NC_073244.2_70205143_2,DN_NC_073244.2_70451371_2,DN_NC_073244.2_70544393_4,DN_NC_073244.2_70556426_4,DN_NC_073244.2_70558480_2,DN_NC_073244.2_70659480_6,DN_NC_086018.1_17871480_5,DN_NC_086018.1_17871581_2,DN_NC_086018.1_18821463_5,DN_NC_086018.1_21231592_2
DSFAM9	21	3	ZNF	1.0	0.581	0.277	0	family	DN_NC_073232.2_71881610_2,DN_NC_073232.2_71881634_2,DN_NC_073232.2_71892021_2,DN_NC_073233.2_13339812_3,DN_NC_073244.2_55426973_9,DN_NC_073244.2_55464824_5,DN_NC_073244.2_55497464_5,DN_NC_073244.2_55516115_5,DN_NC_073244.2_55538420_4,DN_NC_073244.2_55565140_5,DN_NC_073244.2_55585242_5,DN_NC_073244.2_55607411_6,DN_NC_073244.2_55618657_2,DN_NC_073244.2_55626504_5,DN_NC_073244.2_55654796_6,DN_NC_073244.2_55678004_6,DN_NC_073244.2_55771764_5,DN_NC_073244.2_55797441_5,DN_NC_073244.2_55835875_4,DN_NC_073244.2_55899006_4,DN_NC_073244.2_55940471_6
