family_id	n_genes	genes
FAM0	250	ACTR3B,AGAP5,AGAP6,BCO2,BMS1,C2CD4A,C2CD4B,CCDC62,DTX2,EPPK1,FAM25A,FUT3,FUT5,FUT6,HNRNPCL1,KHDC1,LOC101123878,LOC101124683,LOC101124778,LOC101125455,LOC101126289,LOC101126415,LOC101127139,LOC101128351,LOC101128488,LOC101128712,LOC101128844,LOC101129171,LOC101129773,LOC101130248,LOC101130387,LOC101130507,LOC101130526,LOC101130854,LOC101130877,LOC101130894,LOC101130998,LOC101132325,LOC101133657,LOC101134557,LOC101136009,LOC101136021,LOC101136134,LOC101136504,LOC101137060,LOC101137462,LOC101137843,LOC101138622,LOC101139095,LOC101139703,LOC101141027,LOC101141855,LOC101141934,LOC101141990,LOC101142646,LOC101142986,LOC101143345,LOC101143406,LOC101143885,LOC101144261,LOC101144284,LOC101144838,LOC101144966,LOC101145093,LOC101145945,LOC101146186,LOC101147715,LOC101147979,LOC101148340,LOC101148457,LOC101148714,LOC101148834,LOC101151315,LOC101152033,LOC101153126,LOC101154200,LOC109023568,LOC109024418,LOC109024528,LOC109025073,LOC109025190,LOC109027583,LOC109027627,LOC109028162,LOC109028586,LOC115930071,LOC115930131,LOC115931062,LOC115931102,LOC115931109,LOC115931567,LOC115931568,LOC115931576,LOC115931578,LOC115931939,LOC115931947,LOC115932744,LOC115932779,LOC115932781,LOC115932964,LOC115932992,LOC115933039,LOC115933071,LOC115933079,LOC115933167,LOC115933174,LOC115933217,LOC115933283,LOC115933350,LOC115933796,LOC115934041,LOC115934567,LOC115934976,LOC115935376,LOC115935978,LOC115936029,LOC115936058,LOC129523494,LOC129523555,LOC129524559,LOC129524669,LOC129524726,LOC129525002,LOC129525008,LOC129525035,LOC129525050,LOC129525550,LOC129525983,LOC129526381,LOC129526405,LOC129526951,LOC129527151,LOC129527277,LOC129527568,LOC129527592,LOC129527600,LOC129527613,LOC129527636,LOC129527662,LOC129527692,LOC129527720,LOC129527721,LOC129528280,LOC129528439,LOC129528458,LOC129528785,LOC129528916,LOC129528948,LOC129529125,LOC129529411,LOC129529590,LOC129529606,LOC129529611,LOC129529615,LOC129529620,LOC129529625,LOC129529648,LOC129529656,LOC129529657,LOC129529660,LOC129529663,LOC129529664,LOC129530378,LOC129530379,LOC129530383,LOC129530384,LOC129530466,LOC129530487,LOC129530496,LOC129530567,LOC129531693,LOC129533082,LOC129533108,LOC129534573,LOC129534710,LOC134756411,LOC134756435,LOC134756439,LOC134756663,LOC134757253,LOC134757658,LOC134757659,LOC134757796,LOC134757970,LOC134758213,LOC134758221,LOC134758233,LOC134758341,LOC134758529,LOC134758964,LOC134759211,MAB21L3,MCF2L2,MKRN1,NPIPB11,ODF2L,PMS2,PRSS41,RGS20,RPL12,SIGLEC10,SMIM10L1,SNRPA1,SORL1,TIMM23,TIMM23B,TMEM212,TMEM220,TNP1,TOR3A,TRAF5,TRIM56,UGGT2,XK,ZNF136,ZNF141,ZNF20,ZNF254,ZNF429,ZNF430,ZNF440,ZNF443,ZNF486,ZNF506,ZNF563,ZNF564,ZNF585A,ZNF585B,ZNF595,ZNF625,ZNF626,ZNF627,ZNF669,ZNF675,ZNF679,ZNF681,ZNF682,ZNF695,ZNF716,ZNF721,ZNF722,ZNF723,ZNF732,ZNF735,ZNF738,ZNF799,ZNF823,ZNF878,ZNF90,ZNF92
FAM1	114	LMBR1,LOC101124648,LOC101136188,LOC101136743,LOC101144552,LOC101144932,LOC101146296,LOC101147007,LOC101148271,LOC101148643,LOC101148918,LOC101149650,LOC109025131,LOC109027802,LOC115930148,LOC115930151,LOC115931421,LOC115931432,LOC115932637,LOC115933023,LOC115933187,LOC115934622,LOC115936298,LOC115936299,LOC129523553,LOC129523684,LOC129523685,LOC129523687,LOC129523703,LOC129523704,LOC129523817,LOC129523855,LOC129523876,LOC129523881,LOC129523896,LOC129523934,LOC129523959,LOC129524028,LOC129524036,LOC129524260,LOC129524261,LOC129524833,LOC129525023,LOC129525065,LOC129525411,LOC129525421,LOC129525556,LOC129525577,LOC129525579,LOC129525641,LOC129526002,LOC129526003,LOC129526178,LOC129526580,LOC129527370,LOC129527796,LOC129527948,LOC129527979,LOC129528141,LOC129528259,LOC129528719,LOC129528733,LOC129528748,LOC129529231,LOC129530133,LOC129530307,LOC129530539,LOC129531748,LOC129531989,LOC129532017,LOC129532621,LOC129532624,LOC129532627,LOC129532895,LOC129532896,LOC129533126,LOC129533127,LOC129533142,LOC129533288,LOC129533402,LOC129533569,LOC129534177,LOC129534553,LOC129534554,LOC129534569,LOC129534570,LOC129534780,LOC129534781,LOC134756357,LOC134756440,LOC134756488,LOC134756800,LOC134757481,LOC134758032,LOC134758127,LOC134758128,LOC134758129,LOC134758136,LOC134758137,LOC134758144,LOC134758397,LOC134758407,LOC134758802,LOC134758922,LOC134759133,LOC134759134,LOC134759135,LOC134759136,LOC134759270,NDUFA8,PGM5,RHBDF1,SH3KBP1,SLC35F5
FAM2	72	ABCD1,KMT2C,LOC101129069,LOC101134946,LOC101135732,LOC101136771,LOC115930406,LOC129523572,LOC129524470,LOC129524472,LOC129524600,LOC129524654,LOC129524656,LOC129524659,LOC129524661,LOC129524662,LOC129524667,LOC129526251,LOC129526385,LOC129526391,LOC129526398,LOC129526431,LOC129526471,LOC129526957,LOC129527283,LOC129528163,LOC129528187,LOC129528194,LOC129528196,LOC129528228,LOC129528441,LOC129528443,LOC129528445,LOC129528447,LOC129528448,LOC129528452,LOC129528453,LOC129528460,LOC129528462,LOC129528463,LOC129528465,LOC129528467,LOC129529380,LOC129529382,LOC129529385,LOC129529646,LOC129530304,LOC129530391,LOC129530398,LOC129530470,LOC129530485,LOC129530491,LOC129530492,LOC129530495,LOC129530498,LOC129530544,LOC129530564,LOC129530569,LOC129530571,LOC129531453,LOC134756432,LOC134756446,LOC134756703,LOC134756947,LOC134757041,LOC134757054,LOC134757216,LOC134757222,LOC134757319,LOC134757391,TMEM128,TPTE2
FAM3	47	LHB,LOC101123748,LOC101124600,LOC101154318,LOC109024055,LOC129526101,LOC129526102,LOC129526103,LOC129526104,LOC129526109,LOC129526113,LOC129526120,LOC129526121,LOC129526127,LOC129526131,LOC129526152,LOC129526155,LOC129526156,LOC129526157,LOC129526203,LOC129526207,LOC129526208,LOC129526209,LOC129526210,LOC129528600,LOC129528601,LOC129528604,LOC129528606,LOC129528608,LOC129528610,LOC129528611,LOC129528613,LOC129528614,LOC129528615,LOC129528616,LOC129528617,LOC129528618,LOC129528619,LOC129528620,LOC129528621,LOC129528622,LOC129528623,LOC129528624,LOC129528625,LOC134756380,LOC134757023,LOC134757024
FAM4	45	LOC101126783,LOC101127524,LOC129524344,LOC129524346,LOC129524347,LOC129524348,LOC129524349,LOC129524350,LOC129524351,LOC129524352,LOC129524353,LOC129524393,LOC129524394,LOC129524397,LOC129524399,LOC129524400,LOC129533206,LOC129533209,LOC129533212,LOC129533214,LOC129533215,LOC129533217,LOC129533219,LOC129533220,LOC129533221,LOC129533222,LOC129533223,LOC129533224,LOC129533225,LOC134758236,LOC134758981,LOC134758982,LOC134758983,LOC134758989,LOC134758990,LOC134758991,LOC134758993,LOC134758995,LOC134758996,LOC134759008,LOC134759009,LOC134759010,LOC134759057,LOC134759084,LOC134759085
FAM5	45	LOC101123968,LOC101128508,LOC115932853,LOC115932855,LOC129523578,LOC129532360,LOC129532377,LOC129532378,LOC129532381,LOC129532382,LOC129532414,LOC129532416,LOC129532417,LOC129532418,LOC129532419,LOC129532420,LOC129532421,LOC129532423,LOC129532425,LOC129532809,LOC129532810,LOC129532811,LOC129532813,LOC129532815,LOC129532817,LOC129532818,LOC129532820,LOC129532826,LOC129532828,LOC129532829,LOC129532831,LOC134757997,LOC134757998,LOC134757999,LOC134758000,LOC134758001,LOC134758002,LOC134758003,LOC134758004,LOC134758005,LOC134758006,LOC134758007,LOC134758008,LOC134758245,LOC134758385
FAM6	34	FAM90A1,LOC101126312,LOC101130785,LOC115934340,LOC129524355,LOC129524356,LOC129524357,LOC129524358,LOC129524359,LOC129524360,LOC129524361,LOC129524362,LOC129524363,LOC129524364,LOC129524365,LOC129524366,LOC129524367,LOC129524368,LOC129524369,LOC129524370,LOC129524371,LOC129524372,LOC129524373,LOC129524376,LOC134758998,LOC134758999,LOC134759000,LOC134759001,LOC134759002,LOC134759003,LOC134759004,LOC134759005,LOC134759006,LOC134759007
FAM7	32	LOC115931231,LOC115931232,LOC129527865,LOC129527866,LOC129527868,LOC129527871,LOC129527874,LOC129527881,LOC129527886,LOC129527888,LOC129527890,LOC129527892,LOC129527896,LOC129527897,LOC129527898,LOC129527899,LOC129527901,LOC129527909,LOC129527910,LOC129527912,LOC134757555,LOC134757556,LOC134757557,LOC134757558,LOC134757559,LOC134757560,LOC134757561,LOC134757562,LOC134757563,LOC134757567,LOC134757613,LOC134757618
FAM8	29	DBNL,LOC101125919,LOC101126771,LOC101129811,LOC101130521,LOC101132319,LOC101136273,LOC101136868,LOC101146750,LOC115931291,LOC115931292,LOC115931293,LOC115932796,LOC115933184,LOC115933216,LOC115935261,LOC115935262,LOC115935268,LOC115935290,LOC115935297,LOC115935416,LOC129523901,LOC134757578,LOC134757579,LOC134757580,LOC134757581,LOC134757582,LOC134757583,SPDYE3
FAM9	29	LOC101133718,LOC101139117,LOC101141137,LOC101141138,LOC101141509,LOC101141880,LOC101142266,LOC101142645,LOC101142996,LOC101142999,LOC101143363,LOC101146167,LOC101146516,LOC101146864,LOC109024060,LOC109028725,LOC109028727,LOC115930437,LOC115933961,LOC129524489,LOC129525464,LOC129528913,LOC129528915,LOC129532776,LOC134756942,LOC134757181,LOC134759322,OR7D1,SMIM41
