chrom	start	end	member	famID	primary_reads
chr1	152393	205163	AL669831.1	ID_35	770
chr1	16352796	16368125	MST1L	ID_393	87
chr1	16566523	16571192	MST1P2	ID_393	270
chr1	103465755	103474647	AMY2A	ID_131	19
chr1	103504154	103513416	AMY1A	ID_131	164
chr1	103516936	103517135	AC105272.1	ID_131	4
chr1	103630425	103639464	AMY1B	ID_131	168
chr1	103750861	103757011	AMYP1	ID_131	11
chr1	103787543	103795829	AMY1C	ID_131	228
chr1	119924808	120114044	NOTCH2	ID_400	3745
chr1	120164163	120189787	SEC22B	ID_448	1197
chr1	120210345	120332947	AC244669.2	ID_215	64
chr1	120280596	120355138	AC244669.1	ID_212	56
chr1	120503158	120714510	AC241952.1	ID_215	537
chr1	120737163	120807117	NOTCH2NLR	ID_400	13
chr1	120737166	120851508	NBPF26	ID_400	119
chr1	120899120	120899781	PPIAL4A	ID_431	0
chr1	120973035	120986976	AC241377.4	ID_212	53
chr1	120995080	121061551	AC241377.2	ID_211	307
chr1	121096726	121106544	FCGR1B	ID_357	22
chr1	121117591	121126640	H2BP1	ID_226	43
chr1	121127576	121127993	H3P4	ID_226	13
chr1	121177004	121194903	FAM72B	ID_354	298
chr1	121194173	121402237	SRGAP2C	ID_462	867
chr1	142491733	142492317	AC239859.5	ID_24	8
chr1	142533330	142570879	AC239859.4	ID_22	20
chr1	142817363	142832784	AC239800.1	ID_212	203
chr1	142883385	142897871	AC239798.1	ID_211	26
chr1	142946822	142955600	FCGR1CP	ID_357	23
chr1	142966564	142977985	H3-2	ID_226	35
chr1	143027383	143043986	FAM72C	ID_354	86
chr1	143047107	143140349	SRGAP2D	ID_462	273
chr1	143472956	143473742	PPIAL4F	ID_431	2
chr1	143591826	143594083	AC246785.1	ID_213	1
chr1	143692933	143693719	PPIAL4E	ID_431	0
chr1	143760914	143779230	FP700107.1	ID_22	24
chr1	144012010	144220236	SRGAP2B	ID_462	731
chr1	144220682	144237402	FAM72D	ID_354	184
chr1	144264691	144273083	AC241585.3	ID_211	33
chr1	144366357	144366853	PPIAL4D	ID_431	5
chr1	144624326	144625491	AC239860.2	ID_215	89
chr1	144625929	144637478	AC239860.1	ID_215	89
chr1	145263046	145345902	NOTCH2NLA	ID_400	1403
chr1	145439433	145451394	SEC22B3P	ID_448	29
chr1	145474975	145714337	PDE4DIP	ID_215	825
chr1	145768949	145779518	AC239804.2	ID_213	22
chr1	145855639	145979396	AC245297.1	ID_215	226
chr1	146003303	146015266	SEC22B2P	ID_448	10
chr1	146108307	146215315	NOTCH2NLB	ID_400	3989
chr1	146347679	146348727	AC245100.8	ID_212	84
chr1	146572932	146573150	AC239809.1	ID_213	5
chr1	146713522	146726811	PDE4DIPP1	ID_215	25
chr1	148346520	148348932	AC245407.1	ID_213	8
chr1	148519505	148596912	NOTCH2NLC	ID_400	639
chr1	148708008	148708609	PPIAL4C	ID_431	0
chr1	148730482	148829853	LINC00869	ID_212	460
chr1	148800985	148871935	AC243772.3	ID_211	341
chr1	148906815	148916660	FCGR1A	ID_357	101
chr1	148906833	148936508	H2BC18	ID_226	223
chr1	148937358	148937828	H3C13	ID_226	29
chr1	205450359	205468600	FAM72A	ID_354	407
chr1	205466058	205728625	SRGAP2	ID_462	1328
chr1	221743930	221753495	AL592148.2	ID_35	18
chr1	223141181	223182346	GTF2IP20	ID_35	627
chr1	242467318	242512761	LINC01347	ID_35	275
chr2	86863741	86914950	ANAPC1P1	ID_63	43
chr2	86909901	87019191	RGPD1	ID_395	1834
chr2	87037033	87058220	ANAPC1P2	ID_63	231
chr2	87123762	87126211	ANAPC1P3	ID_63	3
chr2	87130427	87202282	AC083899.1	ID_63	118
chr2	87712968	87750095	ANAPC1P4	ID_63	80
chr2	87767939	87837964	RGPD2	ID_395	5628
chr2	87992304	88004460	ANAPC1P5	ID_63	17
chr2	89538522	89556925	AC006453.1	ID_22	49
chr2	90105022	90147871	LSP1P5	ID_24	186
chr2	90228191	90245534	AC006453.4	ID_26	13
chr2	91806874	91849698	LSP1P4	ID_24	161
chr2	91875827	91904480	AC027612.2	ID_22	7
chr2	97950885	98048181	ANKRD36B	ID_251	4361
chr2	106852051	106929839	RGPD3	ID_395	1374
chr2	106932223	106939096	AC097527.1	ID_63	11
chr2	108288410	108354099	RGPD4	ID_395	866
chr2	108994973	109147842	LIMS1	ID_386	1224
chr2	110869109	110895544	LIMS4	ID_386	428
chr2	110936275	111001638	RGPD5	ID_395	5442
chr2	112037440	112311134	ANAPC1	ID_63	1336
chr2	112795143	112861095	RGPD8	ID_395	2436
chr2	114013234	114023720	WASH2P	ID_391	176
chr2	114023720	114025947	DDX11L2	ID_332	141
chr2	130441675	130470147	FAR2P1	ID_65	3185
chr2	130478035	130479051	CYP4F27P	ID_65	820
chr2	130850654	130865267	FAR2P2	ID_65	1247
chr2	130863729	130875321	CYP4F62P	ID_65	471
chr2	131114190	131120019	CYP4F30P	ID_65	367
chr2	131124287	131152985	FAR2P3	ID_65	1278
chr2	131713789	131743753	FAR2P4	ID_65	2164
chr3	95668991	95671638	AC119751.3	ID_141	133
chr3	198342015	198343130	AC233280.19	ID_146	12
chr3	198403551	198444967	AC124944.2	ID_146	871
chr3	200883047	200954215	FAM157A	ID_35	396
chr3	201079783	201097278	WASH8P	ID_391	538
chr4	121896771	121939030	AC110079.1	ID_35	683
chr4	122710627	122759756	GTF2IP12	ID_35	390
chr5	21350028	21696579	GUSBP1	ID_163	6974
chr5	70432873	70449844	NAIPP1	ID_399	66
chr5	70465243	70505040	GUSBP3	ID_163	916
chr5	70679155	70725182	AC131392.1	ID_163	1560
chr5	70774918	70792685	NAIPP2	ID_399	255
chr5	70901860	70902156	CDH12P1	ID_313	188
chr5	71208720	71252673	GUSBP16	ID_163	2083
chr5	71424929	71482091	NAIP	ID_399	547
chr5	71559603	71585455	NAIPP4	ID_399	310
chr5	71589693	71589989	CDH12P3	ID_313	225
chr5	71701647	71740552	AC146949.1	ID_163	3467
chr5	176604120	176659690	FAM153B	ID_182	1860
chr5	178251444	178327488	FAM153A	ID_182	1405
chr5	181851743	181855644	AC008443.6	ID_35	69
chr6	26739835	26824933	GUSBP2	ID_163	1835
chr7	44156261	44168507	SPDYE1	ID_207	337
chr7	66290271	66306356	GTF2IP14	ID_208	287
chr7	66995739	67024210	GTF2IP5	ID_208	411
chr7	68498461	68506406	SPDYE21	ID_207	100
chr7	68507281	68522154	PMS2P4	ID_8	125
chr7	74091027	74099848	SPDYE7P	ID_207	47
chr7	74107538	74179670	POM121	ID_12	1150
chr7	74175809	74183019	NSUN5P2	ID_407	783
chr7	74187708	74197691	TRIM74	ID_407	105
chr7	74233765	74249332	PMS2P7	ID_8	713
chr7	74265295	74269589	PMS2P11	ID_8	395
chr7	74276649	74286089	SPDYE17	ID_207	339
chr7	74293709	74305513	PMS2P6	ID_8	330
chr7	74304323	74311264	SPDYE10P	ID_207	171
chr7	74420835	74436153	NCF1B	ID_402	15
chr7	74442956	74480301	GTF2IRD2P1	ID_374	44
chr7	75852514	75962984	GTF2I	ID_208	2681
chr7	75976253	75991692	NCF1	ID_402	44
chr7	75998458	76053859	GTF2IRD2	ID_374	320
chr7	76096419	76100140	PMS2P5	ID_8	103
chr7	76108976	76115619	SPDYE12P	ID_207	102
chr7	76167037	76233789	CASTOR2	ID_208	149
chr7	76296514	76353770	GTF2IRD2B	ID_374	363
chr7	76360590	76375995	NCF1C	ID_402	17
chr7	76389248	76441615	GTF2IP1	ID_208	664
chr7	76510544	76520418	SPDYE9	ID_207	114
chr7	76538561	76548009	SPDYE8	ID_207	86
chr7	76568351	76574235	SPDYE13	ID_207	64
