locus	near_family	n_genomic_paralog_loci	n_chroms	best_soto_id	best_soto_cov	best_soto_family	class
chr1:16278523-16283903	ID_393	3	1	0.832	0.28	ID_393	partial/divergent Soto member (ID_393)
chr1:16478340-16479683	ID_393	3	1	0.945	0.99	ID_393	Soto-family copy (ID_393)
chr1:16560385-16565766	ID_393	3	1	0.845	0.28	ID_393	partial/divergent Soto member (ID_393)
chr1:120449518-120478614	ID_215	3	1	0.869	0.78	ID_400	Soto-family copy (ID_400)
chr1:145834600-145840160	ID_215	6	1	0.946	1.0	ID_212	Soto-family copy (ID_212)
chr1:148601552-148620972	ID_400	2	1	0.7	1.32	ID_400	non-Soto real copy (has paralog)
chr15:20812032-20814214	ID_113	2	1	0.998	0.76	ID_116	Soto-family copy (ID_116)
chr15:21025273-21028497	ID_116	5	1	0.948	0.6	ID_71	Soto-family copy (ID_71)
chr15:28174361-28187051	ID_68	4	1	0.979	0.98	ID_179	Soto-family copy (ID_179)
chr5:70456936-70462706	ID_163	4	1	0.809	1.0	ID_163	Soto-family copy (ID_163)
chr5:181864358-181868568	ID_35	8	8	0.979	1.0	ID_35	Soto-family copy (ID_35)
chr5:181881697-181906746	ID_35	6	6	0.929	0.39	ID_35	partial/divergent Soto member (ID_35)
chr7:76085482-76092920	ID_8	1	1	1.0	0.01	ID_245	non-Soto single-copy locus
chr9:77863432-77881287	ID_104	5	1	0.944	1.0	ID_280	Soto-family copy (ID_280)
chr9:77896718-77916227	ID_260	4	1	0.958	1.0	ID_280	Soto-family copy (ID_280)
chr9:77917188-77922776	ID_260	4	1	0.98	1.0	ID_280	Soto-family copy (ID_280)
chr9:77926044-77949112	ID_260	4	1	0.949	1.0	ID_280	Soto-family copy (ID_280)
chr9:150545078-150568219	ID_35	8	8	0.739	0.34	ID_35	non-Soto real copy (has paralog)
