fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL117_073244	3	exit=0	26	16	1	9	20	14	14	6	2	0.66	159	0
fam_MCL122_073244	2	exit=0	7	0	0	7	7	0	0	0	0	0.26	159	1
fam_MCL124_073244	3	exit=0	468	134	284	50	468	134	134	0	0	3.42	190	0
fam_MCL15_073242	3	exit=0	3	3	0	0	1	1	1	2	2	3.93	340	3
fam_MCL1_073242	22	exit=0	1002	480	65	457	531	301	301	471	179	70.14	1673	1
fam_MCL226_073244	2	exit=0	678	410	43	225	677	410	410	1	0	2.38	159	0
fam_MCL22_073242	4	exit=0	82	4	65	13	79	3	3	3	1	0.98	257	2
fam_MCL235_073244	2	exit=0	115	5	106	4	115	5	5	0	0	4.94	513	0
fam_MCL236_073244	2	exit=0	50	0	50	0	50	0	0	0	0	0.96	176	0
fam_MCL24_073244	3	exit=0	60	6	43	11	57	5	5	3	1	1.1	535	0
fam_MCL2_073244	2	exit=0	3	2	0	1	3	2	2	0	0	0.3	159	0
fam_MCL32_073242	3	exit=0	111	3	106	2	111	3	3	0	0	3.19	277	0
fam_MCL34_073242	3	exit=0	19	18	0	1	15	14	14	4	4	0.27	257	0
fam_MCL36_073244	3	exit=0	47	24	20	3	47	24	24	0	0	0.57	159	2
fam_MCL37_073244	5	exit=0	575	321	19	235	575	321	321	0	0	33.07	1463	0
fam_MCL42_073242	3	exit=0	383	170	197	16	383	170	170	0	0	1.62	257	0
fam_MCL43_073244	5	exit=0	713	228	448	37	713	228	228	0	0	45.78	869	0
fam_MCL44_073244	4	exit=0	704	60	592	52	624	24	24	80	36	8.02	311	2
fam_MCL4_073244	15	exit=0	1618	1063	210	345	1618	1063	1063	0	0	124.06	2121	0
fam_MCL51_073242	4	exit=0	481	62	266	153	444	61	61	37	1	8.07	1265	0
fam_MCL54_073242	4	exit=0	779	299	20	460	594	232	232	185	67	11.34	338	3
fam_MCL58_073242	3	exit=0	421	19	354	48	324	0	0	97	19	3.13	972	2
fam_MCL65_073244	2	exit=0	94	0	92	2	93	0	0	1	0	32.55	752	0
fam_MCL67_073242	2	exit=0	183	170	0	13	183	170	170	0	0	1.03	257	0
fam_MCL68_073242	3	exit=0	9	3	0	6	9	3	3	0	0	0.31	257	0
fam_MCL6_073244	7	exit=0	1396	643	435	318	1396	643	643	0	0	176.96	2012	0
fam_MCL71_073244	2	exit=0	17	0	13	4	17	0	0	0	0	0.2	159	1
fam_MCL7_073242	11	exit=0	696	252	70	374	601	232	232	95	20	35.12	1148	5
fam_MCL86_073242	3	exit=0	1048	740	2	306	1012	727	727	36	13	9.11	431	0
fam_MCL87_073242	2	exit=0	1025	916	9	100	1017	913	913	8	3	6.05	257	0
fam_MCL88_073242	3	exit=0	2364	1991	0	373	2347	1982	1982	17	9	29.38	611	3
fam_MCL89_073242	2	exit=0	7	3	0	4	7	3	3	0	0	0.5	257	2
fam_MCL8_073244	3	exit=0	12	1	3	8	12	1	1	0	0	0.7	257	0
fam_MCL94_073242	2	exit=0	1069	837	86	146	1066	837	837	3	0	8.97	257	0
fam_MCL96_073242	3	exit=0	1006	747	31	228	897	717	717	109	30	24.96	1094	3
