family_id	n_genes	n_loci	n_contigs	cross_chrom	density	biotype_purity	repeat_mosaic	dom_biotype	compara_paralog	genes
GRFAM0	189	187	9	1	0.326	0.873	0	protein_coding	0	LOC101134637,LOC134756699,LOC129530544,LOC129530543,LOC134756700,LOC129526957,LOC129531742,LOC134756703,LOC115933174,LOC129524653,LOC129524654,LOC129524656,LOC129524426,LOC129524657,LOC129524658,LOC129524659,LOC129524661,LOC129524662,LOC129524663,LOC134756925,LOC129524664,LOC129524600,LOC129524667,LOC129524668,LOC129524669,LOC129524670,LOC129524470,LOC129524472,LOC101139703,LOC134757036,LOC129530466,LOC129530464,LOC129530468,LOC134757054,LOC134756947,LOC134757055,LOC129529380,LOC129528187,LOC134756949,LOC129526951,LOC129526385,LOC129526379,LOC129526378,LOC129526404,LOC129526405,LOC134757073,LOC129526398,LOC129526135,TPTE2,LOC129526136,MPHOSPH8,SLC25A15,LOC109029455,LOC129526252,LOC129526251,LOC101135732,LOC134757319,LOC134757216,LOC115933429,LOC129523572,LOC115933428,LOC134757227,LOC129528439,LOC129528440,LOC129528441,LOC129528443,LOC134757392,LOC129528175,LOC129528444,LOC129528445,LOC129528447,LOC129528448,LOC129528449,LOC134757413,LOC129528193,LOC129528199,LOC129528196,LOC129528194,LOC129528452,LOC129528453,LOC129528455,LOC134757412,LOC134757414,LOC129528228,LOC129528458,LOC129528459,LOC129528460,LOC134757390,LOC129528462,LOC129528463,LOC134757415,LOC129528464,LOC129528161,LOC129528163,LOC129528465,LOC129528466,LOC129528467,LOC129528469,LOC134757391,LOC129530501,LOC129530470,LOC129530498,LOC129530497,LOC129530502,LOC129530496,LOC115932761,LOC129530495,LOC129530571,LOC129530564,LOC129530565,LOC129530567,LOC129530568,LOC129530569,LOC129530492,LOC129530491,LOC129530485,LOC129530486,LOC129530487,LOC129530488,LOC134756416,LOC129529381,LOC129529284,LOC129529382,LOC129529383,LOC109024528,LOC129529384,LOC129529286,LOC129529385,LOC129529387,LOC134757887,LOC129529289,LOC129529307,LOC101129069,LOC129529646,LOC129529421,LOC129529477,LOC129529647,LOC129529426,LOC129529427,LOC129529648,LOC129529649,USP18,LOC134756411,LOC101123878,LOC129529560,LOC129529656,LOC134758233,LOC129529657,DGCR6,PRODH,LOC115931957,DGCR6L,LOC129529660,LOC129529661,ZNF74,LOC129529663,LOC101130998,LOC129529590,LOC129529592,LOC129529664,LOC129529591,LOC101150852,LOC115931939,LOC134758221,LOC115931912,LOC115931911,LOC115931947,GGT1,LOC129529620,LOC129529625,LOC129529628,LOC129529615,LOC134758213,LOC134757963,LOC129530411,LOC129530378,LOC129530304,LOC129530379,LOC129530380,LOC129530398,LOC129530391,LOC129530392,LOC129530393,LOC129530394,LOC129530400,LOC129530382,LOC129530289,LOC129530383,LOC129530384
GRFAM1	89	87	7	1	0.241	0.787	0	protein_coding	0	LOC109026064,LOC101140842,GOLGA2,LOC101138059,LOC109023386,LOC101150678,LOC129527057,LOC101145660,LOC129527068,LOC115933516,LOC129527171,LOC129527071,LOC129527072,LOC115930826,LOC115930875,LOC129527167,LOC101153918,LOC134757232,LOC134757233,LOC129527165,LOC134757362,LOC115930774,LOC101151050,LOC115930831,GOLGA6L7,LOC129527170,LOC129527169,LOC115933315,LOC115933515,LOC115930830,LOC129527175,LOC134756434,LOC134757309,LOC129527302,LOC129527019,LOC129527017,LOC129527020,LOC115930778,LOC134757235,LOC134757307,LOC129527177,LOC134757308,LOC129527021,LOC129527024,LOC101135389,LOC129527176,LOC134757310,LOC115930779,LOC129527023,LOC101149363,LOC101131916,LOC129527209,LOC115930816,LOC129527210,LOC101133389,LOC109023367,LOC115930772,LOC101147924,ISLR2,LOC115930818,LOC109023457,COMMD4,LOC115930789,UBE2Q2,LOC115930844,LOC129527158,LOC101142488,LOC101139171,LOC134757271,LOC134757277,GOLGA6L10,LOC129526914,WHAMM,LOC115930840,LOC115932861,LOC101149595,LOC129523549,LOC101149954,LOC101138066,LOC129523543,LOC129527222,LOC101139904,LOC101140620,LIPG,LOC101137572,LOC115931294,LOC134757625,LOC101137218,LOC129529533
GRFAM2	79	79	1	0	0.995	1.000	0	tRNA	0	TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC,TRNAE-CUC,TRNAG-GCC,TRNAL-CAG,TRNAD-GUC,TRNAG-UCC
GRFAM3	78	78	12	1	0.538	0.692	0	rRNA	0	LOC129531470,LOC129523454,LOC115935411,LOC101153430,TUBB8,LOC115933312,LOC115932754,LOC129526253,LOC115931793,LOC115933228,LOC115932962,LOC109025051,LOC129529219,LOC115932837,LOC129530473,LOC134757880,LOC129530478,LOC129530474,LOC134757864,LOC129531215,LOC129530968,LOC129530483,LOC134757875,LOC129531102,LOC129531107,LOC129531103,LOC129531221,LOC129531110,LOC129530841,LOC129530608,LOC129531101,LOC129530687,LOC129531268,LOC129530750,LOC129531087,LOC129530514,LOC129530505,LOC129530518,LOC129531232,LOC129531074,LOC129531071,LOC129531067,LOC129531073,LOC129531234,LOC129531066,LOC129531238,LOC129531233,LOC129531231,LOC129531239,LOC129531049,LOC129530508,LOC134757894,LOC129530516,LOC129530558,LOC129530554,LOC129530550,LOC101143142,LOC115933411,LOC129530555,LOC129530960,LOC129531352,LOC129531127,LOC129530820,LOC129530510,LOC129531078,LOC129531288,LOC129530975,LOC129531241,LOC129530831,LOC129530862,LOC129530861,LOC129530858,LOC129529425,LOC129529667,LOC129529668,LOC129529666,LOC129529423,LOC109024802
GRFAM4	70	70	1	0	0.913	1.000	0	rRNA	0	LOC129529895,LOC129529894,LOC129529889,LOC129529942,LOC129529941,LOC129529994,LOC129529893,LOC129529992,LOC129529934,LOC129529975,LOC129529933,LOC129529931,LOC129529927,LOC129529926,LOC129529991,LOC129529922,LOC129529972,LOC129529921,LOC129529970,LOC129529959,LOC129529879,LOC129529958,LOC129529878,LOC129529877,LOC129529875,LOC129529957,LOC129529872,LOC129529871,LOC129529870,LOC129529869,LOC129529858,LOC129529855,LOC129529850,LOC129529847,LOC129529846,LOC129529859,LOC129529954,LOC129529841,LOC129529899,LOC129529839,LOC134758072,LOC134758093,LOC129529831,LOC129529948,LOC129529953,LOC129529823,LOC129529821,LOC129529818,LOC129529817,LOC129529815,LOC129529814,LOC129529812,LOC129529809,LOC129529808,LOC129529803,LOC129529826,LOC129529801,LOC129529799,LOC129529796,LOC129529792,LOC129529791,LOC129529788,LOC129529787,LOC129529786,LOC129529783,LOC129529776,LOC129529772,LOC129529766,LOC129529764,LOC129529763
GRFAM5	66	66	13	1	0.381	0.788	0	protein_coding	0	LOC129532799,LOC129532803,LOC115934343,FRG1,CDK2AP2,LOC101149340,LOC129532220,LOC129532222,LOC109028415,LOC109024803,LOC101135223,LOC115932789,LOC101127159,LOC129532224,LOC129531947,LOC129526469,LOC115932907,LOC129526375,LOC129527278,LOC129531431,LOC115932939,LOC115933238,LOC109028351,LOC129524570,LOC129524675,LOC129524556,LOC129527191,LOC134757038,LOC134757039,LOC129526409,LOC129526395,LOC129526400,LOC129526401,LOC101144369,LOC129526714,LOC129526550,LOC129526551,LOC129526552,LOC129526568,LOC129526569,LOC129526554,LOC101126792,LOC129527275,LOC134757217,LOC115932909,LOC129527198,LOC129526976,LOC115932905,LOC129528236,LOC115931713,LOC129529220,LOC115933219,LOC101142904,LOC129529391,LOC129529333,LOC129529294,LOC129530552,LOC129529435,LOC129529434,LOC101125723,LOC129529639,LOC129529652,LOC129529671,LOC129529548,LOC129529430,LOC129530429
GRFAM6	60	60	2	1	0.631	0.900	0	protein_coding	0	LOC129532360,LOC101128508,LOC129532378,LOC129532381,LOC129532382,LOC129532414,LOC129532419,LOC129532420,LOC129523578,LOC129532425,LOC134757997,LOC129532423,LOC129532421,LOC129532417,LOC134757998,LOC134757999,LOC129532377,LOC134758000,LOC134758001,LOC134758002,LOC134758003,LOC134758004,LOC134758005,LOC134758006,LOC134758007,LOC134758008,LOC129532418,FRG2C,LOC134758245,LOC134758394,LOC129532822,LOC129532824,LOC129532820,LOC129532847,LOC129532832,LOC129532845,LOC129532826,LOC115932853,LOC129532809,LOC129532828,LOC129532810,LOC129532811,LOC134758385,LOC129532817,LOC129532813,LOC129532416,LOC129532818,LOC129532815,LOC115932855,LOC101123968,LOC115932854,LOC129532831,LOC134758395,LOC101149396,LOC129532846,LOC134758387,LOC129532829,LOC129532843,LOC129532823,LOC129532821
GRFAM7	57	57	4	1	0.769	1.000	0	protein_coding	0	LOC129533220,LOC129533217,LOC129533219,LOC129533215,LOC129533212,LOC129533214,LOC129533206,LOC129533209,LOC129533222,LOC129533225,LOC129533224,LOC129533223,LOC129533221,LOC134758236,LOC129524400,LOC129524399,LOC101143900,LOC115934310,LOC134758981,LOC134759084,LOC134758982,LOC134758983,LOC134758989,LOC134758990,LOC134758991,LOC134759085,LOC134758993,LOC129524393,LOC134758995,LOC129524394,LOC129524397,LOC134758996,LOC129524347,LOC129524346,LOC101126783,LOC134759057,ZNF705D,LOC115935600,DEFB130B,DEFB131A,LOC101128182,LOC134759008,LOC134759009,LOC129524348,LOC129524349,LOC129524350,LOC129524352,LOC129524353,LOC129524344,LOC129524351,LOC134759010,LOC115932960,LOC101127524,ZNF705EP,XNDC1N,DEFB108B,ZNF705A
GRFAM8	53	53	13	1	0.361	0.679	0	protein_coding	1	LOC129532372,LOC129525414,LOC134758032,LOC134758556,LOC129532991,LOC129533142,LOC134758284,LOC129532905,LOC129523511,LOC129532857,LOC101149305,LOC134758396,LOC134758397,LOC129524138,LOC101149650,LOC134758469,LOC129524115,LOC134756389,LOC134759138,LOC129524105,LOC129524107,LOC134759048,LOC129529378,LOC129528733,LOC129525411,LOC129531750,LOC129531995,LOC129531989,LOC129531996,FOXD4L1,RABL2A,LOC129530539,LOC101142515,LOC129523468,LOC134756825,LOC129524108,LOC129524260,LOC129533139,LOC129524612,LOC109025812,LOC129528385,LOC129528259,LOC129525442,LOC129527457,LOC134757770,LOC129528989,LOC129529096,RABL2B,LOC129530138,LOC101142457,LOC115932822,LOC129532896,LOC129529932
GRFAM9	53	53	6	1	0.341	0.887	0	protein_coding	0	TLK2,LOC101139046,METTL2A,LOC134758421,LOC101144823,LOC115931276,LOC101137229,LOC109023127,METTL2B,LOC129534624,LOC129527970,LOC115933170,LOC109023877,LOC115933270,LOC115932887,LOC134757612,GGTLC1,LOC129529024,LOC129529582,LOC129529581,LOC129529588,LOC129529600,LOC129529598,GGTLC2,LOC109024567,LOC101149491,LOC101126655,LOC115932815,LOC129529613,LOC129523490,LOC129529633,LOC129529634,LOC134756364,LOC115931970,LOC129529618,LOC134756365,LOC129529612,LOC101135843,LOC129529623,LOC129529621,LOC129529614,LOC101126658,LOC129529626,LOC129529624,LOC101129569,LOC115932925,LOC101149759,LOC115931980,LOC115931971,LOC109024570,LOC115931972,LOC115931945,LOC134758214
