cluster_id	merged_unit_member	into_member
MCL6	NC_073244.2:27053901-27075031	NC_073244.2:26994355-27200853
MCL6	NC_073244.2:27131190-27170023	NC_073244.2:26994355-27200853
MCL9	NC_073244.2:27408489-27438244	NC_073244.2:27404674-27451044
MCL24	NC_073244.2:54751857-54770675	NC_073244.2:54728480-54812697
MCL30	NC_073244.2:29667781-29703675	NC_073244.2:29647108-29814839
MCL65	NC_073244.2:28017258-28101602	NC_073244.2:28029913-28032971
MCL68	NC_073242.2:101542868-101544270	NC_073242.2:101530134-101550687
MCL76	NC_073241.2:50783578-50852946	NC_073241.2:50498942-50864135
MCL78	NC_073241.2:64810652-64940697	NC_073241.2:64914419-64959934
MCL78	NC_073241.2:64889182-64905688	NC_073241.2:64914419-64959934
MCL108	NC_073242.2:114236389-114281946	NC_073242.2:113141312-114305567
MCL108	NC_073242.2:114298779-114315830	NC_073242.2:113141312-114305567
MCL115	NC_073244.2:29046962-29078872	NC_073244.2:29058024-29111631
MCL122	NC_073244.2:62279556-62290607	NC_073244.2:62275368-62299772
MCL147	NC_073241.2:54172402-54195135	NC_073241.2:54006192-54180556
MCL150	NC_073241.2:65217761-65295341	NC_073241.2:65199958-65238686
MCL155	NC_073241.2:78334261-78744292	NC_073241.2:78314103-78338934
MCL158	NC_073241.2:87882747-87992852	NC_073241.2:87812284-87958856
MCL163	NC_073241.2:99053889-99100454	NC_073241.2:98750202-99187976
MCL170	NC_073242.2:5868678-5878586	NC_073242.2:5870135-5885436
MCL174	NC_073242.2:19397727-19403338	NC_073242.2:19355511-19497981
MCL188	NC_073242.2:36592344-36612135	NC_073242.2:36543909-36611135
MCL201	NC_073242.2:76351341-76371794	NC_073242.2:76208472-76513419
MCL203	NC_073242.2:79104672-79113058	NC_073242.2:79094697-79106625
MCL206	NC_073242.2:87336290-87346839	NC_073242.2:87297260-87337419
MCL209	NC_073242.2:95678781-95692274	NC_073242.2:95636382-95689999
MCL211	NC_073242.2:98582470-98615610	NC_073242.2:98566087-98595779
MCL220	NC_073244.2:8680211-8700313	NC_073244.2:8697047-8723750
MCL229	NC_073244.2:18939575-18960677	NC_073244.2:18931594-18940465
MCL231	NC_073244.2:21555890-21558053	NC_073244.2:21546722-21557594
MCL233	NC_073244.2:23014722-23067719	NC_073244.2:23011888-23018376
MCL238	NC_073244.2:41965203-41977339	NC_073244.2:41918204-42120718
MCL239	NC_073244.2:43716556-43729618	NC_073244.2:43721271-43743268
MCL244	NC_073244.2:48065117-48093085	NC_073244.2:48031822-48079355
MCL254	NC_073244.2:58190507-58205628	NC_073244.2:58202481-58245329
MCL257	NC_073244.2:62702298-62729268	NC_073244.2:62662901-62723406
MCL262	NC_073244.2:63979008-63993515	NC_073244.2:63984274-64003088
MCL263	NC_073244.2:64214725-64236226	NC_073244.2:64231350-64256082
MCL268	NC_073244.2:66110098-66115554	NC_073244.2:66100619-66117382
MCL270	NC_073244.2:67180751-67185940	NC_073244.2:67181099-67188641
