family_id	n_copies	n_colocated_pairs	n_assignment_relevant	n_resolvable	n_k0	n_k0_strict	family_verdict	k0_pairs
DNFAM0	728	85	39	30	9	3	mixed	NC_073239.2:123330862-123378561~123379389-123412732;NC_073239.2:123330862-123378561~123467735-123497575;NC_073239.2:123333518-123378643~123379389-123412732;NC_073239.2:123333518-123378643~123467735-123497575;NC_073239.2:123379389-123412732~123446239-123467006;NC_073239.2:123379389-123412732~123451531-123466905;NC_073239.2:123446239-123467006~123467735-123497575;NC_073239.2:123451531-123466905~123467735-123497575;NC_073244.2:49070428-49164498~49176755-49201172
DNFAM1	28	5	3	0	3	1	k0	NC_073247.2:161251214-161256992~161458522-161464316;NC_073247.2:164381192-164384845~164442445-164446047;NC_073247.2:164397061-164401094~164424320-164430225
DNFAM2	26	2	1	1	0	0	resolvable	
DNFAM4	17	15	15	15	0	0	resolvable	
DNFAM8	15	2	0	0	0	0	not_assignment_relevant	
DNFAM11	13	1	1	1	0	0	resolvable	
DNFAM12	11	4	2	2	0	0	resolvable	
DNFAM13	10	2	2	2	0	0	resolvable	
DNFAM14	10	33	28	21	7	0	mixed	NC_073247.2:59695120-59704041~59704643-59713568;NC_073247.2:59695120-59704041~59714170-59723103;NC_073247.2:59695120-59704041~59723705-59732632;NC_073247.2:59704643-59713568~59714170-59723103;NC_073247.2:59704643-59713568~59723705-59732632;NC_073247.2:59714170-59723103~59723705-59732632;NC_073247.2:59743831-59751709~59753367-59761233
DNFAM16	9	10	10	10	0	0	resolvable	
DNFAM17	8	2	0	0	0	0	not_assignment_relevant	
DNFAM21	7	1	1	1	0	0	resolvable	
DNFAM22	7	1	1	1	0	0	resolvable	
DNFAM24	7	1	1	1	0	0	resolvable	
DNFAM26	7	6	6	6	0	0	resolvable	
DNFAM27	7	4	3	3	0	0	resolvable	
DNFAM28	7	7	7	7	0	0	resolvable	
DNFAM29	7	2	2	2	0	0	resolvable	
DNFAM31	6	1	1	1	0	0	resolvable	
DNFAM32	6	1	0	0	0	0	not_assignment_relevant	
DNFAM38	5	3	3	3	0	0	resolvable	
DNFAM39	5	6	6	6	0	0	resolvable	
DNFAM40	5	1	1	1	0	0	resolvable	
DNFAM45	5	2	2	0	2	0	k0	NC_073242.2:66058245-66062629~66831403-66834395;NC_073242.2:66058245-66062629~66831403-66834822
DNFAM47	5	1	1	1	0	0	resolvable	
DNFAM48	5	7	7	7	0	0	resolvable	
DNFAM52	5	1	1	1	0	0	resolvable	
DNFAM55	5	1	0	0	0	0	not_assignment_relevant	
DNFAM60	5	2	2	2	0	0	resolvable	
DNFAM68	4	1	1	1	0	0	resolvable	
DNFAM73	4	2	2	2	0	0	resolvable	
DNFAM74	4	3	3	3	0	0	resolvable	
DNFAM80	4	6	6	3	3	0	mixed	NC_073248.2:34736497-34749928~34839946-34842733;NC_073248.2:34798622-34812060~34839946-34842733;NC_073248.2:34819283-34832716~34839946-34842733
DNFAM82	4	3	3	3	0	0	resolvable	
DNFAM89	4	1	1	1	0	0	resolvable	
DNFAM96	4	2	2	2	0	0	resolvable	
DNFAM103	4	1	1	1	0	0	resolvable	
DNFAM106	4	1	1	1	0	0	resolvable	
DNFAM107	4	1	1	0	1	0	k0	NC_073247.2:62249485-62256941~62360163-62368506
DNFAM113	3	2	2	2	0	0	resolvable	
DNFAM115	3	1	1	1	0	0	resolvable	
DNFAM119	3	1	1	1	0	0	resolvable	
DNFAM140	3	1	1	1	0	0	resolvable	
DNFAM141	3	1	1	1	0	0	resolvable	
DNFAM160	3	1	1	0	1	0	k0	NC_073247.2:114041110-114106256~114140052-114204695
