gene	locus	detected	recovered_by	cause	colour
NPIPB2	chr16:11963305-12012756	Y	RNA-split		#1e8e3e
NPIPA2	chr16:14746465-14763820	Y	RNA-split		#1e8e3e
NPIPP1	chr16:15105361-15124458	Y	RNA-split		#1e8e3e
NPIPA5	chr16:15368422-15385843	Y	RNA-split		#1e8e3e
NPIPA7	chr16:16391277-16406172	Y	RNA-split		#1e8e3e
NPIPB6	chr16:28623069-28643879	Y	RNA-split		#1e8e3e
NPIPB8	chr16:28737050-28758038	Y	RNA-split		#1e8e3e
NPIPB7	chr16:28924552-28939395	Y	RNA-split		#1e8e3e
NPIPB9	chr16:29032364-29053395	Y	RNA-split		#1e8e3e
NPIPB10P	chr16:29319787-29333871	Y	RNA-split		#1e8e3e
NPIPB11	chr16:29663393-29685822	Y	RNA-split		#1e8e3e
NPIPB12	chr16:29765424-29788033	Y	projection		#1e8e3e
NPIPB14P	chr16:75785804-75805631	Y	RNA-split		#1e8e3e
NPIPB15	chr16:80195643-80209850	Y	RNA-split		#1e8e3e
