gene	locus	detected	recovered_by	cause	colour
SPDYE1	chr7:44156261-44168507	Y	RNA-split		#1e8e3e
SPDYE21	chr7:68498461-68506406	Y	RNA-split		#1e8e3e
SPDYE7P	chr7:74091027-74099848	Y	projection		#1e8e3e
SPDYE17	chr7:74276649-74286089	Y	RNA-split		#1e8e3e
SPDYE10P	chr7:74304323-74311264	Y	RNA-split		#1e8e3e
SPDYE12P	chr7:76108976-76115619	Y	RNA-split		#1e8e3e
SPDYE9	chr7:76510544-76520418	Y	projection		#1e8e3e
SPDYE8	chr7:76538561-76548009	Y	projection		#1e8e3e
SPDYE13	chr7:76568351-76574235	Y	projection		#1e8e3e
SPDYE14	chr7:76596367-76602252	Y	projection		#1e8e3e
SPDYE15	chr7:76624357-76630241	Y	projection		#1e8e3e
SPDYE5	chr7:76780965-76791636	Y	RNA-split		#1e8e3e
SPDYE16	chr7:77810553-77820700	Y	RNA-split		#1e8e3e
SPDYE18	chr7:78303830-78311572	Y	RNA-split		#1e8e3e
SPDYE3	chr7:101547787-101562282	Y	RNA-split		#1e8e3e
SPDYE6	chr7:103663166-103673862	Y	projection		#1e8e3e
SPDYE2	chr7:103962118-103972964	Y	RNA-split		#1e8e3e
