Node,Colour
L~chr1_108256107_108352036,#f9ab00
L~chr1_108483676_108505296,#34a853
L~chr1_119846928_119858001,#4285f4
L~chr1_120818528_120841268,#34a853
L~chr1_144475892_144478091,#34a853
L~chr1_144498118_144521381,#34a853
L~chr1_144699240_144702777,#ff6d01
L~chr1_145181583_145189075,#34a853
L~chr1_145721210_145740087,#34a853
L~chr1_146189554_146215274,#34a853
L~chr1_146679786_146702814,#34a853
L~chr1_147812240_147817768,#34a853
L~chr1_148602579_148620962,#34a853
L~chr1_148676047_148680542,#34a853
L~chr1_16004106_16009694,#34a853
L~chr1_16197030_16220874,#4285f4
L~chr1_16651438_16658629,#4285f4
L~chr1_21264317_21308828,#34a853
L~chr5_86765435_86780649,#4285f4
RB~NBPF_core~0,#f06292
RB~NBPF_core~1,#f06292
RB~NBPF_core~2,#f06292
RB~NBPF_core~3,#f06292
RB~NBPF_core~4,#f06292
RB~NBPF_core~5,#f06292
RB~NBPF_core~6,#f06292
RB~NBPF_core~7,#f06292
RB~NBPF_core~8,#f06292
RB~NBPF_core~9,#f06292
RB~NBPF_core~10,#f06292
RB~NBPF_core~11,#f06292
RB~NBPF_core~12,#f06292
RB~NBPF_core~13,#f06292
RB~NBPF_core~14,#f06292
RB~NBPF_core~15,#f06292
RB~NBPF_core~16,#f06292
RB~NBPF_core~17,#f06292
RB~NBPF_core~18,#f06292
RB~NBPF_core~19,#f06292
RB~NBPF_core~20,#f06292
RB~NBPF_core~21,#f06292
RB~NBPF_core~22,#f06292
RB~NBPF_core~23,#f06292
RB~NBPF_core~24,#f06292
RB~NBPF_core~25,#f06292
RB~NBPF_core~26,#f06292
RB~NBPF_core~27,#f06292
RB~NBPF_core~28,#f06292
RB~NBPF_core~29,#f06292
RB~NBPF_core~30,#f06292
RB~NBPF_core~31,#f06292
RB~NBPF_core~32,#f06292
RB~NBPF_core~33,#f06292
RB~NBPF_core~34,#f06292
RB~NBPF_core~35,#f06292
RB~NBPF_core~36,#f06292
RB~NBPF_core~37,#f06292
RB~NBPF_core~38,#f06292
RB~NBPF_core~39,#f06292
RB~NBPF_core~40,#f06292
RB~NBPF_core~41,#f06292
RB~NBPF_core~42,#f06292
RB~NBPF_core~43,#f06292
RB~NBPF_core~44,#f06292
RB~NBPF_core~45,#f06292
RB~NBPF_core~46,#f06292
