gene_a	gene_b	dn_a	dn_b	label	comp	fold	core_recip	aln_frac	aln_len	log_aln_len	contain_max	contain_min	recip_contain	core_x_alnfrac	contain_x_alnfrac	id	min_cov	n_exon_min	n_exon_max	n_exon_ratio	n_exon_absdiff	both_single	min_shared_mult	max_shared_mult	mult_ratio	n_shared_nodes	log_n_shared_nodes	shares_only_repeat_m5	vg_softmask	mmMed_min	mmMed_max	mmMed_mean	mmMax_min	mmMax_max	mmMax_mean	nReads_min	nReads_max	nReads_mean	nReads_ratio	kmMed_min	kmMed_max	kmMed_mean	kmFrac100_min	kmFrac100_max	kmFrac100_mean	nKmers_min	nKmers_max	nKmers_mean	mask_max	mask_min	bridge_mask
ABCA13	ITSN1	DN_NC_073230.2_56036026_15	DN_NC_073246.2_35769268_8	0	1	1	0.1409	0.14	474	6.16331	0.125	0.0667	0.0667	0.019726	0.0175			8	15	0.533333	7	0	2	17	0.117647	36	3.61092	0	0.2345	51	51	51	52	53	52.5	101	127	114	0.795276	0	0	0	0.0285	0.0288	0.02865	3365	4696	4030.5	0.2345	0.2124	0.2345
ABCA13	LOC101150644	DN_NC_073230.2_56036026_15	DN_NC_073233.2_11450665_3	0	1	1	0.136	0	0	0	0	0	0	0	0			3	15	0.2	12	0	3	17	0.176471	13	2.63906	0	0.3132	51	51	51	52	53	52.5	57	127	92	0.448819	0	1	0.5	0.0284	0.0285	0.02845	2502	4696	3599	0.3132	0.2345	0.3132
ABCA13	LOC129532904	DN_NC_073227.2_36265860_3	DN_NC_073230.2_56036026_15	0	1	1	0.1346	0	0	0	0	0	0	0	0			3	15	0.2	12	0	13	17	0.764706	3	1.38629	1	0.3216	1	51	26	51	52	51.5	50	127	88.5	0.393701	0	0	0	0.0212	0.0285	0.02485	3248	4696	3972	0.3216	0.2345	0.3216
ABCD1	LOC129526391	DN_NC_073236.2_25270756_7	DN_NC_073247.2_165410205_10	1	2	2	0.4426	0.81	1488	7.30586	0.4286	0.3	0.3	0.358506	0.347166	0.9279	0	7	10	0.7	3	0	2	6	0.333333	121	4.80402	0	0.0445	12	12	12	13	51	32	273	331	302	0.824773	1	2	1.5	0	0	0	1817	3801	2809	0.0445	0.0245	0.0445
ABCD1	LOC129526471	DN_NC_073236.2_22701854_7	DN_NC_073247.2_165410205_10	1	2	2	0.3255	0.8083	1480	7.30047	0.4286	0.3	0.3	0.263102	0.346437	0.9266	0.377	7	10	0.7	3	0	2	6	0.333333	117	4.77068	0	0.0445	12	12	12	13	52	32.5	273	323	298	0.845201	1	1	1	0	0	0	1811	3801	2806	0.0445	0.0268	0.0445
ABCD1	LOC129531453	DN_NC_073240.2_15970659_7	DN_NC_073247.2_165410205_10	1	2	2	0.3224	0.8056	1479	7.2998	0.4286	0.3	0.3	0.259725	0.34528	0.9212	0	7	10	0.7	3	0	2	6	0.333333	107	4.68213	0	0.0445	12	12	12	13	39	26	273	323	298	0.845201	1	1	1	0	0	0	1816	3801	2808.5	0.0445	0.0223	0.0445
ABITRAM	CTNNAL1	DN_NC_073237.2_105179643_6	DN_NC_073237.2_105184979_19	0	3	3	0.7593	0.7599	2431	7.79647	0.1667	0.0526	0.0526	0.576992	0.126675			6	19	0.315789	13	0	2	41	0.0487805	525	6.2653	0	0.1638	1	1	1	1	2	1.5	400	400	400	1	0	1	0.5	0	0	0	3179	5655	4417	0.1638	0.1334	0.1638
ACADL	C3H4orf36	DN_NC_073227.2_107202270_4	DN_NC_073235.2_112807340_11	0	4	1	0.2241	0	0	0	0	0	0	0	0			4	11	0.363636	7	0	18	65	0.276923	13	2.63906	1	0.3974	1	1	1	1	52	26.5	10	68	39	0.147059	0	1	0.5	0.0769	0.1531	0.115	1457	3509	2483	0.3974	0.3029	0.3974
ACADL	SPC25	DN_NC_073235.2_112807340_11	DN_NC_073235.2_71373985_7	0	4	1	0.161	0	0	0	0	0	0	0	0			7	11	0.636364	4	0	19	65	0.292308	15	2.77259	1	0.4132	1	1	1	51	52	51.5	14	68	41	0.205882	0	0	0	0.0769	0.1709	0.1239	1340	3509	2424.5	0.4132	0.3029	0.4132
ACAT2	TCP1	DN_NC_073229.2_183992530_9	DN_NC_073229.2_184008587_12	0	5	4	0.1573	0.1576	601	6.40026	0.0833	0	0	0.0247905	0.0131281			9	12	0.75	3	0	2	20	0.1	267	5.59099	0	0.0635	2	4	3	51	51	51	400	400	400	1	0	0	0	0	0	0	3794	3814	3804	0.0635	0.0449	0.0635
