family_id	gene	chrom	start	end	detected	recovered_by
ID_35	AL669831.1	chr1	152393	205163	Y	RNA-split
ID_393	MST1L	chr1	16352796	16368125	Y	RNA-split
ID_393	MST1P2	chr1	16566523	16571192	Y	RNA-split
ID_131	AMY2A	chr1	103465755	103474647	Y	RNA-split
ID_131	AMY1A	chr1	103504154	103513416	Y	RNA-split
ID_131	AC105272.1	chr1	103516936	103517135	N	
ID_131	AMY1B	chr1	103630425	103639464	Y	RNA-split
ID_131	AMYP1	chr1	103750861	103757011	Y	RNA-split
ID_131	AMY1C	chr1	103787543	103795829	Y	RNA-split
ID_400	NOTCH2	chr1	119924808	120114044	Y	projection
ID_448	SEC22B	chr1	120164163	120189787	Y	RNA-split
ID_215	AC244669.2	chr1	120210345	120332947	N	
ID_212	AC244669.1	chr1	120280596	120355138	Y	expr-collapse
ID_215	AC241952.1	chr1	120503158	120714510	Y	RNA-split
ID_400	NOTCH2NLR	chr1	120737163	120807117	Y	projection
ID_400	NBPF26	chr1	120737166	120851508	Y	RNA-split
ID_431	PPIAL4A	chr1	120899120	120899781	N	
ID_212	AC241377.4	chr1	120973035	120986976	Y	RNA-split
ID_211	AC241377.2	chr1	120995080	121061551	Y	RNA-split
ID_357	FCGR1B	chr1	121096726	121106544	Y	RNA-split
ID_226	H2BP1	chr1	121117591	121126640	N	
ID_226	H3P4	chr1	121127576	121127993	N	
ID_354	FAM72B	chr1	121177004	121194903	Y	RNA-split
ID_462	SRGAP2C	chr1	121194173	121402237	Y	RNA-split
ID_24	AC239859.5	chr1	142491733	142492317	Y	expr-collapse
ID_22	AC239859.4	chr1	142533330	142570879	Y	expr-collapse
ID_212	AC239800.1	chr1	142817363	142832784	Y	RNA-split
ID_211	AC239798.1	chr1	142883385	142897871	Y	projection
ID_357	FCGR1CP	chr1	142946822	142955600	Y	RNA-split
ID_226	H3-2	chr1	142966564	142977985	N	
ID_354	FAM72C	chr1	143027383	143043986	Y	RNA-split
ID_462	SRGAP2D	chr1	143047107	143140349	Y	RNA-split
ID_431	PPIAL4F	chr1	143472956	143473742	N	
ID_213	AC246785.1	chr1	143591826	143594083	N	
ID_431	PPIAL4E	chr1	143692933	143693719	N	
ID_22	FP700107.1	chr1	143760914	143779230	Y	expr-collapse
ID_462	SRGAP2B	chr1	144012010	144220236	Y	RNA-split
ID_354	FAM72D	chr1	144220682	144237402	Y	RNA-split
ID_211	AC241585.3	chr1	144264691	144273083	Y	RNA-split
ID_431	PPIAL4D	chr1	144366357	144366853	N	
ID_215	AC239860.2	chr1	144624326	144625491	Y	RNA-split
ID_215	AC239860.1	chr1	144625929	144637478	Y	RNA-split
ID_400	NOTCH2NLA	chr1	145263046	145345902	Y	RNA-split
ID_448	SEC22B3P	chr1	145439433	145451394	Y	RNA-split
ID_215	PDE4DIP	chr1	145474975	145714337	Y	RNA-split
ID_213	AC239804.2	chr1	145768949	145779518	N	
ID_215	AC245297.1	chr1	145855639	145979396	N	
ID_448	SEC22B2P	chr1	146003303	146015266	Y	projection
ID_400	NOTCH2NLB	chr1	146108307	146215315	Y	RNA-split
ID_212	AC245100.8	chr1	146347679	146348727	Y	expr-collapse
ID_213	AC239809.1	chr1	146572932	146573150	N	
ID_215	PDE4DIPP1	chr1	146713522	146726811	Y	RNA-split
ID_213	AC245407.1	chr1	148346520	148348932	N	
ID_400	NOTCH2NLC	chr1	148519505	148596912	Y	RNA-split
ID_431	PPIAL4C	chr1	148708008	148708609	N	
ID_212	LINC00869	chr1	148730482	148829853	Y	RNA-split
ID_211	AC243772.3	chr1	148800985	148871935	Y	RNA-split
ID_357	FCGR1A	chr1	148906815	148916660	Y	RNA-split
ID_226	H2BC18	chr1	148906833	148936508	Y	RNA-split
ID_226	H3C13	chr1	148937358	148937828	N	
ID_354	FAM72A	chr1	205450359	205468600	Y	RNA-split
ID_462	SRGAP2	chr1	205466058	205728625	Y	RNA-split
ID_35	AL592148.2	chr1	221743930	221753495	Y	projection
ID_35	GTF2IP20	chr1	223141181	223182346	Y	RNA-split
ID_35	LINC01347	chr1	242467318	242512761	Y	RNA-split
ID_63	ANAPC1P1	chr2	86863741	86914950	N	
