label	gene_a	gene_b	n_conflict	mut_cov	cov_a	cov_b	reads_a	reads_b	jaccard
paralog	APOBEC3D	APOBEC3F	6	0.9153	1.0000	0.9153	35	50	0.1442
paralog	RFPL1	RFPL2	0	0.0000	0.0000	0.0000	12	4	0.1327
paralog	RFPL1	RFPL3	0	0.0000	0.0000	0.0000	12	47	0.1650
paralog	RFPL2	RFPL3	0	0.0000	0.0000	0.0000	4	47	0.1733
paralog	RABL2A	RABL2B	190	1.0000	1.0000	1.0000	199	196	0.3129
domain-sharer	ASDURF	ASNSD1	0	0.0000	0.0000	0.0000	942	956	0.0970
domain-sharer	CASP8	FLACC1	0	0.0000	0.0000	0.0000	104	108	0.1917
domain-sharer	CCDC188	ZDHHC8	0	0.0000	0.0000	0.0000	15	13	0.2173
domain-sharer	CDPF1	PPARA	0	0.0000	0.0000	0.0000	124	60	0.1634
domain-sharer	CREB1	METTL21A	0	0.0000	0.0000	0.0000	254	228	0.4056
domain-sharer	GCA	KCNH7	0	0.0000	0.0000	0.0000	548	447	0.1717
domain-sharer	GPR39	LYPD1	0	0.0000	0.0000	0.0000	34	18	0.2954
