fam	gene	chrom	start	end	bp	cls	bucket	rna_found	topup	n_exons	exonic_bp	exon_frac	n_cds	n_genes	biotypes
ID_35	AL669831.1	chr1	152393	205163	52770	lncRNA	FOUND:protein-tail	True	False	20	6985	0.132	0	1	lncRNA
ID_393	MST1L	chr1	16352796	16368125	15329	transcribed_pseudogene	FOUND:rna-split	True	False	18	3774	0.246	0	1	lncRNA
ID_393	MST1P2	chr1	16566523	16571192	4669	transcribed_pseudogene	FOUND:rna-split	True	False	14	2055	0.44	0	0	-
ID_131	AMY2A	chr1	103465755	103474647	8892	coding	FOUND:rna-split	True	False	10	1584	0.178	10	1	protein_coding
ID_131	AMY1A	chr1	103504154	103513416	9262	coding	FOUND:rna-split	True	False	22	3559	0.384	20	1	protein_coding
ID_131	AC105272.1	chr1	103516936	103517135	199	unannotated	MISS:mischain	False	True	0	0	0.0	0	0	-
ID_131	AMY1B	chr1	103630425	103639464	9039	coding	FOUND:rna-split	True	False	22	3571	0.395	20	1	protein_coding
ID_131	AMYP1	chr1	103750861	103757011	6150	pseudogene	FOUND:protein-tail	True	False	0	0	0.0	0	0	-
ID_131	AMY1C	chr1	103787543	103795829	8286	coding	FOUND:rna-split	True	False	20	3228	0.39	20	1	protein_coding
ID_400	NOTCH2	chr1	119924808	120114044	189236	coding	FOUND:rna-split	True	False	58	16693	0.088	56	2	lncRNA;protein_coding
ID_448	SEC22B	chr1	120164163	120189787	25624	coding	FOUND:rna-split	True	False	5	6927	0.27	5	1	protein_coding
ID_215	AC244669.2	chr1	120210345	120332947	122602	pseudogene	MISS:not-expressed	False	False	7	1085	0.009	0	0	-
ID_212	AC244669.1	chr1	120280596	120355138	74542	pseudogene	FOUND:rna-split	True	False	5	2144	0.029	0	0	-
ID_215	AC241952.1	chr1	120503158	120714510	211352	transcribed_pseudogene	FOUND:rna-split	True	False	87	16144	0.076	0	1	lncRNA
ID_400	NOTCH2NLR	chr1	120737163	120807117	69954	coding	FOUND:projection	True	False	17	4064	0.058	17	2	protein_coding
ID_400	NBPF26	chr1	120737166	120851508	114342	coding	FOUND:rna-split	True	False	101	20945	0.183	101	2	protein_coding
ID_431	PPIAL4A	chr1	120899120	120899781	661	fragment	MISS:not-expressed	False	False	1	635	0.961	1	2	lncRNA;protein_coding
ID_212	AC241377.4	chr1	120973035	120986976	13941	transcribed_pseudogene	FOUND:rna-split	True	False	15	3572	0.256	0	0	-
ID_211	AC241377.2	chr1	120995080	121061551	66471	transcribed_pseudogene	FOUND:rna-split	True	False	11	1887	0.028	0	4	lncRNA;tRNA
ID_357	FCGR1B	chr1	121096726	121106544	9818	piece-of-other	FOUND:rna-split	True	False	21	10345	1.054	0	1	lncRNA
ID_226	H2BP1	chr1	121117591	121126640	9049	transcribed_pseudogene	FOUND:rna-split	True	False	9	3356	0.371	0	0	-
ID_226	H3P4	chr1	121127576	121127993	417	fragment	MISS:collapse-K0	False	False	3	1252	3.002	0	0	-
ID_354	FAM72B	chr1	121177004	121194903	17899	coding	FOUND:rna-split	True	False	10	4972	0.278	8	2	protein_coding
ID_462	SRGAP2C	chr1	121194173	121402237	208064	coding	FOUND:rna-split	True	False	24	16489	0.079	18	3	lncRNA;protein_coding
ID_24	AC239859.5	chr1	142491733	142492317	584	fragment	FOUND:expr-collapse	True	False	5	619	1.06	0	2	lncRNA
ID_22	AC239859.4	chr1	142533330	142570879	37549	pseudogene	FOUND:rna-split	True	False	1	85	0.002	0	1	lncRNA
ID_212	AC239800.1	chr1	142817363	142832784	15421	transcribed_pseudogene	FOUND:projection	True	False	17	3510	0.228	0	0	-
ID_211	AC239798.1	chr1	142883385	142897871	14486	transcribed_pseudogene	FOUND:projection	True	False	50	10403	0.718	0	1	lncRNA
ID_357	FCGR1CP	chr1	142946822	142955600	8778	transcribed_pseudogene	FOUND:rna-split	True	False	9	2684	0.306	0	0	-
ID_226	H3-2	chr1	142966564	142977985	11421	transcribed_pseudogene	FOUND:rna-split	True	False	6	4346	0.381	2	1	protein_coding
ID_354	FAM72C	chr1	143027383	143043986	16603	coding	FOUND:rna-split	True	False	42	16515	0.995	36	1	protein_coding
ID_462	SRGAP2D	chr1	143047107	143140349	93242	transcribed_pseudogene	FOUND:rna-split	True	False	7	1023	0.011	0	0	-
ID_431	PPIAL4F	chr1	143472956	143473742	786	fragment	MISS:not-expressed	False	False	1	760	0.967	1	1	protein_coding
ID_213	AC246785.1	chr1	143591826	143594083	2257	piece-of-other	MISS:not-expressed	False	False	2	288	0.128	0	1	lncRNA
ID_431	PPIAL4E	chr1	143692933	143693719	786	fragment	MISS:not-expressed	False	False	1	760	0.967	1	1	protein_coding
ID_22	FP700107.1	chr1	143760914	143779230	18316	unannotated	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_462	SRGAP2B	chr1	144012010	144220236	208226	coding	FOUND:rna-split	True	False	132	87742	0.421	95	3	lncRNA;protein_coding
ID_354	FAM72D	chr1	144220682	144237402	16720	coding	FOUND:rna-split	True	False	38	20181	1.207	33	1	protein_coding
ID_211	AC241585.3	chr1	144264691	144273083	8392	piece-of-other	FOUND:rna-split	True	False	6	739	0.088	6	1	protein_coding
ID_431	PPIAL4D	chr1	144366357	144366853	496	fragment	FOUND:rna-split	True	False	1	497	1.002	1	1	protein_coding
ID_215	AC239860.2	chr1	144624326	144625491	1165	piece-of-other	FOUND:rna-split	True	False	6	814	0.699	0	0	-
ID_215	AC239860.1	chr1	144625929	144637478	11549	piece-of-other	FOUND:rna-split	True	False	18	1842	0.159	0	0	-
ID_400	NOTCH2NLA	chr1	145263046	145345902	82856	coding	FOUND:rna-split	True	False	18	33916	0.409	16	1	protein_coding
ID_448	SEC22B3P	chr1	145439433	145451394	11961	transcribed_pseudogene	FOUND:rna-split	True	False	4	575	0.048	0	0	-
ID_215	PDE4DIP	chr1	145474975	145714337	239362	coding	FOUND:rna-split	True	False	1588	376222	1.572	1566	2	lncRNA;protein_coding
ID_213	AC239804.2	chr1	145768949	145779518	10569	unannotated	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_215	AC245297.1	chr1	145855639	145979396	123757	coding	FOUND:rna-split	True	False	16	3718	0.03	12	1	protein_coding
ID_448	SEC22B2P	chr1	146003303	146015266	11963	transcribed_pseudogene	FOUND:projection	True	False	4	573	0.048	0	0	-
ID_400	NOTCH2NLB	chr1	146108307	146215315	107008	coding	FOUND:rna-split	True	False	130	82457	0.771	111	3	lncRNA;protein_coding
ID_212	AC245100.8	chr1	146347679	146348727	1048	piece-of-other	FOUND:rna-split	True	False	3	1229	1.173	1	2	lncRNA;protein_coding
ID_213	AC239809.1	chr1	146572932	146573150	218	fragment	MISS:collapse-K0	False	False	0	0	0.0	0	1	lncRNA
ID_215	PDE4DIPP1	chr1	146713522	146726811	13289	transcribed_pseudogene	FOUND:rna-split	True	False	7	1064	0.08	0	0	-
ID_213	AC245407.1	chr1	148346520	148348932	2412	unannotated	MISS:collapse-K0	False	False	0	0	0.0	0	0	-
ID_400	NOTCH2NLC	chr1	148519505	148596912	77407	coding	FOUND:rna-split	True	False	10	9866	0.127	9	1	protein_coding
ID_431	PPIAL4C	chr1	148708008	148708609	601	fragment	MISS:not-expressed	False	False	1	602	1.002	1	2	lncRNA;protein_coding
ID_212	LINC00869	chr1	148730482	148829853	99371	lncRNA	FOUND:rna-split	True	False	17	14637	0.147	2	5	lncRNA;protein_coding;snRNA
ID_211	AC243772.3	chr1	148800985	148871935	70950	transcribed_pseudogene	FOUND:rna-split	True	False	107	39969	0.563	0	5	lncRNA;tRNA
ID_357	FCGR1A	chr1	148906815	148916660	9845	piece-of-other	FOUND:rna-split	True	False	66	15172	1.541	47	2	protein_coding
ID_226	H2BC18	chr1	148906833	148936508	29675	coding	FOUND:rna-split	True	False	72	19239	0.648	50	3	protein_coding
ID_226	H3C13	chr1	148937358	148937828	470	fragment	FOUND:rna-split	True	False	1	469	0.998	1	1	protein_coding
ID_354	FAM72A	chr1	205450359	205468600	18241	coding	FOUND:rna-split	True	False	72	30527	1.674	48	2	protein_coding
ID_462	SRGAP2	chr1	205466058	205728625	262567	coding	FOUND:rna-split	True	False	435	116285	0.443	398	3	lncRNA;protein_coding
ID_35	AL592148.2	chr1	221743930	221753495	9565	piece-of-other	FOUND:projection	True	False	18	3129	0.327	0	1	protein_coding
ID_35	GTF2IP20	chr1	223141181	223182346	41165	transcribed_pseudogene	FOUND:projection	True	False	11	2774	0.067	0	0	-
ID_35	LINC01347	chr1	242467318	242512761	45443	lncRNA	FOUND:protein-tail	True	False	18	3834	0.084	0	1	lncRNA
ID_63	ANAPC1P1	chr2	86863741	86914950	51209	transcribed_pseudogene	MISS:collapse-K0	False	False	26	2783	0.054	6	1	protein_coding
ID_395	RGPD1	chr2	86909901	87019191	109290	coding	FOUND:rna-split	True	False	242	66393	0.607	236	2	protein_coding
ID_63	ANAPC1P2	chr2	87037033	87058220	21187	transcribed_pseudogene	FOUND:rna-split	True	False	8	1330	0.063	0	0	-
ID_63	ANAPC1P3	chr2	87123762	87126211	2449	pseudogene	MISS:mischain	False	False	3	311	0.127	0	0	-
ID_63	AC083899.1	chr2	87130427	87202282	71855	transcribed_pseudogene	FOUND:rna-split	True	False	33	3872	0.054	0	1	miRNA
ID_63	ANAPC1P4	chr2	87712968	87750095	37127	transcribed_pseudogene	FOUND:rna-split	True	False	27	3902	0.105	0	1	lncRNA
ID_395	RGPD2	chr2	87767939	87837964	70025	coding	FOUND:rna-split	True	False	216	65556	0.936	171	2	protein_coding
ID_63	ANAPC1P5	chr2	87992304	88004460	12156	piece-of-other	MISS:mischain	False	False	43	4802	0.395	29	1	protein_coding
ID_22	AC006453.1	chr2	89538522	89556925	18403	piece-of-other	FOUND:rna-split	True	False	6	577	0.031	0	1	other
ID_24	LSP1P5	chr2	90105022	90147871	42849	piece-of-other	FOUND:rna-split	True	False	4	4920	0.115	3	2	other;protein_coding
ID_26	AC006453.4	chr2	90228191	90245534	17343	piece-of-other	FOUND:rna-split	True	False	0	0	0.0	0	1	other
ID_24	LSP1P4	chr2	91806874	91849698	42824	transcribed_pseudogene	FOUND:rna-split	True	False	5	853	0.02	0	0	-
ID_22	AC027612.2	chr2	91875827	91904480	28653	transcribed_pseudogene	FOUND:rna-split	True	False	11	1379	0.048	0	0	-
ID_251	ANKRD36B	chr2	97950885	98048181	97296	coding	MISS:seeding-gap	False	False	576	65054	0.669	571	1	protein_coding
ID_395	RGPD3	chr2	106852051	106929839	77788	coding	FOUND:rna-split	True	False	108	29678	0.382	107	1	protein_coding
ID_63	AC097527.1	chr2	106932223	106939096	6873	transcribed_pseudogene	MISS:not-expressed	False	False	6	2067	0.301	3	1	protein_coding
ID_395	RGPD4	chr2	108288410	108354099	65689	coding	FOUND:rna-split	True	False	149	37301	0.568	148	2	lncRNA;protein_coding
ID_386	LIMS1	chr2	108994973	109147842	152869	coding	FOUND:rna-split	True	False	144	60832	0.398	134	2	lncRNA;protein_coding
ID_386	LIMS4	chr2	110869109	110895544	26435	coding	FOUND:rna-split	True	False	49	14793	0.56	31	2	lncRNA;protein_coding
ID_395	RGPD5	chr2	110936275	111001638	65363	coding	FOUND:protein-tail	True	False	360	109697	1.678	320	2	lncRNA;protein_coding
ID_63	ANAPC1	chr2	112037440	112311134	273694	coding	FOUND:rna-split	True	False	402	69004	0.252	381	4	lncRNA;miRNA;protein_coding
ID_395	RGPD8	chr2	112795143	112861095	65952	coding	FOUND:protein-tail	True	False	148	43237	0.656	145	2	lncRNA;protein_coding
ID_391	WASH2P	chr2	114013234	114023720	10486	transcribed_pseudogene	FOUND:rna-split	True	False	12	1694	0.162	0	0	-
ID_332	DDX11L2	chr2	114023720	114025947	2227	transcribed_pseudogene	FOUND:rna-split	True	False	6	3205	1.439	0	0	-
ID_65	FAR2P1	chr2	130441675	130470147	28472	transcribed_pseudogene	FOUND:rna-split	True	False	8	2855	0.1	0	0	-
ID_65	CYP4F27P	chr2	130478035	130479051	1016	piece-of-other	FOUND:projection	True	False	2	539	0.531	0	0	-
ID_65	FAR2P2	chr2	130850654	130865267	14613	transcribed_pseudogene	FOUND:rna-split	True	False	15	8253	0.565	0	0	-
ID_65	CYP4F62P	chr2	130863729	130875321	11592	transcribed_pseudogene	FOUND:rna-split	True	False	5	2144	0.185	0	0	-
ID_65	CYP4F30P	chr2	131114190	131120019	5829	transcribed_pseudogene	FOUND:rna-split	True	False	5	2250	0.386	0	0	-
ID_65	FAR2P3	chr2	131124287	131152985	28698	pseudogene	FOUND:rna-split	True	False	2	987	0.034	0	0	-
ID_65	FAR2P4	chr2	131713789	131743753	29964	lncRNA	FOUND:projection	True	False	12	3041	0.101	0	1	lncRNA
ID_141	AC119751.3	chr3	95668991	95671638	2647	piece-of-other	FOUND:protein-tail	True	False	28	16968	6.41	0	2	lncRNA
ID_146	AC233280.19	chr3	198342015	198343130	1115	piece-of-other	MISS:coverage-limited	False	True	15	14340	12.861	0	1	lncRNA
ID_146	AC124944.2	chr3	198403551	198444967	41416	piece-of-other	FOUND:rna-split	True	False	10	12776	0.308	0	3	lncRNA
ID_35	FAM157A	chr3	200883047	200954215	71168	lncRNA	FOUND:projection	True	False	24	7038	0.099	0	2	lncRNA
ID_391	WASH8P	chr3	201079783	201097278	17495	transcribed_pseudogene	FOUND:rna-split	True	False	12	2125	0.121	0	0	-
ID_35	AC110079.1	chr4	121896771	121939030	42259	transcribed_pseudogene	FOUND:protein-tail	True	False	13	7878	0.186	0	0	-
ID_35	GTF2IP12	chr4	122710627	122759756	49129	lncRNA	FOUND:protein-tail	True	False	5	5756	0.117	0	1	lncRNA
ID_163	GUSBP1	chr5	21350028	21696579	346551	transcribed_pseudogene	FOUND:rna-split	True	False	49	91172	0.263	6	7	lncRNA;protein_coding
ID_399	NAIPP1	chr5	70432873	70449844	16971	pseudogene	FOUND:protein-tail	True	False	4	360	0.021	0	0	-
ID_163	GUSBP3	chr5	70465243	70505040	39797	transcribed_pseudogene	FOUND:rna-split	True	False	5	5221	0.131	1	1	protein_coding
ID_163	AC131392.1	chr5	70679155	70725182	46027	piece-of-other	FOUND:rna-split	True	False	4	499	0.011	0	0	-
ID_399	NAIPP2	chr5	70774918	70792685	17767	piece-of-other	FOUND:expr-collapse	True	False	1	1560	0.088	0	1	protein_coding
ID_313	CDH12P1	chr5	70901860	70902156	296	fragment	MISS:genuine-miss	False	False	0	0	0.0	0	1	lncRNA
ID_163	GUSBP16	chr5	71208720	71252673	43953	transcribed_pseudogene	FOUND:rna-split	True	False	10	7809	0.178	0	0	-
ID_399	NAIP	chr5	71424929	71482091	57162	coding	FOUND:rna-split	True	False	50	20851	0.365	42	1	protein_coding
ID_399	NAIPP4	chr5	71559603	71585455	25852	pseudogene	FOUND:rna-split	True	False	9	2862	0.111	0	0	-
ID_313	CDH12P3	chr5	71589693	71589989	296	fragment	MISS:mischain	False	False	0	0	0.0	0	0	-
ID_163	AC146949.1	chr5	71701647	71740552	38905	transcribed_pseudogene	FOUND:rna-split	True	False	6	4981	0.128	1	1	protein_coding
ID_182	FAM153B	chr5	176604120	176659690	55570	transcribed_pseudogene	FOUND:rna-split	True	False	22	2495	0.045	0	1	lncRNA
ID_182	FAM153A	chr5	178251444	178327488	76044	coding	FOUND:rna-split	True	False	793	126461	1.663	508	3	lncRNA;protein_coding
ID_35	AC008443.6	chr5	181851743	181855644	3901	unannotated	MISS:seeding-gap	False	False	0	0	0.0	0	0	-
ID_163	GUSBP2	chr6	26739835	26824933	85098	transcribed_pseudogene	FOUND:rna-split	True	False	10	3307	0.039	0	0	-
ID_207	SPDYE1	chr7	44156261	44168507	12246	piece-of-other	FOUND:projection	True	False	30	9492	0.775	24	1	protein_coding
ID_208	GTF2IP14	chr7	66290271	66306356	16085	pseudogene	FOUND:projection	True	False	0	0	0.0	0	0	-
ID_208	GTF2IP5	chr7	66995739	67024210	28471	pseudogene	FOUND:protein-tail	True	False	0	0	0.0	0	0	-
ID_207	SPDYE21	chr7	68498461	68506406	7945	coding	FOUND:projection	True	False	12	2001	0.252	12	1	protein_coding
ID_8	PMS2P4	chr7	68507281	68522154	14873	transcribed_pseudogene	FOUND:rna-split	True	False	17	3300	0.222	0	1	protein_coding
