fam	n_copies	unit_reads	origin_rejected_unit_reads	rejected_with_primary_inside_a_unit	rejected_primary_outside_units	candidate_loci
fam_MCL106_073242	3	246	119	119	0	0
fam_MCL108_073242	3	14363	2210	2210	0	0
fam_MCL110_073244	2	316	97	97	3	1
fam_MCL111_073244	2	66	19	19	107	2
fam_MCL115_073244	2	14	3	3	0	0
fam_MCL117_073244	3	23	7	7	1	0
fam_MCL120_073244	2	547	195	195	533	4
fam_MCL121_073244	2	878	63	63	0	0
fam_MCL122_073244	3	6	4	4	0	0
fam_MCL124_073244	3	440	156	156	0	0
fam_MCL141_073241	2	766	213	213	0	0
fam_MCL145_073241	2	202	34	34	0	0
fam_MCL147_073241	2	20	3	3	0	0
fam_MCL14_073242	3	28	12	12	7	1
fam_MCL150_073241	2	826	181	181	0	0
fam_MCL155_073241	2	1484	192	192	0	0
fam_MCL158_073241	2	871	160	160	0	0
fam_MCL15_073242	3	3	0	0	0	0
fam_MCL163_073241	2	57	12	12	0	0
fam_MCL170_073242	2	1328	89	89	0	0
fam_MCL171_073242	2	435	89	89	1	0
fam_MCL174_073242	2	253	135	135	0	0
fam_MCL179_073242	2	2	2	2	0	0
fam_MCL182_073242	2	551	78	78	0	0
fam_MCL186_073242	2	1328	367	367	0	0
fam_MCL188_073242	2	94	27	27	0	0
fam_MCL189_073242	2	555	108	108	0	0
fam_MCL1_073242	22	943	558	558	398	4
fam_MCL201_073242	2	5245	759	759	0	0
fam_MCL203_073242	2	1093	291	291	0	0
fam_MCL206_073242	2	117	20	20	0	0
fam_MCL209_073242	2	1251	246	246	0	0
fam_MCL20_073242	4	1058	157	157	0	0
fam_MCL211_073242	2	1370	93	93	0	0
fam_MCL212_073242	2	836	95	95	0	0
fam_MCL213_073242	2	2037	340	340	0	0
fam_MCL217_073244	2	1	1	1	0	0
fam_MCL21_073242	6	430	61	61	152	2
fam_MCL220_073244	2	89	13	13	0	0
fam_MCL226_073244	2	638	281	281	2	0
fam_MCL229_073244	2	129	21	21	0	0
fam_MCL22_073242	4	80	3	3	0	0
fam_MCL230_073244	2	495	257	257	0	0
fam_MCL231_073244	2	390	68	68	0	0
fam_MCL233_073244	2	48	5	5	0	0
fam_MCL235_073244	2	106	59	59	0	0
fam_MCL236_073244	2	48	37	37	9	1
fam_MCL238_073244	2	157	15	15	0	0
fam_MCL239_073244	2	43	35	35	0	0
fam_MCL241_073244	2	955	314	314	0	0
fam_MCL244_073244	2	271	48	48	0	0
fam_MCL247_073244	2	130	24	24	0	0
fam_MCL24_073244	4	34	13	13	0	0
fam_MCL252_073244	2	196	49	49	0	0
fam_MCL253_073244	2	19	7	7	0	0
fam_MCL254_073244	2	163	70	70	0	0
fam_MCL256_073244	2	3	0	0	0	0
fam_MCL257_073244	2	958	89	89	0	0
fam_MCL262_073244	2	264	25	25	0	0
fam_MCL263_073244	2	497	230	230	0	0
fam_MCL268_073244	2	339	174	174	0	0
fam_MCL270_073244	2	5	2	2	0	0
fam_MCL273_073244	2	222	38	38	0	0
fam_MCL27_073242	6	393	142	142	138	4
fam_MCL29_073242	5	1824	295	295	13	2
fam_MCL2_073244	2	3	0	0	0	0
fam_MCL30_073244	4	463	127	127	102	3
fam_MCL32_073242	3	109	23	23	0	0
fam_MCL34_073242	3	19	0	0	0	0
fam_MCL36_073244	3	32	10	10	0	0
fam_MCL37_073244	5	533	144	144	79	2
fam_MCL3_073241	2	2	0	0	0	0
fam_MCL3_073242	10	121	76	76	0	0
fam_MCL3_073244	3	151	28	28	0	0
fam_MCL40_073242	3	3761	360	360	17	1
fam_MCL42_073242	3	374	69	69	0	0
fam_MCL43_073244	5	686	131	131	33	2
fam_MCL44_073244	4	683	311	311	102	1
fam_MCL4_073244	15	1563	523	523	519	2
fam_MCL51_073242	4	375	100	100	0	0
fam_MCL54_073242	4	737	87	87	229	4
fam_MCL58_073242	3	378	55	55	1	0
fam_MCL61_073242	2	2	2	2	0	0
fam_MCL65_073244	3	84	13	13	572	8
fam_MCL67_073242	2	183	13	13	0	0
fam_MCL68_073242	4	7	3	3	0	0
fam_MCL69_073244	2	34	9	9	0	0
fam_MCL6_073244	9	1333	392	392	89	2
fam_MCL71_073244	2	10	9	9	0	0
fam_MCL75_073241	2	1	1	1	0	0
fam_MCL76_073241	2	184	47	47	0	0
fam_MCL78_073241	3	182	14	14	0	0
fam_MCL7_073242	11	654	318	318	430	6
fam_MCL83_073242	2	31	17	17	0	0
fam_MCL86_073242	3	920	349	349	0	0
fam_MCL87_073242	2	1018	176	176	0	0
fam_MCL88_073242	3	2351	358	358	9	1
fam_MCL89_073242	2	7	0	0	0	0
fam_MCL8_073244	3	10	10	10	0	0
fam_MCL90_073242	2	7	4	4	0	0
fam_MCL94_073242	2	1054	171	171	0	0
fam_MCL95_073242	3	2793	450	450	0	0
fam_MCL96_073242	3	954	304	304	2	0
fam_MCL9_073244	10	749	201	201	577	9
