stage	name	gate_status	env_flag	direction	what_it_rejects	file_anchor
junctions	anchor_support_threshold	default_on_optout	RUSTLE_LENIENT_JUNCTIONS	sensitivity	Junctions where left_anchor < normal_anchor or right_anchor < normal_anchor (default config.junction_support=10; StringTie default 5 — Rustle 2x stricter for normal introns)	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/pipeline.rs:1437-1501
junctions	long_intron_anchor_threshold	default_on_optout	RUSTLE_LENIENT_JUNCTIONS	sensitivity	Long introns (> config.longintron): requires anchor >= LONGINTRONANCHOR (25bp hardcoded) instead of normal_anchor; StringTie uses per-read logic without explicit long-intron anchor elevation	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/pipeline.rs:1437-1501
junctions	mm_negative_rejection	default_off_optin	RUSTLE_KEEP_MM_NEG	sensitivity	Junctions with mm < 0 (demotion marker from long-read higher analysis) when nreads_good <= 0; StringTie accepts mm<0 on raw read support, Rustle default rejects them → over-segmentation	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/graph_build.rs:843-849
junctions	strand_zero_rejection	hardcoded	none	precision	Junctions with strand==0 (ambiguous/stranded from paired conflicting reads); hardcoded rejection in bundle filtering before graph creation	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/graph_build.rs:850-852
junctions	good_junc_donor_coverage_drop	default_on_optout	RUSTLE_GOOD_JUNC_STRICT	both	Junctions failing StringTie good_junc donor-side coverage-drop check: kill if lleftcov > 10.0 AND leftsupport * 100 < 0.1 * lleftcov AND (mismatch OR lrightcov > lleftcov*0.9)	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/pipeline.rs:2291-2303
junctions	good_junc_acceptor_coverage_drop	default_on_optout	RUSTLE_GOOD_JUNC_STRICT	both	Junctions failing StringTie good_junc acceptor-side coverage-drop check: kill if rrightcov > 10.0 AND rightsupport * 100 < rrightcov * 0.1 AND (mismatch OR rleftcov > rrightcov*0.9)	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/pipeline.rs:2305-2317
junctions	isofrac_junction_reads_ratio	hardcoded	none	both	Junctions where mrcount * 10 < 0.1 * leftsupport OR mrcount * 10 < 0.1 * rightsupport (junction reads must be >= 1% of splice-site support); part of good_junc check	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/pipeline.rs:2319-2324
junctions	st_relaxed_nreads_good_skip	default_off_optin	RUSTLE_GOOD_JUNC_STRICT	precision	In default (non-ST-strict) mode: junctions with nm <= 0 or nm < mrcount are skipped from good_junc check entirely (Rustle relaxation); ST-strict mode applies checks to all junctions	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/pipeline.rs:2244-2263
junctions	nreads_good_threshold_st_strict	default_off_optin	RUSTLE_GOOD_JUNC_STRICT	sensitivity	ST-strict mode: junctions with nreads_good < 1.25 * junction_thr are killed outright (matches ST rlink.cpp:15419); default mode skips this for low-mismatch junctions	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/pipeline.rs:2236-2242
junctions	weak_alt_junction_coalescing	default_off_optin	RUSTLE_ALT_JUNC_COALESCE	precision	Alt-donor/acceptor junctions within RUSTLE_ALT_JUNC_WINDOW (default 100bp) of canonical with < min_ratio * canonical_reads (default 0.5); requires >= min_siblings (default 2) alt-junctions at same acceptor/donor	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/graph_build.rs:936-1048
