case	locus_id	path	path_status
MAGEA	L~chrX_147847404_147853231	DB~MAGEA~1:DNA@6,RB~MAGEA~3:RNA@6,RB~MAGEA~4:RNA@149,RB~MAGEA~6:RNA@168,RB~MAGEA~7:RNA@168,RB~MAGEA~2:RNA@180,RB~MAGEA~5:RNA@217,DB~MAGEA~0:DNA@508,DB~MAGEA~3:DNA@1027,DB~MAGEA~2:DNA@2556,DB~MAGEA~4:DNA@3443,DB~MAGEA~5:DNA@3443	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
MAGEA	L~chrX_147951771_147957050	DB~MAGEA~0:DNA@3,DB~MAGEA~6:DNA@3,RB~MAGEA~10:RNA@286,RB~MAGEA~9:RNA@376,RB~MAGEA~12:RNA@382,RB~MAGEA~2:RNA@395,RB~MAGEA~8:RNA@395,RB~MAGEA~11:RNA@430,DB~MAGEA~8:DNA@521,DB~MAGEA~7:DNA@1769,DB~MAGEA~9:DNA@3077	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
MAGEA	L~chrX_148047652_148053473	DB~MAGEA~1:DNA@0,RB~MAGEA~3:RNA@0,RB~MAGEA~13:RNA@143,RB~MAGEA~15:RNA@162,RB~MAGEA~16:RNA@162,RB~MAGEA~8:RNA@174,RB~MAGEA~14:RNA@211,DB~MAGEA~6:DNA@942,DB~MAGEA~11:DNA@1021,DB~MAGEA~10:DNA@2550,DB~MAGEA~12:DNA@3437,DB~MAGEA~13:DNA@3437	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
MAGEA	L~chrX_150181730_150191399	RB~MAGEA~19:RNA@13,RB~MAGEA~18:RNA@29,RB~MAGEA~13:RNA@109,RB~MAGEA~4:RNA@109,RB~MAGEA~9:RNA@123,RB~MAGEA~17:RNA@175,DB~MAGEA~15:DNA@5804,DB~MAGEA~7:DNA@6414,DB~MAGEA~10:DNA@6619,DB~MAGEA~2:DNA@6619,DB~MAGEA~14:DNA@7074	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
MAGEA	L~chrX_150399384_150404635	DB~MAGEA~11:DNA@7,DB~MAGEA~3:DNA@7,DB~MAGEA~8:DNA@7,RB~MAGEA~10:RNA@98,RB~MAGEA~17:RNA@240,RB~MAGEA~14:RNA@243,RB~MAGEA~5:RNA@243,RB~MAGEA~20:RNA@245	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
MAGEA	L~chrX_150965292_150968920	DB~MAGEA~16:DNA@0,RB~MAGEA~18:RNA@0,RB~MAGEA~21:RNA@0,RB~MAGEA~15:RNA@107,RB~MAGEA~6:RNA@107,RB~MAGEA~11:RNA@148,RB~MAGEA~20:RNA@152,DB~MAGEA~14:DNA@1013,DB~MAGEA~12:DNA@1255,DB~MAGEA~4:DNA@1255,DB~MAGEA~9:DNA@1354	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
MAGEA	L~chrX_151032688_151036482	RB~MAGEA~19:RNA@150,DB~MAGEA~16:DNA@166,RB~MAGEA~21:RNA@166,DB~MAGEA~15:DNA@235,RB~MAGEA~16:RNA@273,RB~MAGEA~7:RNA@273,RB~MAGEA~12:RNA@274,DB~MAGEA~13:DNA@1421,DB~MAGEA~5:DNA@1421	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
MAGEA	L~chrX_25725472_25728073	RB~MAGEA~0:RNA@378	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
MAGEA	L~chrX_29807852_29812991	RB~MAGEA~1:RNA@143	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
MAGEA	L~chrX_29836044_29844402	RB~MAGEA~0:RNA@258,RB~MAGEA~1:RNA@267	PAIRWISE_WITNESSES_NOT_YET_CONSOLIDATED
