pair	label	qname	de_a	nmr_a	ms_a	s1_a	s2_a	cm_a	rl_a	ts_a	mapq_a	nintron_a	alnlen_a	de_b	nmr_b	ms_b	s1_b	s2_b	cm_b	rl_b	ts_b	mapq_b	nintron_b	alnlen_b
RABL2A~RABL2B	genuine	m64076_221110_210557/42928311/ccs	0.009700000286102295	0.00966	1625	1869		539	286	+	0	8	2173	0.015200000256299973	0.0152	1312	1786		485	286	+	0	8	2171
RABL2A~RABL2B	genuine	m64076_221110_210557/69206276/ccs	0.009999999776482582	0.01003	1768	2089		605	220	+	0	9	2393	0.014600000344216824	0.01463	1482	2027		567	220	+	0	9	2393
RABL2A~RABL2B	genuine	m64076_221110_210557/159123268/ccs	0.012900000438094139	0.01288	1388	1785		497	271	+	0	7	2097	0.019099999219179153	0.01907	1051	1704		444	271	+	0	7	2097
RABL2A~RABL2B	genuine	m64076_221110_210557/100140948/ccs	0.004100000020116568	0.00405	2209	2226	2192	681	290	+	60	8	2469	0.010900000110268593	0.01094	1767	2148		596	290	+	0	8	2469
RABL2A~RABL2B	genuine	m64076_221110_210557/177211997/ccs	0.01209999993443489	0.01207	966	1144		341	115	+	0	9	1409	0.00139999995008111	0.00142	1357	1227	1176	410	115	+	60	9	1409
RABL2A~RABL2B	genuine	m64076_221110_210557/86772032/ccs	0.016499999910593033	0.02003	1494	2221		617	288	+	0	9	2646	0.0210999995470047	0.02457	1183	2154		570	288	+	0	9	2646
RABL2A~RABL2B	genuine	m64076_221110_210557/74909997/ccs	0.010200000368058681	0.0102	1582	1840		540	312	+	0	8	2156	0.013899999670684338	0.01391	1375	1789		503	312	+	0	8	2156
RABL2A~RABL2B	genuine	m64076_221110_210557/104793922/ccs	0.014999999664723873	0.01541	1444	2012	1985	561	303	+	60	8	2401	0.02199999988079071	0.02249	1003	1933		490	303	+	0	8	2401
RABL2A~RABL2B	genuine	m64076_221110_210557/130024987/ccs	0.010300000198185444	0.01029	1422	1666		481	286	+	0	6	1944	0.017500000074505806	0.01749	1059	1579		419	286	+	0	6	1944
RABL2A~RABL2B	genuine	m64076_221110_210557/38601365/ccs	0.013000000268220901	0.01767	2080	2686		755	493	+	0	0	3169	0.0006000000284984708	0.00063	3117	2949	2717	919	493	+	60	0	3169
RABL2A~RABL2B	genuine	m64076_221110_210557/66520108/ccs	0.03590000048279762	0.04263	882	1539		393	231	+	0	8	2111	0.042100001126527786	0.04879	679	1455		360	231	+	0	8	2111
RABL2A~RABL2B	genuine	m64076_221110_210557/60162471/ccs	0.011099999770522118	0.01113	1084	1301		375	108	+	0	9	1527	0.0013000000035390258	0.00131	1475	1395	1301	436	108	+	60	9	1527
RABL2A~RABL2B	genuine	m64076_221110_210557/151128331/ccs	0.012400000356137753	0.01341	2156	2827		803	375	+	0	6	3206	0.017400000244379044	0.0184	1741	2732		737	375	+	0	6	3206
RABL2A~RABL2B	genuine	m64076_221110_210557/59836498/ccs	0.009600000455975533	0.0096	2031	2459		733	108	+	0	6	2708	0.001500000013038516	0.00148	2604	2599	2467	830	108	+	60	6	2708
RABL2A~RABL2B	genuine	m64076_221110_210557/154075428/ccs	0.010300000198185444	0.01088	1275	1533		450	281	+	0	2	1746	0.016599999740719795	0.01718	989	1463		397	281	+	0	2	1746
RABL2A~RABL2B	genuine	m64076_221110_210557/56363719/ccs	0.009999999776482582	0.01055	1397	1613		468	220	+	0	9	1895	0.017400000244379044	0.01794	1033	1546		418	220	+	0	9	1895
RABL2A~RABL2B	genuine	m64076_221110_210557/61474703/ccs	0.008999999612569809	0.00964	2458	2876		826	397	+	0	6	3215	0.013399999588727951	0.014	2095	2793		765	397	+	0	6	3215
RABL2A~RABL2B	genuine	m64076_221110_210557/161810497/ccs	0.01209999993443489	0.01208	907	1140		342	0	+	0	8	1325	0.002300000051036477	0.00226	1246	1218	1145	399	0	+	60	8	1325
RABL2A~RABL2B	genuine	m64076_221110_210557/77728146/ccs	0.04410000145435333	0.04973	772	1355		275	220	+	0	6	2031	0.0494999997317791	0.05515	628	1274		247	220	+	0	6	2031
RABL2A~RABL2B	genuine	m64076_221110_210557/45613707/ccs	0.010599999688565731	0.01064	1425	1690		487	286	+	0	6	1973	0.01769999973475933	0.01774	1062	1603		425	286	+	0	6	1973
RABL2A~RABL2B	genuine	m64076_221110_210557/33751571/ccs	0.012199999764561653	0.01219	1398	1761		501	284	+	0	6	2051	0.017999999225139618	0.01804	1087	1682		445	284	+	0	6	2051
RABL2A~RABL2B	genuine	m64076_221110_210557/327721/ccs	0.01640000008046627	0.02063	937	1365		378	281	+	0	3	1648	0.020600000396370888	0.02488	756	1333		342	281	+	0	3	1648
RABL2A~RABL2B	genuine	m64076_221110_210557/12322771/ccs	0.009999999776482582	0.01005	1541	1795		518	286	+	0	7	2089	0.016300000250339508	0.01628	1204	1713		461	286	+	0	7	2089
RABL2A~RABL2B	genuine	m64076_221110_210557/162661650/ccs	0.011300000362098217	0.01675	1803	2398		726	29	+	0	4	2567	0.020999999716877937	0.02649	1153	2239		643	29	+	0	4	2567
RABL2A~RABL2B	genuine	m64076_221110_210557/83690930/ccs	0.013899999670684338	0.01768	1472	1896		528	224	+	0	11	2319	0.0013000000035390258	0.00172	2238	2101	1925	653	224	+	60	11	2319
